文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk1,abstract,The investigation showed that the strength of the Zircaloy-2 decreased by 50 percent between room temperature and 400 C,Zircaloy-2,hydrided,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk1,abstract,The investigation showed that the strength of the Zircaloy-2 decreased by 50 percent between room temperature and 400 C,Zircaloy-2,hydrided,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk1,abstract,"To maintain adequate ductility above 200 C in hydrided Zircaloy-2 tubing tested under biaxial stress, it is necessary to specify an upper limit in the region of 400 ppm for hydrogen content",Zircaloy-2,hydrided,,biaxial stress,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk1,abstract,The least ductile condition cold is with an external hydride layer present,Zircaloy-2,external hydride layer,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk1,abstract,the ductility can be significantly improved if this layer is absorbed entirely into the tube wall,Zircaloy-2,hydride absorbed into tube wall,diffusion anneal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70–450,ppm
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk1,abstract,Ring tension tests are not as sensitive to hydride embrittlement as the biaxially stressed tube-burst test,Zircaloy-2,hydrided,,ring tension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,ppm
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk1,introduction,Platelets oriented nearly perpendicular to the deforming tensile stress caused large reductions in strength and ductility when cold at small hydrogen concentrations (~50 ppm),Zircaloy-2,hydrided with perpendicular platelets,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk1,introduction,platelets oriented nearly parallel to the stress axis had relatively little effect up to ~500 ppm H2,Zircaloy-2,hydrided with parallel platelets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk1,introduction,"tube-burst tests under biaxial stress conditions on Zircaloy-2 containing circumferentially aligned hydride at ~70 ppm hydrogen internal level, together with an external layer of hydride, have shown circumferential strains to failure of only 1.5 percent at room temperature",Zircaloy-2,circumferentially aligned hydride with external layer,,tube-burst,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,1.5,%
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk1,experimental procedure,The tubes were finally stress relieved at 515 C for 6 h,Zircaloy-2,as-received,stress relief,,,,,,,,,,,,,,,,,,,515,,,,,,6,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk1,experimental procedure,The asreceived tubing has a hydrogen content between 20 and 25 ppm,Zircaloy-2,as-received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20–25,ppm
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk1,experimental procedure,The tubing was then electrolytically hydrided at 90±3 C in a dilute solution of H2SO4 in H2O,Zircaloy-2,,electrolytic hydriding,,,,,,,,,,,,,,,,,,,90,dilute H2SO4 in H2O,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk1,experimental procedure,The time of electrolytic hydriding was varied between 16 and 48 h to give thicker hydride layers and hence progressively increasing hydrogen levels in the tube after heating,Zircaloy-2,,electrolytic hydriding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16–48,h
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk1,experimental procedure,"at the upper levels (450 ppm H2), some of the hydrogen may still be present as a thin external layer not fully absorbed into the tube",Zircaloy-2,partially absorbed hydride,electrolytic hydriding with diffusion anneal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,ppm
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk2,text,"At 820 ppm H2, the specimens were completely embrittled from room temperature up to 150 C",Zircaloy-2,hydrided tubing,,ring tension,,,,,,,,,,,,,,,"{'value': 820.0, 'unit': 'ppm'}",,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk2,text,"At 820 ppm H2, the specimens were completely embrittled from room temperature up to 150 C",Zircaloy-2,hydrided tubing,,ring tension,,,,,,,,,,,,,,,"{'value': 820.0, 'unit': 'ppm'}",,,150.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk2,text,when the ductility showed a gradual rise to 10 percent at 250 C and remained at this leyel at least up to 350 C,Zircaloy-2,hydrided tubing,,ring tension,,,,,,,,,,,,,,,"{'value': 820.0, 'unit': 'ppm'}",,,250.0,,,,,,,,,,,,,,10.0,%,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk2,text,when the ductility showed a gradual rise to 10 percent at 250 C and remained at this leyel at least up to 350 C,Zircaloy-2,hydrided tubing,,ring tension,,,,,,,,,,,,,,,"{'value': 820.0, 'unit': 'ppm'}",,,350.0,,,,,,,,,,,,,,10.0,%,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk2,text,"As with the ring tension tests, the strength of the Zircaloy-2 is decreased by 50 percent from room temperature to 400 C.",Zircaloy-2,tubing,,tube-burst,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk2,text,The strength of the hydrided tube (460 ppm H2) was greater than the unhydrided material (increase of 10 percent at room temperature and 20 percent at 400 C).,Zircaloy-2,hydrided tubing,,tube-burst,,,,,,,,,,,,,,,"{'value': 460.0, 'unit': 'ppm'}",,,400.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk2,text,The burst strengths were significantly higher than the tensile strength obtained in the ring tension test and this has been ascribed to the biaxial stress condition existing in the closed-end burst test.,Zircaloy-2,tubing,,tube-burst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk3,Fig. 7,circumferential elongation to fracture is plotted in Fig. 7 as a function of hydrogen content,Zircaloy-2,hydrided,electrolytically hydrided,tube-burst test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,%,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk4,conclusions,strength of Zircaloy-2 tubing was increased by the presence of circumferentially aligned hydride at ${ \sim } 5 0 0$ -ppm $\mathrm { H _ { 2 } }$ level,Zircaloy-2,circumferentially aligned hydride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk4,conclusions,presence of hydride reduced fracture ductility at all temperatures but not to a drastic extent,Zircaloy-2,with hydride,,ring tension test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk4,conclusions,Embrittlement was not obtained until the 700-ppm $\mathrm { H _ { 2 } }$ level,Zircaloy-2,,,ring tension test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,ppm
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk4,conclusions,circumferential elongation to fracture at room temperature dropped from 10 percent at the 340-ppm $\mathrm { { H _ { 2 } } }$ level to 2 percent at the 460-ppm $\mathrm { H _ { 2 } }$ level,Zircaloy-2,,,tube-burst test,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,10.0,%,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk4,conclusions,anomalously low ductilities down to 3.5 percent were still obtained,Zircaloy-2,,,tube-burst test,,,,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,3.5,%,,,,,,,,,400.0,ppm
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk4,conclusions,Room-temperature ductility is improved if any surface hydride layers are absorbed entirely into the tube wall,Zircaloy-2,surface hydride layers absorbed into tube wall,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk4,conclusions,Electrolytically hydrided tubes with fully distributed hydrides were the most ductile,Zircaloy-2,"electrolytically hydrided, fully distributed hydrides",electrolytic hydriding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk4,conclusions,hydrogen was introduced by autoclaving in LiOH solution and the hydride precipitated preferentially near the surface,Zircaloy-2,hydride precipitated preferentially near surface,autoclaving in LiOH solution,,,,,,,,,,,,,,,,,,,,LiOH solution,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk5,p. 111,"Developed for use in carbon dioxide-cooled nuclear reactors, 0.5Cu-0.5Mo zirconium is a moderate-strength alloy with excellent corrosion resistance",0.5Cu-0.5Mo zirconium,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk5,p. 111,"Developed for use in carbon dioxide-cooled nuclear reactors, 0.5Cu-0.5Mo zirconium is a moderate-strength alloy with excellent corrosion resistance",0.5Cu-0.5Mo zirconium,,,,,,,,,,0.5,,,,,,,,,,,,carbon dioxide,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk5,p. 111,Texture development in the material during fabrication from 0.75-in. thick plate to 0.060-in. thick sheet is described,0.5Cu-0.5Mo zirconium,sheet,fabrication,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,1.524,mm,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk5,p. 111,Texture development in the material during fabrication from 0.75-in. thick plate to 0.060-in. thick sheet is described,0.5Cu-0.5Mo zirconium,plate,fabrication,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,19.05,mm,,,,,,,,,,
