文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,条件哈希,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,应变率(s-1),压力(MPa),辐照剂量(dpa),通量,时间(h),气氛,密度公式,密度数据,比热容公式,比热容数据,热传导率公式,热传导率数据,弹塑性模型公式,弹塑性模型数据,热膨胀公式,热膨胀数据,辐照蠕变公式,辐照蠕变数据,辐照肿胀公式,辐照肿胀数据,腐蚀公式,腐蚀数据,硬化性能公式,硬化性能数据,额外性质
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_007_chunk3,Fig. 2,Radial-circumferential cross sections showing blister growth with air jets on a tube containing 30-ppm hydrogen. The bath temperature was 250°C,Zircaloy,tube,air-jet blister growth,blister growth study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""hydrogen_content"": ""30 ppm"", ""bath_temperature"": ""250°C"", ""blister_growth_mechanism"": ""precipitation of hydride platelets""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_007_chunk3,Fig. 3,Radial-circumferential cross-sections showing blister growth with air jets on a tube with 100-ppm hydrogen equivalent (H + 1/2δD) made up primarily of deuterium. Bath temperature was 350°C,Zircaloy,tube,air-jet blister growth,blister growth study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""hydrogen_equivalent"": ""100 ppm"", ""deuterium_content"": ""primarily deuterium"", ""bath_temperature"": ""350°C""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_007_chunk3,Fig. 4,Blister grown for an equivalent period of time at 350°C as that of the largest blister in Fig. 3 except that the bath temperature was thermally cycled four times per day to 100°C,Zircaloy,tube,thermally cycled blister growth,blister growth study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""thermal_cycling"": ""4 times per day"", ""temperature_range"": ""100°C to 350°C"", ""hydride_distribution"": ""extended zone with high hydrogen concentrations""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_007_chunk3,Table 2,"H content ppm: 40 (estimated) for Tube 2, 37 for Tube 11",Zircaloy-2,pressure tube,pressurized loop test,blister characterization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""hydrogen_content_tube2"": ""40 ppm (estimated)"", ""hydrogen_content_tube11"": ""37 ppm"", ""number_of_blisters_tube2"": ""36"", ""number_of_blisters_tube11"": ""38"", ""maximum_profile_height_tube2"": ""0.048 mm"", ""maximum_profile_height_tube11"": ""0.053 mm"", ""average_profile_height_tube2"": ""0.027 mm"", ""average_profile_height_tube11"": ""0.030 mm"", ""blisters_above_0.025mm_tube2"": ""20"", ""blisters_above_0.025mm_tube11"": ""27"", ""blister_shape"": ""semi-ellipsoidal with circular cross section"", ""average_diameter"": ""1.8 mm""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_007_chunk3,Fig. 5-6,"For blisters on Tube 11, the maximum crack depths are shown plotted against blister depth. These data indicate that the crack depths were a fraction (0.3 to 0.5) of the blister depth",Zircaloy-2,pressure tube,metallography,crack analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""hydrogen_content"": ""37 ppm"", ""blister_depth_to_height_ratio"": ""~12:1"", ""crack_depth_fraction"": ""0.3-0.5 of blister depth"", ""crack_orientation"": ""circumferential (4-5 cracks) and axial (1-2 cracks)"", ""cracking_threshold"": ""blisters <0.3 mm depth were uncracked""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_007_chunk3,Fig. 7,"For blisters from reactor or from the pressurized loop tests, hydrides oriented close to the radial axial plane were noted",Zircaloy-2,pressure tube,reactor service/pressurized loop,hydride orientation analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""hydride_orientation"": ""radial-axial plane"", ""stress_condition"": ""stressed"", ""cracking_behavior"": ""contained small cracks""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_007_chunk3,Fig. 8,Traces of the profiles of several of the air-jet-grown blisters are shown in Fig. 8,Zircaloy,tube,air-jet blister growth,profile analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""hydride_orientation"": ""predominantly circumferential"", ""cracking_behavior"": ""not cracked as-grown"", ""symmetry"": ""cylindrical symmetry about tube radial direction"", ""profile_variability"": ""significant variability in blister shape""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_007_chunk3,Fig. 9,"Knoop microhardness surveys across several blisters are shown in Fig. 9. There is a high, positive correlation between microhardness and deuterium concentration",Zircaloy,tube,microhardness testing,mechanical properties characterization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""microhardness_correlation"": ""high positive correlation with deuterium concentration"", ""hardness_variation"": ""continuous variation with depth"", ""radial_axial_plane"": ""little hardness variation"", ""material_anisotropy"": ""pressure tube plastically anisotropic, blisters more isotropic""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_007_chunk4,Fig. 10,Figure 10 shows the results of the U/T response as a function of the maximum crack depth for the three forward looking transducers,,tube with blisters,ultrasonic scanning,ultrasonic testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""ultrasonic_response"": ""variable across transducers"", ""crack_detection_threshold"": ""0.20 mm"", ""crack_depth_vs_response"": ""shown in Fig. 10""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_007_chunk4,Fig. 5,FIG. 5—This illustrates the relationship found between profile height and blister depth determined metallographically,,blistered tube,metallographic examination,profile measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""profile_height_vs_blister_depth"": ""correlation shown""}"
