文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_014_chunk1,text,"Crack initiation sites in commercial Zircaloy tubing were found to be associated with impurities (iron, aluminum, silicon, and chromium) in the Zircaloy surface",Zircaloy,commercial tubing,,microsurface examination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_014_chunk1,Table 1,"ZrI, Enthalpy of Formation, ∆H (f, 298), kJ/mol: 403",,gaseous,,thermodynamic measurement,1,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,403.0,kJ/mol,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_014_chunk1,Table 2,"ZrI, Enthalpy of Formation, ΔH° (f, 298), kJ/mol: -142",,solid,,thermodynamic measurement,1,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,-142.0,kJ/mol,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_014_chunk1,text,monoiodide (composition range ZrI1.1 to ZrI1.3),,solid,,composition measurement,1,,,,,,,,,,,,,,,,,,,,,,,,,1.1–1.3,I/Zr ratio,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_014_chunk1,text,AES study of a heated zirconium specimen exposed to small pressures of iodine [11]. The intensity of the AES signal due to iodine chemisorbed on the zirconium surface was measured as a function of the flux of iodine gas (equivalent to iodine atom pressures in the range of 10^-9 to 10^-11 atm) impinging on the surface at temperatures from 1000 to 1300 K,zirconium,heated specimen,chemisorption,AES study,,,,,,,,,,,,,,,,,,726.85,iodine gas,1.01325e-07,,,,,,,,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_014_chunk2,text,The enthalpy of formation of the chemisorbed iodine was found to be $- 1 4 6 \mathrm { \bf ~ k J }$ per gram atom of iodine chemisorbed,,chemisorbed,,thermodynamic measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,-146,kJ/mol,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_014_chunk3,text,"release of small amounts of iodine near a stressed flaw would cause SCC, but, if released far from the flaw, would not",Zircaloy,stressed,,SCC test,,,,,,,,,,,,,,,,,,,iodine,,,,,,,,,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_014_chunk3,text,"The minimum surface concentration that caused SCC in the test of Peehs et al [13, 14] $( \sim 3 \times 1 0 ^ { - 6 } \mathbf { g }$ iodine per square centimetre of Zircaloy)",Zircaloy,,,SCC test,,,,,,,,,,,,,,,,,,,iodine,,,,,,,,,,,,,,,,,,,,,3e-06,g/cm²,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_014_chunk3,text,the Peehs et al. value would represent about $1 5 \times 1 0 ^ { 1 5 }$ atoms of iodine per square centimetre or about 30 monolayers of iodine over the entire surface,Zircaloy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5e+16,atoms/cm²,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_014_chunk3,text,the partial pressure of monatomic iodine in equilibrium with a monolayer of chemisorbed iodine is about $1 0 ^ { - 1 9 }$ atm at $\bf { 6 0 0 1 }$,Zircaloy,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,1e-19,atm,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_014_chunk3,text,"crack initiation sites in iodine SCC in commercial Zircaloy tubing are associated with local higher-than-normal concentrations of impurities (iron, chromium, aluminum, silicon and others)",Zircaloy,tubing,commercial,SCC test,,,,"{'value': None, 'unit': 'wt%'}","{'value': None, 'unit': 'wt%'}",,,,,,,"{'value': None, 'unit': 'wt%'}",,,,,"{'value': None, 'unit': 'wt%'}",,iodine,,,,,,,,,,,,,,,,,,,,,20,fold,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_014_chunk3,Fig. 3,"The band of material (about 0.01 mm wide and about 0.2 mm long), extending upward from the hole contained a few percent of iron and iodine and some chromium and silicon",Zircaloy-2,failure site,,SCC test,,,,"{'value': None, 'unit': 'wt%'}","{'value': None, 'unit': 'wt%'}",,,,,,,,,,,,"{'value': None, 'unit': 'wt%'}",,iodine,,,,,,,,,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_014_chunk4,text,crack initiation occurs at sites in the Zircaloy surfaces that have local concentrations of impurity elements,Zircaloy,surface,,SCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_014_chunk4,text,Ferrill and Minassian found iron-rich inclusions associated with premature failure of Zircaloy in tension tests without iodine,Zircaloy,,,tension test,,,,"{'value': None, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,without iodine,,,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_014_chunk4,text,"brittle, iron-containing grain boundary inclusions crack at small strains",Zircaloy,grain boundary inclusions,,,,,,"{'value': None, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,small,,,,,,,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_014_chunk4,text,Crack initiation is probably the most time-consuming part of the overall failure process in iodine-induced SCC of Zircaloys,Zircaloy,,,SCC,,,,,,,,,,,,,,,,,,,iodine,,,,,,,,,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_014_chunk5,abstract,"Hence, the thick unbreached oxide on the low-gas-release rod provided greater resistance to iodine SCC than the breached oxide on the high-gas-release rod.",,cladding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
