文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,条件哈希,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,应变率(s-1),压力(MPa),辐照剂量(dpa),通量,时间(h),气氛,密度公式,密度数据,比热容公式,比热容数据,热传导率公式,热传导率数据,弹塑性模型公式,弹塑性模型数据,热膨胀公式,热膨胀数据,辐照蠕变公式,辐照蠕变数据,辐照肿胀公式,辐照肿胀数据,腐蚀公式,腐蚀数据,硬化性能公式,硬化性能数据,额外性质
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_041_chunk1,text,growth specimens with various fabrication parameters were irradiated in a pressurized water reactor (PWR) to high fluences,Zircaloy-4,various fabrication parameters,irradiated,growth specimens,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,"{""irradiation_growth"": ""increased with increasing yield strength at 300°C"", ""grain_size_effect"": ""growth depends on grain size especially below 2μm at 330-350°C"", ""carbon_content_effect"": ""growth depends on carbon content at 330-350°C"", ""precipitate_types"": ""(Fe+Cr+Zr) and (Fe+Zr) intermetallics"", ""precipitate_dissolution"": ""(Fe+Zr)-type dissolves above 5×10²¹ cm⁻² at ≤300°C"", ""precipitate_amorphization"": ""(Fe+Cr+Zr)-type becomes amorphous and releases iron"", ""dislocation_formation"": ""c-component dislocation loops form at ≥9×10²¹ cm⁻²""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_041_chunk1,text,"Recrystallized material, which has a low yield strength, exhibits an increased growth rate at very high fluences",Zircaloy-4,recrystallized,irradiated,growth specimens,,,,,,,,,,,,,,,,,,,,,,,,≳1×10²² cm⁻²,,,,,,,,,,,,,,,,,,,,,"{""yield_strength"": ""low"", ""irradiation_growth_rate"": ""increased at very high fluences"", ""recovery_behavior"": ""early growth recoverable, later accelerated growth not recoverable""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_041_chunk1,text,"At temperatures in the range of 330 to 350°C, the growth depends on the grain size, especially below 2μm",Zircaloy-4,,irradiated,growth specimens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""grain_size_effect"": ""strong dependence below 2μm"", ""carbon_content_effect"": ""growth depends on carbon content"", ""yield_strength_effect"": ""less pronounced than at 300°C due to irradiation-induced recovery""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_041_chunk1,text,TEM showed that an irradiation-induced formation of dislocations with a c-component occurs at neutron fluences ≥9×10²¹ cm⁻²,Zircaloy-4,,irradiated,TEM analysis,,,,,,,,,,,,,,,,,,,,,,,,≥9×10²¹ cm⁻²,,,,,,,,,,,,,,,,,,,,,"{""dislocation_type"": ""c-component dislocation loops"", ""formation_fluence_threshold"": ""≥9×10²¹ cm⁻²"", ""lower_fluence_effects"": ""dislocation loops or fine precipitates or both""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_041_chunk2,Table 1,"Lot Z, Ingot A, Sn 1.64%, Fe 0.22%, Cr 0.11%, O 0.14%, C 110 ppm, Condition β-quenched, R_p12 400°C 154 N/mm², Grain Size ..., Texture Factor 0.230",Zircaloy,β-quenched,β-quenching,yield strength measurement,,,1.64,,0.22,0.11,,,,,,0.14,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""yield_strength_400C"": ""154 MPa"", ""texture_factor"": ""0.23"", ""grain_size"": ""not specified""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_041_chunk4,Text,Postirradiation annealing of recrystallized and stress-free irradiated specimens at 500°C for 24 to 48 h resulted in a reduction in length of 0.065 to 0.10%,,recrystallized and stress-free,postirradiation annealing,annealing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""length_reduction"": ""0.065-0.10%"", ""length_reduction_raw_unit"": ""%"", ""fluence_range"": ""5×10²¹ to 1.63×10²² cm⁻² (≥0.82 MeV)""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_041_chunk4,Table 4,"The observed number density, average size, type and Fe-to-Cr ratio of the ZrFeCr intermetallics are summarized in Table 4",Zircaloy,,,precipitate analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""precipitate_type"": ""ZrFeCr intermetallics"", ""parameters_measured"": [""number density"", ""average size"", ""Fe-to-Cr ratio""]}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_041_chunk4,Text,"Before irradiation, almost all iron and chromium is segregated. After irradiation at 290 to 300°C, about 60 to 80% of the iron and chromium content of the intermetallics will have gone into solution at a fluence of 5×10²¹ cm⁻²",Zircaloy,,irradiation,elemental analysis,,,,,,,,,,,,,,,,,,,,,,,,5×10²¹ cm⁻²,,,,,,,,,,,,,,,,,,,,,"{""Fe_Cr_solution_fraction"": ""60-80%"", ""Fe_Cr_solution_fraction_raw_unit"": ""%"", ""temperature_range"": ""290-300°C"", ""fluence"": ""5×10²¹ cm⁻²""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_041_chunk4,Text,"70 to 90% at a fluence of 1.1×10²² cm⁻², and more than 95% at a fluence of 1.7×10²² cm⁻² (≥0.82 MeV)",Zircaloy,,irradiation,elemental analysis,,,,,,,,,,,,,,,,,,,,,,,,1.1×10²² cm⁻²,,,,,,,,,,,,,,,,,,,,,"{""Fe_Cr_solution_fraction"": ""70-90%"", ""Fe_Cr_solution_fraction_raw_unit"": ""%"", ""temperature_range"": ""290-300°C"", ""fluence"": ""1.1×10²² cm⁻²""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_041_chunk4,Text,more than 95% at a fluence of 1.7×10²² cm⁻² (≥0.82 MeV),Zircaloy,,irradiation,elemental analysis,,,,,,,,,,,,,,,,,,,,,,,,1.7×10²² cm⁻²,,,,,,,,,,,,,,,,,,,,,"{""Fe_Cr_solution_fraction"": "">95%"", ""Fe_Cr_solution_fraction_raw_unit"": ""%"", ""temperature_range"": ""290-300°C"", ""fluence"": ""1.7×10²² cm⁻²""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_041_chunk4,Fig. 4,Irradiation growth of PWR fuel rods with Zircaloy cladding versus carbon content,Zircaloy,cladding,,irradiation growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""irradiation_growth"": ""versus carbon content""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_041_chunk4,Fig. 5,Effect of post irradiation annealing (500°C/24h) on length of growth specimens,,growth specimens,post irradiation annealing,annealing effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""treatment"": ""post irradiation annealing"", ""length_change_effect"": ""measured""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_041_chunk5,Table 4,Atchive; Z; β-quenched; 0; ...; 5 × 108; ...; 0.19; Zr(FeCr)2; 2.4(1.83.6); no; none; no,,β-quenched,,irradiation,,,,,,,,,,,,,,,,,,,,,,,,0 cm⁻²,,,,,,,,,,,,,,,,,,,,,"{""Number Density (TEM)"": ""5 × 10⁸ cm⁻²"", ""Intermetallic Average Size (TEM)"": ""0.19 μm"", ""Intermetallic Type"": ""Zr(FeCr)2"", ""Fe/Cr Ratio of Zr(FeCr)n"": ""2.4 (1.8-3.6)"", ""C-Composition Dislocations"": ""no"", ""Diameter of Dislocation Loops"": ""none"", ""Coherent Precipitates"": ""no""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_041_chunk5,Table 4,"5 Archive; x; B-quenched RX; 9 10^21 0; ...; 1.3 × 107; 2 × 108; · ·; 0.15; (FeCr) ZrFeCr)2; 0.5(0.3-0.7) 2.3(22.5); yes no; 9 none; yes"" no",,B-quenched RX,,irradiation,,,,,,,,,,,,,,,,,,,,,,,,9 × 10²¹ cm⁻²,,,,,,,,,,,,,,,,,,,,,"{""Number Density (Met. + SEM)"": ""1.3 × 10⁷ cm⁻²"", ""Number Density (TEM)"": ""2 × 10⁴ cm⁻²"", ""Intermetallic Average Size (TEM)"": ""0.15 μm"", ""Intermetallic Type"": ""(FeCr) Zr(FeCr)2"", ""Fe/Cr Ratio of Zr(FeCr)n"": ""0.5 (0.3-0.7) and 2.3 (2-2.5)"", ""C-Composition Dislocations"": ""yes and no"", ""Diameter of Dislocation Loops"": ""9 nm and none"", ""Coherent Precipitates"": ""yes and no""}"
