文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_006_chunk1,abstract,Single- and five-tube configurations of pressurized water reactor cladding were ruptured at constant pressures and heating rates with simulated reactor boundary conditions,Zircaloy-4,cladding,testing,rupture test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_006_chunk1,nomenclature,Ductility ( C_f ~ C_i ) / C_i,,,,ductility test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_006_chunk1,text,Hardy studied the deformation history of Zircaloy-4 by electrically heating tubular specimens at approximately 50°F/s (28°C/s) to a specific temperature level,Zircaloy-4,tubular specimens,testing,deformation test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_006_chunk1,text,"Presented are mechanical property data for two types of PWR tubing, typical temperature and ductility distributions at rupture, and clad swell distributions",Zircaloy-4,tubing,testing,mechanical test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_006_chunk1,text,The purpose of the test facility was to sustain a constant internal pressure and heating rate on the Zircaloy specimens until they ruptured,Zircaloy-4,specimens,testing,rupture test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_006_chunk1,text,The vacuum system was used in conjunction with the argon supply to reduce the shroud pressure to approximately 1 psi,Zircaloy-4,specimens,testing,pressure test,,,,,,,,,,,,,,,,,,,,,,,,,argon,,,,,,,0.00689476,MPa,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_006_chunk2,text,the specimens and shroud were heated to $6 0 0 ^ { \circ } \mathbf { F }$ $( 3 1 5 ^ { \circ } \mathrm { C } )$,Zircaloy-4,clad tube,pretest heating,heating,,,,,,,,,,,,,,,,,,,,,,,,,argon,,,,,,,,,315,°C,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_006_chunk2,text,nominal tube pressures from 400 to 1400 psia (2.5 to $1 0 \ \mathbf { M N } / \mathbf { m } ^ { 2 },Zircaloy-4,tube,testing,rupture test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5–10.0,MPa,14–42,°C/s,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_006_chunk3,Fig. 10,Figure 10 exhibits histograms of Type A and Type B fracture thicknesses.,Zircaloy,"Type A, Type B tubes",,fracture test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_006_chunk3,Summary,"Zircaloy-4 specimens were heated internally by tungsten heaters and simultaneously heated externally by an electrically heated shroud, while the tubes were maintained at constant pressure.",Zircaloy-4,,heating,rupture test,,,,,,,,,,,,,,,,,,,,,,,,,argon,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_006_chunk3,Summary,Data were collected over a pressure range of 400 to 1400 psi (2.5 to 10 MN/m²).,Zircaloy-4,,,pressure test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5–10.0,MPa,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_006_chunk3,Conclusions,"Both Type A and Type B clad behave similarly on temperature-stress, ductility-stress, and fracture thickness diagrams.",Zircaloy-4,"Type A, Type B",,mechanical test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_006_chunk3,Conclusions,"Multitube rupture is not coplanar, but is distributed axially along the bundle, depending on the location of the point of maximum temperature for each bundle tube.",Zircaloy-4,multitube,,rupture test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_006_chunk4,text,The radiation-style heater operates at significantly higher temperatures $( \sim 3 5 0 0 \% )$ than the conduction heater,,operating,,heater operation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,°C,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_006_chunk4,text,a tungsten radiation heater was selected,tungsten,heater element,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_006_chunk4,text,"The radiation heater is a layered arrangement with a tungsten rod heating element, quartz tube, and Zircaloy clad",Zircaloy,clad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_006_chunk4,text,"the electrical resistivity property of tungsten, which is a strong function of temperature",tungsten,heating element,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
