文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,条件哈希,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,应变率(s-1),压力(MPa),辐照剂量(dpa),通量,时间(h),气氛,密度公式,密度数据,比热容公式,比热容数据,热传导率公式,热传导率数据,弹塑性模型公式,弹塑性模型数据,热膨胀公式,热膨胀数据,辐照蠕变公式,辐照蠕变数据,辐照肿胀公式,辐照肿胀数据,腐蚀公式,腐蚀数据,硬化性能公式,硬化性能数据,额外性质
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_005_chunk1,p. 318,ABSTRACT: This paper was prepared for the 1991 Kroll Award. A review is presented of the development of barrier fuel.,Zircaloy,cladding,,review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""application"": ""nuclear fuel cladding"", ""failure_mode"": ""pellet-cladding interaction (PCI)"", ""mechanism"": ""stress-corrosion cracking""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_005_chunk2,text,crystal bar zirconium liner metallurgically bonded to the Zircaloy,Zircaloy,liner,metallurgically bonded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""barrier_thickness"": ""≈75 μm"", ""barrier_type"": ""crystal bar zirconium""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_005_chunk2,text,zirconium-barrier based on use of sponge zirconium,zirconium-barrier,,,,,"{'value': 100, 'unit': 'wt%', 'raw_unit': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""material_source"": ""sponge zirconium""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_005_chunk2,text,copper was a thin layer (≈10 μm) electrodeposited,copper-barrier,layer,electrodeposited,,,,,,,,,"{'value': 100, 'unit': 'wt%', 'raw_unit': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""barrier_thickness"": ""≈10 μm"", ""deposition_method"": ""electrodeposited""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_005_chunk2,text,expanding mandrel tests,Zircaloy,cladding tubes,irradiated,expanding mandrel test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""test_configuration"": ""noncompliant loading"", ""loading_condition"": ""plane-strain"", ""chemical_environment"": ""iodine or cadmium"", ""specimen_type"": ""unfueled tubes or unfueled plenum regions""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_005_chunk2,text,localized ductility tests,Zircaloy,cladding,,localized ductility test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""test_configuration"": ""noncompliant loading"", ""loading_condition"": ""plane-strain"", ""chemical_environment"": ""iodine or cadmium""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_005_chunk2,text,laboratory test of barrier cladding under simulated loss-of-coolant accident (LOCA) conditions,barrier cladding,cladding,,LOCA test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""test_type"": ""simulated LOCA"", ""barrier_types_tested"": ""copper-barrier and zirconium-barrier""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_005_chunk3,text,"The copper-barrier col e plat directy onto einersurfacea Zircaloy tubAlteatively, the op could be plated onto an oxidized (in an autoclave) Zircaloy surface",Zircaloy,oxidized surface,autoclave oxidation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""barrier_type"": ""copper-barrier"", ""surface_treatment"": ""oxidized"", ""purpose"": ""inhibit interdiffusion of copper with Zircaloy""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_005_chunk3,text,The zirconium-barrier could be made with a liner material made either from crystal bar zirconium or from sponge zirconium,zirconium,liner material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""barrier_type"": ""zirconium-barrier"", ""material_types"": [""crystal bar zirconium"", ""sponge zirconium""]}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_005_chunk3,text,the PCI-resistance of the copper-barrier fuel did not persist beyond burnup ≈15 MWd/kgU,,copper-barrier fuel,,power ramp test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""PCI_resistance"": ""did not persist beyond burnup ≈15 MWd/kgU"", ""performance"": ""rejected as candidate remedy""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_005_chunk3,text,"multiple ramp tests of zirconium-barrier fuel were done. After a successful ramp test at burnup, 7 to 23 MWd/kgU",zirconium-barrier,fuel,,ramp test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""PCI_resistance"": ""successful"", ""deconditioning"": ""reirradiation at low power for additional ≈5 MWd/kgU""}"
