文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_023_chunk1,text,"At low applied stresses (that is, below the unirradiated flow stress of wellannealed material) he suggested [4] that the creep is primarily due to the stress-induced preferred orientation and growth of vacancy or interstitial loops or both.",zirconium-base alloys,well-annealed,,irradiation creep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_023_chunk1,text,At somewhat higher stresses the creep rate is believed to be controlled by the glide and climb of edge dislocations [4].,zirconium-base alloys,,,irradiation creep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_023_chunk1,text,"The primary obstacles to the glide of dislocations, after moderate radiation exposures (at temperatures $< 0 . 3 ~ T _ { m }$ ) are believed to be the radiation-produced depleted zones [7].",zirconium-base alloys,,,irradiation creep,,,,,,,,,,,,,,,,,,<0.3Tm,,,,moderate,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_023_chunk1,text,"At stresses up to the post-irradiation-hardened flow stress, the creep rate is controlled by climb to escape the depleted zones",zirconium-base alloys,post-irradiation-hardened,,irradiation creep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_023_chunk1,text,Dollins [9] proposed a hightemperature theory which allowed vacancy boil-off and migration as well as interstitial migration and his model is consequently applicable in the temperature range of most interest for the creep of structural materials in operating reactors,zirconium-base alloys,,,irradiation creep,,,,,,,,,,,,,,,,,,high temperature,,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_023_chunk2,text,At low temperatures $( T \ < 0 . 0 8 \ T _ { m } )$ field ion microscopy indicates that the damage regions contain typically $\gtrsim ~ 1 0$ percent vacancies,,irradiated,irradiation,field ion microscopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,wt%,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_023_chunk2,text,at temperatures of interest $( \sim 3 0 0 ^ { \circ } \mathrm { C } )$ for creep in zirconium-base alloys the damage would consist of spherical voids and isolated interstitials with very few isolated vacancies,zirconium-base alloys,irradiated,irradiation,theoretical analysis,,,,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_023_chunk2,Fig. 3,Bement [19] $( \bullet )$ at $2 8 0 ^ { \circ } C$,zirconium alloys,irradiated,irradiation,relaxation time measurement,,,,,,,,,,,,,,,,,,280.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_023_chunk2,Fig. 3,Wood and Watkins [20] $( \bullet )$ at $2 7 5 ^ { \circ } C$,zirconium alloys,irradiated,irradiation,radiation creep,,,,,,,,,,,,,,,,,,275.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_023_chunk4,text,zirconium-base alloys operating near $3 0 0 ^ { \circ } \mathrm { C }$,zirconium-base alloys,,,,,,,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,300.0,°C,,,,,,,,
