文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_036_chunk1,abstract,greater oxide film thicknesses (7 to $1 2 \mu \mathrm { m }$ or 0.28 to 0.47 mils) than the values predicted from the time-temperature history of the components (3 to $5 \mu \mathrm { { m } }$ or 0.12 to 0.20 mils),Zircaloy-2,cladding,irradiation,corrosion test,,,,,,,,,,,,,,,,,,,PWR coolant,,,,,41000.0,,,,,,,,,,,,,,,,7.0–12.0,μm,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_036_chunk1,abstract,Shippingport PWR coolant is maintained at a hydrogen concentration in the range 10 to $6 0 \mathrm { c } ^ { 3 } \mathrm { H } _ { \mathrm { 2 } } / \mathrm { k g } \mathrm { H } _ { \mathrm { 2 } } \mathrm { O }$,,,,,,,,,,,,,,,,,,,,,,,PWR coolant,,,,,,,,,,,,,,,,,,,,,10.0–60.0,ppm,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_036_chunk1,text,"maximum fast fluence exposure of $6 8 \times 1 0 ^ { 2 0 }$ nvt, $> 1 \ \mathsf { M e V }$",Zircaloy-2,cladding,irradiation,irradiation test,,,,,,,,,,,,,,,,,,,,,,,6.8e+20,27780.0,,,,,,,,,,,,,,6.8e+20,n/cm²,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_036_chunk1,text,"largest calculated fast fluence accumulation $( \sim 7 8 \times 1 0 ^ { 2 0 } \ \mathrm { n v t } , > \ 1 $ MeV)",Zircaloy-2,cladding,irradiation,irradiation test,,,,,,,,,,,,,,,,,,,,,,,7.8e+20,40980.0,,,,,,,,,,,,,,7.8e+20,n/cm²,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_036_chunk1,text,total accrued exposure of the MELBA bundles to 40 980 EFPH,Zircaloy-2,cladding,irradiation,irradiation test,,,,,,,,,,,,,,,,,,,,,,,,40980.0,,,,,,,,,,,,,,,,40980.0,h,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_036_chunk1,text,A modest crud buildup of $\sim 5$ to 6 mils was evident in some of the flow holes in the tube sheet,Zircaloy-2,tube sheet,irradiation,crud deposition test,,,,,,,,,,,,,,,,,,,PWR coolant,,,,,13200.0,,,,,,,,,,,,,,,,5.0–6.0,mm,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_036_chunk1,text,"The maximum crud thickness (8 mils) was found at the inlet end of Rod 10, Bundle 070",Zircaloy-2,rod,irradiation,crud deposition test,,,,,,,,,,,,,,,,,,,PWR coolant,,,,,13200.0,,,,,,,,,,,,,,,,8.0,mm,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_036_chunk2,text,"The bulk of the oxide corrosion film was found to be uniform gray-tan in color, typical of a Zircaloy post-transition corrosion product.",Zircaloy,corrosion film,corrosion,visual observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_036_chunk3,Table 1,202/1a 1 2 9.8 11.7 20 40 8-12 10-12 0.81 0.69 107 124 3.4 4.3 75 112 523,Zircaloy,cladding,irradiation,corrosion test,,,,,,,,,,,,,,,,,,,PWR reactor,,,,,,,,,,,,,,,,,,,,,523.0,°C,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_036_chunk4,table,"Bundle 202, Rod 1, Region 1: CalculatedH 267, MaxH 400, MeasuredH 82, % Theoretical 21",Zircaloy-2,MELBA rods,,hydrogen analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,wt%,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_036_chunk5,1,"the current set of MELBA data produce acceleration factors of 1.7 to 3.0, with an average value of 2.4",Zircaloy-2,MELBA rods,irradiation,corrosion,,,,,,,,,,,,,,,,,,,PWR coolant,,,,,,,,,,,,,,,,,,,,,1.7–3.0,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_036_chunk5,1,Bundle 070 actually produced the thinnest oxides whereas the maximum corrosion products were found on the bundle that experienced lower temperatures but greater fast fluence accumulations (Bundle 202),Zircaloy-2,Bundle 070,irradiation,corrosion,,,,,,,,,,,,,,,,,,maximum exposure temperature,PWR coolant,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_036_chunk5,1,Bundle 202 experienced lower temperatures but greater fast fluence accumulations,Zircaloy-2,Bundle 202,irradiation,corrosion,,,,,,,,,,,,,,,,,,lower,PWR coolant,,,,greater fast fluence,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_036_chunk5,1,less than half of the anticipated hydrogen uptake was actually found in the cladding,Zircaloy-2,cladding,irradiation,hydrogen pickup,,,,,,,,,,,,,,,,,,,PWR coolant,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_036_chunk5,1,Water specifications for the Shippingport PWR require only that the makeup water contain $< 0 . 1 4$ ppm oxygen,,makeup water,,composition,,,,,,,,,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,0.14,ppm,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_036_chunk6,text,The longterm out-of-reactor (autoclave) Zircaloy-2 corrosion data of Kass [7] were employed to derive an empirical relationship equating the post-transition (linear) corrosion rate constant with an exponential function of the reciprocal of the absolute temperature of the corroding surface,Zircaloy-2,,,corrosion,,,,,,,,,,,,,,,,,,,autoclave,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_036_chunk6,text,Zircaloy corrosion acceleration would not take place in the highly reducing environment of the PWR coolant,Zircaloy,,,corrosion,,,,,,,,,,,,,,,,,,,PWR coolant,,,,,,highly reducing,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_036_chunk6,text,"the large discrepancy between measured and predicted oxide film thicknesses in the current examination is assumed to be indicative of the excess corrosion associated with the fast neutron irradiation exposure, even in the presence of a highly reducing environment",Zircaloy,fuel rods,,corrosion,,,,,,,,,,,,,,,,,,,,,,,,,highly reducing,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_036_chunk6,text,"the axial distribution of oxide film thicknesses on the fuel rods is predicted by the ex-reactor empirical equation due, primarily, to the predicted surface temperature gradients derived from measured bulk coolant temperatures, crud thicknesses, and axial heat flux values",Zircaloy,fuel rods,,corrosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
