文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,条件哈希,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,应变率(s-1),压力(MPa),辐照剂量(dpa),通量,时间(h),气氛,密度公式,密度数据,比热容公式,比热容数据,热传导率公式,热传导率数据,弹塑性模型公式,弹塑性模型数据,热膨胀公式,热膨胀数据,辐照蠕变公式,辐照蠕变数据,辐照肿胀公式,辐照肿胀数据,腐蚀公式,腐蚀数据,硬化性能公式,硬化性能数据,额外性质
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_013_chunk1,text,Pressure tubes in CANDU reactors are manufactured by extrusion and cold work from Zr-2.5Nb,Zr-2.5Nb,pressure tube,extrusion and cold work,irradiation growth,,"{'value': 97.5, 'unit': 'wt%', 'raw_unit': 'wt%'}",,"{'value': 2.5, 'unit': 'wt%', 'raw_unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""length"": ""6 m"", ""elongation_rate"": ""several millimetres per year""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_013_chunk1,text,"The irradiations are performed in the Osiris reactor at Saclay, France, in two inserts with nominal operating temperatures of 280°C (Trillium 2) and 310°C (Trillium 3)",Zr-2.5Nb,specimen,irradiation,irradiation growth,,"{'value': 97.5, 'unit': 'wt%', 'raw_unit': 'wt%'}",,"{'value': 2.5, 'unit': 'wt%', 'raw_unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""irradiation_temperature_range"": ""262-309°C"", ""fast_neutron_flux"": ""1.8×10¹⁸ n/m²·s (E > 1 MeV)"", ""temperature_dependence"": ""negative (increase in temperature decreases growth rate)""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_013_chunk1,text,an increase in iron in the range 367 to 1060 ppm reduces the growth rate by about 2×10⁻²⁹ m²/n,Zr-2.5Nb,specimen,various,irradiation growth,,"{'value': 97.5, 'unit': 'wt%', 'raw_unit': 'wt%'}",,"{'value': 2.5, 'unit': 'wt%', 'raw_unit': 'wt%'}","{'value': '367-1060', 'unit': 'ppm', 'raw_unit': 'ppm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""iron_content_range"": ""367-1060 ppm"", ""growth_rate_reduction"": ""2×10⁻²⁹ m²/n""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_013_chunk1,text,"Early production allowed the iron to vary from about 300 up to 1500 ppm. In a few cases, special tubes had iron contents as low as 150 ppm and as high as 2000 ppm",Zr-2.5Nb,pressure tube,production,not specified,,"{'value': 97.5, 'unit': 'wt%', 'raw_unit': 'wt%'}",,"{'value': 2.5, 'unit': 'wt%', 'raw_unit': 'wt%'}","{'value': '150-2000', 'unit': 'ppm', 'raw_unit': 'ppm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""iron_content_range"": ""150-2000 ppm"", ""specification_change"": ""iron level should be kept below 500 ppm""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_013_chunk1,text,Cold-worked Zircaloy-2 was included because its growth had been well characterized,Zircaloy-2,cold-worked,cold working,irradiation growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""material_state"": ""cold-worked"", ""growth_characterization"": ""well characterized in previous studies""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_013_chunk2,Text,"After machining to 38.1 by 6.4 by 1.5 or 38.1 by 6.4 by $2 . 5 \ \mathrm { m m }$ , the specimens were stressrelieved for 6 or $^ { 3 0 \mathrm { ~ h ~ } }$ at $4 0 0 ^ { \circ } \mathbf { C }$ depending upon whether the tube had already received the standard $2 4 \ \mathbf { h }$ at $4 0 0 ^ { \circ } \mathbf { C }$ used in production.",,machined,stress relief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""specimen_dimensions"": ""38.1×6.4×1.5 mm or 38.1×6.4×2.5 mm""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_013_chunk2,Text,Hydrogen analysis was carried out on a few specimens removed from Trillium 2 after the first and second phases of irradiation. The results suggest that 17 to 43 ppm was picked up from the NaK in the early stages of irradiation,,irradiated,irradiation,hydrogen analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""hydrogen_content"": ""17-43 ppm"", ""hydrogen_source"": ""NaK pickup during irradiation""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_013_chunk2,Table 1,Material B Darlington 2.5 1150 33 676 YES,Zr-2.5Nb,,beta quench,,,,,"{'value': 2.5, 'unit': 'wt%', 'raw_unit': 'wt%'}","{'value': 676, 'unit': 'ppm', 'raw_unit': 'ppm'}",,,,,,,"{'value': 1150, 'unit': 'ppm', 'raw_unit': 'ppm'}",,,,,"{'value': 33, 'unit': 'ppm', 'raw_unit': 'ppm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""tube_type"": ""Darlington"", ""beta_quench"": ""YES""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_013_chunk2,Table 1,Material C Pt. Lepreau 2.6 1290 49 392 NO,Zr-2.5Nb,,,,,,,"{'value': 2.6, 'unit': 'wt%', 'raw_unit': 'wt%'}","{'value': 392, 'unit': 'ppm', 'raw_unit': 'ppm'}",,,,,,,"{'value': 1290, 'unit': 'ppm', 'raw_unit': 'ppm'}",,,,,"{'value': 49, 'unit': 'ppm', 'raw_unit': 'ppm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""tube_type"": ""Pt. Lepreau"", ""beta_quench"": ""NO""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_013_chunk2,Table 1,Material D1 Pickering A 2.8 1240 47 990 NO,Zr-2.5Nb,,,,,,,"{'value': 2.8, 'unit': 'wt%', 'raw_unit': 'wt%'}","{'value': 990, 'unit': 'ppm', 'raw_unit': 'ppm'}",,,,,,,"{'value': 1240, 'unit': 'ppm', 'raw_unit': 'ppm'}",,,,,"{'value': 47, 'unit': 'ppm', 'raw_unit': 'ppm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""tube_type"": ""Pickering A"", ""beta_quench"": ""NO""}"
