文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,条件哈希,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,应变率(s-1),压力(MPa),辐照剂量(dpa),通量,时间(h),气氛,密度公式,密度数据,比热容公式,比热容数据,热传导率公式,热传导率数据,弹塑性模型公式,弹塑性模型数据,热膨胀公式,热膨胀数据,辐照蠕变公式,辐照蠕变数据,辐照肿胀公式,辐照肿胀数据,腐蚀公式,腐蚀数据,硬化性能公式,硬化性能数据,额外性质
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_044_chunk1,text,"Zircaloy-2 and -4 are used widely in the nuclear industry as cladding and structural material for fuel rods because of good thermal. nuclear, and mechanical properties. as well as good resistance to corrosion",Zircaloy-2,as-fabricated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""precipitates"": ""Zr(Cr,Fe)₂ and Zr₂(Ni,Fe)"", ""corrosion_resistance"": ""good""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_044_chunk1,text,"Zircaloy-2 and -4 are used widely in the nuclear industry as cladding and structural material for fuel rods because of good thermal. nuclear, and mechanical properties. as well as good resistance to corrosion",Zircaloy-4,as-fabricated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""precipitates"": ""Zr(Cr,Fe)₂ with lower Cr/Fe ratio"", ""corrosion_resistance"": ""good""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_044_chunk1,text,"The intermetallic precipitates $Z \mathrm { r } _ { \ b { \ b { \ b { \ b { \ b { \ b { \ b { \ b { \ b { \ b { \ b { \ b \Lambda } } } } } } } } } } } } ( \mathrm { N i } , \mathrm { F e } ) $ and $Z \mathrm { r } ( \mathrm { C r } , \mathrm { F e } ) _ { z }$ are present in as-fabricated Zircaloy-2",Zircaloy-2,as-fabricated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""precipitate_types"": [""Zr₂(Ni,Fe)"", ""Zr(Cr,Fe)₂""]}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_044_chunk1,text,"$Z \mathrm { r } ( \mathrm { C r } , \mathrm { F e } ) _ { \beth }$ , with a generally lower Cr/Fe ratio, is present in Zircaloy-4",Zircaloy-4,as-fabricated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""precipitate_type"": ""Zr(Cr,Fe)₂"", ""cr_fe_ratio"": ""lower""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_044_chunk1,text,corrosion rates in Zircaloy increase with decreasing precipitate diameter below a critical value of $\approx 0 . 1 8 \mu \mathrm { m }$,Zircaloy,,,corrosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""critical_precipitate_diameter"": ""≈0.18 μm"", ""correlation"": ""corrosion rates increase with decreasing precipitate diameter below critical value""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_044_chunk2,Text,"The results for $Z \mathrm { r } ( \mathrm { C r } , \mathrm { F e } ) _ { 2 }$ precipitates show a temperature dependence of the dose to amorphization that is similar to the exponential dependence found under electron irradiation",Zircaloy,precipitate,irradiation,neutron irradiation,,"{'value': None, 'unit': 'wt%', 'raw_unit': None}",,,"{'value': None, 'unit': 'wt%', 'raw_unit': None}","{'value': None, 'unit': 'wt%', 'raw_unit': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""amorphization_critical_temperature"": ""580 K"", ""amorphization_mechanism"": ""related to occurrence of cascades"", ""amorphization_criterion"": ""T_c ≈ 0.3 T_m""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_044_chunk2,Text,An amorphous layer is formed first at the interface and moves inwards at a velocity of $1 0 \ \mathrm { n m }$ per $1 0 ^ { 2 5 } ~ \mathrm { { n/m } } ^ { 2 }$,Zircaloy,precipitate,neutron irradiation,amorphization,,"{'value': None, 'unit': 'wt%', 'raw_unit': None}",,,"{'value': None, 'unit': 'wt%', 'raw_unit': None}","{'value': None, 'unit': 'wt%', 'raw_unit': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""amorphization_rate"": ""10 nm per 10²⁵ n/m²"", ""complete_amorphization_fluence"": ""≈10²⁶ n/m²"", ""precipitate_size"": ""0.2 to 0.3 μm diameter"", ""iron_depletion"": ""30% relative to initial value""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_044_chunk2,Text,"For $\mathrm { Z r } _ { 2 } ( \mathrm { N i } , \mathrm { F e } )$ precipitates there are comparatively less data available",Zircaloy,precipitate,irradiation,neutron irradiation,,"{'value': None, 'unit': 'wt%', 'raw_unit': None}",,,"{'value': None, 'unit': 'wt%', 'raw_unit': None}",,"{'value': None, 'unit': 'wt%', 'raw_unit': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""amorphization_state"": ""completely amorphous""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_044_chunk2,Text,completely crystalline after 18 dpa irradiation at $5 8 0 ~ \mathrm { K }$,Zircaloy,precipitate,irradiation,neutron irradiation,,"{'value': None, 'unit': 'wt%', 'raw_unit': None}",,,"{'value': None, 'unit': 'wt%', 'raw_unit': None}",,"{'value': None, 'unit': 'wt%', 'raw_unit': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""amorphization_state"": ""completely crystalline""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_044_chunk6,Table 1,Neutron - Chemical disordering caused by cascades supplemented at the precipitate/matrix interface by a departure from stoichiometry caused by ballistic mixing,Zircaloy,precipitate,neutron irradiation,amorphization study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""amorphization_mechanism"": ""chemical disordering with ballistic mixing"", ""free_energy_rise"": ""chemical disordering supplemented by departure from stoichiometry"", ""temperature_dependence"": ""increased annealing in cascades close to critical temperature"", ""qualitative_aspects"": ""preferential depletion of Fe from precipitates observed after amorphization""}"
