文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,条件哈希,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,应变率(s-1),压力(MPa),辐照剂量(dpa),通量,时间(h),气氛,密度公式,密度数据,比热容公式,比热容数据,热传导率公式,热传导率数据,弹塑性模型公式,弹塑性模型数据,热膨胀公式,热膨胀数据,辐照蠕变公式,辐照蠕变数据,辐照肿胀公式,辐照肿胀数据,腐蚀公式,腐蚀数据,硬化性能公式,硬化性能数据,额外性质
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_023_chunk1,text,"Corrosion exposures were at 360°C and were short term of four-day duration. Concentration of lithium covered the range 0.7 to 3500 ppm and boron was added at 300, 600 and 1200 ppm.",Zircaloy-4,fuel cladding,corrosion exposure,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acceleration observed at >350 ppm Li,,,"{""corrosion_acceleration_threshold"": "">350 ppm Li"", ""test_duration"": ""4 days"", ""temperature"": ""360°C""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_023_chunk1,text,"Corrosion exposures were at 360°C and were short term of four-day duration. Concentration of lithium covered the range 0.7 to 3500 ppm and boron was added at 300, 600 and 1200 ppm.",Zr-2.5Nb,pressure tube material,corrosion exposure,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acceleration observed at >60 ppm Li,,,"{""corrosion_acceleration_threshold"": "">60 ppm Li"", ""test_duration"": ""4 days"", ""temperature"": ""360°C""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_023_chunk1,text,Potentiodynamic polarization measurements were made in separate tests at 315°C,Zircaloy-4,,electrochemical testing,potentiodynamic polarization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""test_temperature"": ""315°C"", ""measurement_type"": ""potentiodynamic polarization""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_023_chunk1,text,Potentiodynamic polarization measurements were made in separate tests at 315°C,Zr-2.5Nb,,electrochemical testing,potentiodynamic polarization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""test_temperature"": ""315°C"", ""measurement_type"": ""potentiodynamic polarization""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_023_chunk2,text,"Zircaloy-4 fuel cladding specimens, $2 . 5 \mathrm { - } \mathsf { c m }$ long and $2 2 \thinspace \mathsf { c m } ^ { 2 }$ in area, were cut from standard cold-worked and stress-relieved tubing $1 . 5 \ \mathrm { c m }$ in diameter and 0.04 cm in wall thickness.",Zircaloy-4,cold-worked and stress-relieved,tubing fabrication,corrosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weight gain data shown in Fig. 1,,,"{""specimen_dimensions"": ""2.5 cm long, 22 cm² area"", ""tube_dimensions"": ""1.5 cm diameter, 0.04 cm wall thickness"", ""surface_preparation"": ""mechanical polishing and pickling in acid baths""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_023_chunk2,text,"Zr-2.5Nb specimens were obtained from CANDU (CANada Deuterium Uranium) pressure tube material, that is, cold-worked and stress-relieved tube $1 0 \ \mathtt { c m }$ in diameter and $\pmb { 0 . 4 \ c m }$ in wall thickness.",Zr-2.5Nb,cold-worked and stress-relieved,pressure tube fabrication,corrosion,,"{'value': 97.5, 'unit': 'wt%', 'raw_unit': 'wt%'}",,"{'value': 2.5, 'unit': 'wt%', 'raw_unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"weight gain data shown in Fig. 2, oxide spalling observed at high lithium concentrations",,,"{""specimen_dimensions"": ""2.5 by 1 cm, 7.5 cm² area"", ""tube_dimensions"": ""10 cm diameter, 0.4 cm wall thickness"", ""surface_preparation"": ""mechanical polishing and pickling in acid baths"", ""application"": ""CANDU pressure tube material""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_023_chunk2,text,"In separate two-day exposure tests at $3 1 6 ^ { \circ } \mathbf { C } .$ ,electrochemical potential and polarization measurements were made.",,,,electrochemical measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""measurement_type"": ""potentiodynamic polarization"", ""reference_electrode"": ""Ag/AgCl (0.01 M KCl)"", ""counter_electrode"": ""platinum gauze"", ""scan_rate"": ""1.2 V/hour""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_023_chunk3,Fig. 3,"Spectrum, Fig. $_ { 3 a , }$ is for a specimen corroded in 3500 ppm lithium solution that had a weight gain of $9 0 0 \mathrm { \ m g } \ \mathrm { d m } ^ { - 2 }$",Zircaloy-4,corrosion film,corrosion,FTIR reflection spectra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weight gain 900 mg dm⁻²,,,"{""oxide_thickness"": ""60 μm"", ""absorption_peaks"": ""3600 cm⁻¹ (O-H stretching), 1600-1400 cm⁻¹ region"", ""interference_peaks"": ""2800-1800 cm⁻¹""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_023_chunk3,Fig. 3,"When ${ \bf H } _ { 3 } { \bf B } { \bf O } _ { 3 }$ , 1200 ppm boron, was added to the $3 5 0 0 ~ \mathsf { p p m }$ lithium solution, the average weight gain was $4 5\mathrm { \ m g \ d m } ^ { - 2 }$",Zircaloy-4,corrosion film,corrosion,FTIR reflection spectra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weight gain 45 mg dm⁻²,,,"{""oxide_thickness"": ""3 μm""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_023_chunk8,Fig. 12,concentration of deuterium in a small volume near the surface is 10²¹,,thin pre-transition film,corrosion,SIMS analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""deuterium_concentration"": ""10²¹ atoms/unit volume near surface"", ""concentration_profile"": ""rapidly decreases with depth""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_023_chunk8,Fig. 6,concentration of lithium is 10²⁰,,thin pre-transition film,corrosion,SIMS analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""lithium_concentration"": ""10²⁰ atoms/unit volume"", ""boron_concentration"": ""1200 ppm"", ""concentration_profile"": ""rapidly decreases with depth""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_023_chunk8,Fig. 5,concentration of lithium in the bulk oxide is 4×10²⁰ before leaching and 5×10¹⁹ after leaching,,thick film,corrosion,SIMS analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""lithium_concentration_before_leaching"": ""4×10²⁰ atoms/unit volume"", ""lithium_concentration_after_leaching"": ""5×10¹⁹ atoms/unit volume"", ""boron_concentration"": ""10²⁰ atoms/unit volume (constant before/after leaching)""}"
