文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,条件哈希,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,应变率(s-1),压力(MPa),辐照剂量(dpa),通量,时间(h),气氛,密度公式,密度数据,比热容公式,比热容数据,热传导率公式,热传导率数据,弹塑性模型公式,弹塑性模型数据,热膨胀公式,热膨胀数据,辐照蠕变公式,辐照蠕变数据,辐照肿胀公式,辐照肿胀数据,腐蚀公式,腐蚀数据,硬化性能公式,硬化性能数据,额外性质
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk1,正文,"The fuel was thorium oxide (ThO₂) and ThO₂·UO₂ pellets, which were sealed in Zircaloy-4 tubes.",Zircaloy-4,管材,燃料棒包壳,辐照测试,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""氢化物分布"": ""包壳壁厚内外表面浓度变化"", ""氢扩散行为"": ""氢向较冷区域扩散""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk1,正文,Hydrogen levels in the cladding were higher at the external surface than at the internal surface because hydrogen diffuses toward the cooler region in a sufficiently high thermal gradient.,Zircaloy,包壳,辐照后,氢含量分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""氢分布特征"": ""外表面氢含量高于内表面"", ""氢扩散机制"": ""热梯度驱动""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk1,正文,massive internal hydriding was not found [16],Zircaloy,包壳,辐照后,氢化物检测,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""氢化物形成"": ""未发现大量内部氢化物"", ""氢浓度"": ""约500 ppm""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk2,text,Hydrides in the vicinity of the defect hole were generally low in concentration with typical uniform levels of about 100 ppm,,cladding,irradiation,defected rod test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""hydrogen_concentration"": ""100 ppm"", ""location"": ""vicinity of defect hole"", ""hydride_distribution"": ""uniform""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk2,text,hydrogen concentrations ranged from <100 ppm near the inner surface to several hundred parts per million (ppm) or more near the outer surface,Zircaloy,cladding,irradiation,defected rod test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""hydrogen_concentration_range"": ""<100 ppm to several hundred ppm"", ""radial_distribution"": ""increasing from inner to outer surface"", ""location"": ""cladding adjacent to ThO2-UO2 annulus""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk2,text,These concentrations varied from about 500 ppm near the inner surface to approximately 12000 ppm in a rim at the outer surface,Zircaloy,cladding,irradiation,defected rod test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""hydrogen_concentration_range"": ""500 ppm to 12000 ppm"", ""radial_distribution"": ""increasing from inner to outer surface with rim formation"", ""location"": ""cladding adjacent to ThO2 spacer pellets"", ""phenomenon"": ""hydrogen cold traps""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk2,text,hydrogen contents of 100 to 200 ppm were found near the rupture area and 1400 ppm at the end of Zircaloy-clad UO2 fuel rods,Zircaloy,cladding,irradiation,defected rod test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""hydrogen_concentration"": ""100-200 ppm (rupture area), 1400 ppm (rod end)"", ""operating_time"": ""200 days"", ""heat_flux"": ""126 W/cm²"", ""location"": ""Zircaloy-clad UO2 fuel rods""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk3,text,"Zima [25,32] assessed experimental data on prefilmed Zircaloy-2 coupon specimens over the 573 to 673 K temperature range",Zircaloy-2,prefilmed coupon,,corrosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log(p_H₂/p_H₂O) = 6(p_H₂)^(2/3); (p_H₂O)_protective ≳ 0.2(p_H₂)^(1/3),,,,"{""hydrogen_pickup_rate"": ""increases drastically"", ""critical_H_HO_ratio"": ""varies over wide range"", ""protective_ratio_function"": ""hydrogen partial pressure""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk3,Table 1,"Defected fuel rod; Temperature, K: 672; Time, h: 1224; Pit, mm: 5.2 × 10³; Measured pH2/PH20: 5 × 10⁻²; Critical pH2/PHo: 1.5 × 10³; Observation: normal corrosion and accelerated hydriding",Zircaloy-2,clad fuel rod,defected,corrosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'measured_pH2_pH2O': 0.05, 'critical_pH2_pH2O': 1500}",,,"{""observation"": ""normal corrosion and accelerated hydriding"", ""geometry"": ""defected fuel rod"", ""reference"": ""31""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk3,Table 1,"Capsule; Temperature, K: 593; Time, h: 40; Pit, mm: 760; Measured pH2/PH20: 1.25 × 10³; Critical pH2/PHo: 4.2 × 10²; Observation: no massive hydriding",Zircaloy-2,capsule,,corrosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'measured_pH2_pH2O': 1250, 'critical_pH2_pH2O': 420}",,,"{""observation"": ""no massive hydriding"", ""geometry"": ""capsule"", ""reference"": ""33""}"
