文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,条件哈希,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,应变率(s-1),压力(MPa),辐照剂量(dpa),通量,时间(h),气氛,密度公式,密度数据,比热容公式,比热容数据,热传导率公式,热传导率数据,弹塑性模型公式,弹塑性模型数据,热膨胀公式,热膨胀数据,辐照蠕变公式,辐照蠕变数据,辐照肿胀公式,辐照肿胀数据,腐蚀公式,腐蚀数据,硬化性能公式,硬化性能数据,额外性质
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_037_chunk1,abstract,Tension and burst tests were conducted on irradiated Zircaloy-4 charged with hydrogen,Zircaloy-4,"irradiated, hydrogen-charged","irradiation, hydrogen charging","tension tests, burst tests",,,,,,,,,,,,,,,,,,,,,,,,7-12×10²¹ n/cm² (E>0.821 MeV),,,,,,,,,,,,,,,,,,,,,"{""deformation_temperature_range"": ""298-673 K"", ""fluence_range"": ""7-12×10²¹ n/cm² (E>0.821 MeV)"", ""hydrogen_concentration_range"": ""50-400 ppm"", ""ductility_reduction"": ""significant reduction in elongation compared to lower fluence/hydrogen levels"", ""fracture_characteristics"": ""evidence of ductility in fracture surfaces, localized deformation bands at higher temperatures"", ""dislocation_channeling"": ""observed predominantly at 573-673 K"", ""radiation_anneal_hardening"": ""observed at 573-623 K"", ""failure_mechanism"": ""hydride-initiated fracture in dislocation channels at ~600 K""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_037_chunk2,Text,"Mechanical tests were conducted on irradiated Zircaloy-4. The cladding and guide tube material chemistry was consistent with ASTM Alloy Designation UNS R60804. The initial hydrogen concentration was typically less than 15 ppm. The fuel cladding was in a coldworked and stress-relief-annealed condition, while the guide tubes were in a recrystallizedannealed condition.",Zircaloy-4,irradiated,coldworked and stress-relief-annealed,mechanical tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""hydrogen_concentration"": ""<15 ppm"", ""material_condition"": ""coldworked and stress-relief-annealed""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_037_chunk3,Table 2,Burst properties of cladding irradiated in Fort Calhoun for four and five cycles and tested at 588 K,,irradiated,four and five cycles irradiation,burst test,,,,,,,,,,,,,,,,,,,,,,,,6.9-9.1×10²¹ n/cm² (E>0.821 MeV),,,,,,,,,,,,,,,,,,,,,"{""hydrogen_concentration_estimated"": ""100-200 ppm"", ""fluence"": ""6.9-9.1×10²¹ n/cm² (E>0.821 MeV)"", ""burnup"": ""41.6-53.2 GWd/MTU"", ""yield_stress_hoop"": ""676-775 MPa"", ""ultimate_hoop_stress"": ""811-823 MPa"", ""uniform_strain"": ""1.1-1.8%"", ""total_strain"": ""4.5-6.9%""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_037_chunk3,Table 1,"Local Hydrogen Concentration, ppm; Burst Specimen Location; Plastic Circumferential Strain",,irradiated,six-cycle irradiation,burst test,,,,,,,,,,,,,,,,,,,,,,,,11.2-11.7×10²¹ n/cm² (E>0.821 MeV),,,,,,,,,,,,,,,,,,,,,"{""hydrogen_concentration"": ""15-400 ppm"", ""fluence"": ""11.2-11.7×10²¹ n/cm² (E>0.821 MeV)"", ""burnup"": ""54.7-62.5 GWd/MTU"", ""ultimate_hoop_stress"": ""704-865 MPa"", ""uniform_strain"": ""0.05-0.10%"", ""total_strain"": ""1.20-4.20%"", ""irradiation_hardening"": ""observed""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_037_chunk3,Text,"cladding exhibited limited ductility, uniform strain of 0.15%, and total strain of 1.1%",,irradiated,six-cycle irradiation,tensile test,,,,,,,,,,,,,,,,,,,,,,,,11.7×10²¹ n/cm² (E>0.821 MeV),,,,,,,,,,,,,,,,,,,,,"{""hydrogen_concentration_estimated"": ""300-400 ppm"", ""fluence"": ""11.7×10²¹ n/cm² (E>0.821 MeV)"", ""uniform_strain"": ""0.15%"", ""total_strain"": ""1.1%"", ""yield_stress"": ""high"", ""ultimate_tensile_strength"": ""high"", ""fracture_characteristics"": ""no necking, perpendicular fracture surfaces""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_037_chunk3,Text,Unirradiated; hydrogen 15 ppm; ultimate stress 414 to 483 MPa; total strain 15.00 to 20.00 nominal,,unirradiated,,tensile test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""hydrogen_concentration"": ""15 ppm"", ""ultimate_stress"": ""414-483 MPa"", ""total_strain"": ""15-20%"", ""reference_condition"": ""nominal""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_037_chunk4,Table,"KJE089, 2.39 to 2.51 (94 to 99), 59.0, 298 (77), 879 (127), 879 (127), 0.15, 1.1, ~1.0",Zircaloy,irradiated,,tensile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Yield Stress"": ""879 MPa (127 ksi)"", ""Ultimate Tensile Strength"": ""879 MPa (127 ksi)"", ""Uniform Elongation"": ""0.15%"", ""Total Plastic Elongation"": ""1.1%"", ""Reduction in Area"": ""~1.0%""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_037_chunk4,Table,"KJD008, 2.29 to 2.41 (90 to 95), 57.6, 473 (392), 661 (96), 811 (118), 0.70 0.80, 5.2 9.1, >8.7 >14.8",Zircaloy,irradiated,,tensile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Yield Stress"": ""661 MPa (96 ksi)"", ""Ultimate Tensile Strength"": ""811 MPa (118 ksi)"", ""Uniform Elongation"": ""0.70-0.80%"", ""Total Plastic Elongation"": ""5.2-9.1%"", ""Reduction in Area"": "">8.7-14.8%""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_037_chunk4,Table,"KJD015, 2.41 to 2.54 (95 to 100), 57.6, 573 (572), 677 (98), 763 (111), (1.75, 6.2, >15.3",Zircaloy,irradiated,,tensile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Yield Stress"": ""677 MPa (98 ksi)"", ""Ultimate Tensile Strength"": ""763 MPa (111 ksi)"", ""Uniform Elongation"": ""1.75%"", ""Total Plastic Elongation"": ""6.2%"", ""Reduction in Area"": "">15.3%""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_037_chunk7,text,"Zircaloy-4, guide tubes ring tensile, 573 K",Zircaloy-4,irradiated,guide tubes,ring tensile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""fluence"": ""9.0 × 10²¹ n/cm²"", ""hydrogen_concentration"": ""50 to 60 ppm"", ""solubility_limit"": ""~65 ppm"", ""uniform_strain"": ""~0.7%"", ""total_strain"": ""~2.7%"", ""comment"": ""Because of high value of hydride orientation factor, hydrogen concentration barely above the solubility limit may be sufficient to cause low ductility""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_037_chunk7,text,"Oconee 1 Zircaloy 4, fuel cladding [1] tube tensile, 616 K",Zircaloy-4,irradiated,fuel cladding,tube tensile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""fluence"": ""11.2 × 10²¹ n/cm²"", ""hydrogen_concentration"": ""150 to 325 ppm"", ""solubility_limit"": null, ""uniform_strain"": ""~1.3%"", ""total_strain"": ""6 to 15%"", ""comment"": ""the number of hydride precipitates is probably not sufficient so ductility values are reasonable""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_037_chunk7,text,"Lion Zircaloy-4, fuel cladding [16] ring tensile, 616 K",Zircaloy-4,irradiated,fuel cladding,ring tensile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""fluence"": ""11.2 × 10²¹ n/cm²"", ""hydrogen_concentration"": ""~150 to 325 ppm"", ""solubility_limit"": ""~115 ppm"", ""uniform_strain"": ""2 to 3%"", ""total_strain"": ""4 to 8%"", ""comment"": null}"
