文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_018_chunk1,P. 1,Torsion tests were performed as part of a study of the effects of texture on the biaxial plastic properties of Zircaloy tubing.,Zircaloy,tubing,,torsion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_018_chunk1,P. 1,The physical and mechanical properties of zirconium alloys are highly anisotropic,zirconium alloys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_018_chunk1,P. 1,the fuel-rod cladding thickness necessary to contain the internal pressure of the fission gases and withstand the external primary system pressure in a light-water reactor may vary by 50 percent,Zircaloy,cladding,,,,,,,,,,,,,,,,,,,,,light-water reactor,,,,,,,,,,,,,50.0,%,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_018_chunk2,table,W-2.. Zr-4 9/16 14 20 0.5 all code W's extruded,Zr-4,tube,extruded and tube reduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,mm,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_018_chunk2,text,"All tests were conducted at room temperature at a strain rate, γ̇, of about 0.01 and were programmed for a maximum δ of 30 deg.",Zircaloy,tube,,torsion,,,,,,,,,,,,,,,,,,25,,,0.01,,,,,,,,,,,417.0,MPa,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_018_chunk2,table,W-7. 57.0 393 60.0 414 1.05,Zr-4,tube,,tensile,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,414.0,MPa,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_018_chunk3,Table 3,W-2. . . 59.0 407 79.0 545 51.0 352 47.5 327 1.07,Zircaloy,tube,,yield surface construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.0,MPa,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_018_chunk4,p.252,The failure conditions or theories which have been developed for isotropic ductile metals cannot be used to predict the yield behavior of anisotropic materials such as Zircaloy.,Zircaloy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_018_chunk4,p.252,"There is a very large effect of texture on the torsional yield properties, and indeed on all biaxial yield behavior, of Zircaloy tubing.",Zircaloy,tubing,,torsional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0–1.5,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_018_chunk4,p.252,Pressurized tests in a steam atmosphere were made at pressures from 0.040 to $0 . 1 4 1 ~ \mathrm { k g / m m ^ { 2 } }$ (57 to 200 psig) at heating rates from 0.1 to $3 0 0 \mathrm { { C / s } }$ .,Zircaloy,tubing,,pressurized,,,,,,,,,,,,,,,,,,,steam,0.392,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_018_chunk4,p.252,Pressurized tests in a steam atmosphere were made at pressures from 0.040 to $0 . 1 4 1 ~ \mathrm { k g / m m ^ { 2 } }$ (57 to 200 psig) at heating rates from 0.1 to $3 0 0 \mathrm { { C / s } }$ .,Zircaloy,tubing,,pressurized,,,,,,,,,,,,,,,,,,,steam,1.383,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_018_chunk4,p.252,Steam oxidation caused an increase in the temperature of failure.,Zircaloy,,,,,,,,,,,,,,,,,,,,,,steam,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_018_chunk4,p.252,"In addition, at low heating rates and low internal pressures the mode of failure changed from ductile failure (34 percent expansion) to brittle failure (burst).",Zircaloy,tubing,,pressurized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
