文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_002_chunk1,vii,The Effect of Texture and Strain Aging on Creep of Zircaloy-2,Zircaloy-2,,,creep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_002_chunk1,vii,In-Reactor Creep of Zirconium-Alloy Tubes,Zirconium-Alloy,tube,,in-reactor creep,,,,,,,,,,,,,,,,,,,reactor,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_002_chunk1,vii,Texture Changes Produced During Zircaloy-4 Tubing Fabrication: From Forged Billet to Finished Tubing,Zircaloy-4,tubing,forged billet to finished tubing,texture analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_002_chunk1,vii,The Anisotropy of Fracture Ductility in Flat Tension-Test Bars of Alpha Zirconium Alloy,Alpha Zirconium Alloy,flat tension-test bars,,tension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_002_chunk1,vii,Texture Development and Phase Stability of $0 . 5 { \bf C u } { - 0 . 5 } { \bf M } _ { \mathrm { ~ \tiny ~ } }$ Zirconium During Fabrication to Sheet Form,Zr-0.5Cu-0.5M,sheet,fabrication,texture analysis,,,,,,,"{'value': 0.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_002_chunk1,vii,Fatigue-Crack Growth and Propagation in 2.5Nb Zirconium Alloy Pressure Tubing,Zr-2.5Nb,pressure tubing,,fatigue,,,"{'value': 2.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_002_chunk1,vii,Embrittlement of Zircaloy-2 Pressure Tubes,Zircaloy-2,pressure tubes,,embrittlement test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_002_chunk1,vii,The Effect of Orientation of Hydride Precipitates on the Fracture Toughness of Cold-Rolled Zircaloy-2 and 2.5Nb Zirconium Alloy,"Zircaloy-2, Zr-2.5Nb",cold-rolled,cold rolling,fracture toughness,,,"{'value': 2.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_002_chunk1,vii,Oxygen Embrittlement of Zirconium-Copper Alloys at High Temperatures,Zirconium-Copper,,,embrittlement test,,,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_002_chunk1,vii,The Effect of Neutron Irradiation and Cold Work on the Strain-Aging Behavior of Zircaloy-2,Zircaloy-2,,cold work,strain-aging,,,,,,,,,,,,,,,,,,,,,,,neutron irradiation,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_002_chunk1,vii,Creep of Zirconium from 50 to $8 5 0 ~ \mathbf { C }$,Zirconium,,,creep,,,,,,,,,,,,,,,,,,50-850,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_002_chunk1,vii,The Significance of Irradiation-Induced Creep on Reactor Performance of a Zircaloy-2 Pressure Tube,Zircaloy-2,pressure tube,,irradiation creep,,,,,,,,,,,,,,,,,,,reactor,,,,irradiation,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_002_chunk1,vii,Failure of Pressurized Zircaloy Tubes During Thermal Excursions in Steam and in Inert AtmOsphereS,Zircaloy,pressurized tubes,,thermal excursion,,,,,,,,,,,,,,,,,,,"steam, inert atmosphere",,,,,,"steam, inert",,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_002_chunk1,vii,Corrosion and Failure Characteristics of Zirconium Alloys in High-Pressure Steam in the Temperature Range 400 to ${ \mathfrak { s o o C } },Zirconium Alloys,,,corrosion,,,,,,,,,,,,,,,,,,400-500,high-pressure steam,,,,,,steam,,,,,,,,,,,,,,,,,,
