文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_027_chunk1,1,"Voids have been found in most irradiated metals and alloys of cubic structure [1,2]² In hexagonal close-packed metals, there have been some recent observations of voids in cobalt [3] and $_ \alpha$ -zirconium [4,5] after irradiation by energetic ions or electrons.",cobalt,irradiated,irradiation,irradiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,observed,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_027_chunk1,1,"In neutron irradiated hexagonal metals, however, voids have been found in magnesium $[ \pmb { \delta } - \pmb { \vartheta } ]$ and rhenium [10,11] but not in $_ { \alpha }$ -zirconium $[ l l - l \delta ]$ Zircaloy-2 [13,14,17], and $\pmb { \alpha }$ -titanium $[ l 0 - l 2 ]$",magnesium,neutron irradiated,neutron irradiation,neutron irradiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,observed,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_027_chunk1,Table 1,TABLE I—Upper bound values of thermal stress. Cd Tr=238K αc=48.7×10⁻⁶/K αa=17.3×10⁻⁶/K σc/μΔT=-8.77×10⁻⁶/K σa/μΔT=29.71×10⁻⁶/K τ/τy=1.92,Cd,,,thermal stress calculation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.77,1/K,48.7,1/K,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_027_chunk3,Table 3,Zr δE: -0.0096,Zr,vacancy (e_v = -0.1),formation,calculation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0096,kΔT,0.52,dimensionless,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_027_chunk3,text,Ω_i^f/Ω = 0.45 for zirconium,Zr,interstitial (e_i = 0.3),formation,calculation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,dimensionless,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_027_chunk3,Table 4,Zr c^e: 1.4 × 10-10,Zr,vacancy,equilibrium,calculation,,,,,,,,,,,,,,,,,,0.4 T_m,,,,,,,,,,,,,,,,,,,,1.4e-10,dimensionless,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_027_chunk3,Table 4,Zr S_v^f/k: 4.61,Zr,vacancy,formation,calculation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.61,k,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_027_chunk4,Table 4,"The changes in the vacancy concentration, $\delta c _ { \nu } ^ { e } ( \sigma ) = [ c _ { \nu } ^ { e } ( \sigma ) - c _ { \nu } ^ { \star }$ EPY $( 0 ) ] / { c } _ { \nu } ^ { e }$ (0), at Sites C and A (see Fig. 1) are calculated to be rather small as shown in Table 4, being less than 2 percent.",,,,calculation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_027_chunk4,text,"the concentration changes by $P = 1 \times 1 0 ^ { 8 }$ Pa calculated based on the value $\begin{array} { r l } { e _ { v } , V } & { { } = } \end{array}$ EPY $- 0 . 1 \ \Omega$ in Eqs 8 and 3 are $\delta c _ { \nu } ^ { \ e } \left( P \right) = - 4 . 0 , - 5 . 9 , - 9 . 9 , - 1 1 . 1 ,$ ,and $- 2 0 . 3$ percent for rhenium, cobalt, titanium, zirconium, and magnesium at their respective $T _ { r }$ .",rhenium,,,calculation,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,-4.0,%,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_027_chunk5,text,The stress induced void shrinkage in magnesium is substantially smaller since the void stress field in magnesium is smaller than that in zirconium by an order of magnitude,zirconium,void,,stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
