alloy_name,composition,conditions,conditions_hash,confidence,domain,evidence_span,metric_type,note,page_or_fig,process_step,property_name,raw_unit,source_id,specimen_state,test_type,unit,value,value_max,value_min
Zircaloy,{},"{'temp_C': 25, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",702f72918beb,1.0,elastoplastic_model,"Seventy-five specimens, cut from five lengths of tubing were tested at room temperature.",judgement,,1,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk1,tube,closed-end burst test,,,,
Zircaloy,{},"{'temp_C': 25, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",702f72918beb,,density,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,1,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk1,tube,,,,,
Zircaloy,{},"{'temp_C': 25, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",702f72918beb,,specific_heat,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,1,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk1,tube,,,,,
Zircaloy,{},"{'temp_C': 25, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",702f72918beb,,thermal_conductivity,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,1,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk1,tube,,,,,
Zircaloy,{},"{'temp_C': 25, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",702f72918beb,,thermal_expansion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,1,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk1,tube,,,,,
Zircaloy,{},"{'temp_C': 25, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",702f72918beb,,irradiation_creep,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,1,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk1,tube,,,,,
Zircaloy,{},"{'temp_C': 25, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",702f72918beb,,irradiation_swelling,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,1,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk1,tube,,,,,
Zircaloy,{},"{'temp_C': 25, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",702f72918beb,,corrosion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,1,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk1,tube,,,,,
Zircaloy,{},"{'temp_C': 25, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",702f72918beb,,hardening,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,1,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk1,tube,,,,,
Zircaloy,{},"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,1.0,elastoplastic_model,"The tubing selected for the round robin was typical of current pressurized water reactor (PWR) fuel cladding, with a nominal outer diameter of 0.440 in. and a wall thickness of 0.025 in.",measurement,,1,,outer diameter,in,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk1,tube,,mm,11.176,,
