文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk1,1,"Seventy-five specimens, cut from five lengths of tubing were tested at room temperature.",Zircaloy,tube,,closed-end burst test,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk1,1,"The tubing selected for the round robin was typical of current pressurized water reactor (PWR) fuel cladding, with a nominal outer diameter of 0.440 in. and a wall thickness of 0.025 in.",Zircaloy,tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.176,mm,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk1,1,Laboratory and Test Procedure I-A: Pressurizing Fluid silicone fluid (Monsanto OS-124),Zircaloy,tube,,closed-end burst test,,,,,,,,,,,,,,,,,,,silicone fluid,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk1,1,Laboratory and Test Procedure 1-B: Pressurizing Fluid water,Zircaloy,tube,,closed-end burst test,,,,,,,,,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk1,1,Laboratory and Test Procedure 2-A: Pressurizing Fluid hydrogenated terphenyl mixture (Monsanto HB-40),Zircaloy,tube,,closed-end burst test,,,,,,,,,,,,,,,,,,,hydrogenated terphenyl mixture,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk1,1,Laboratory and Test Procedure 3: Pressurizing Fluid hydraulic fluid,Zircaloy,tube,,closed-end burst test,,,,,,,,,,,,,,,,,,,hydraulic fluid,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk2,text,it should have taken $6 \%$ min. to reach yield,,specimens,testing,burst test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,min,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk2,text,the total reported time for the hand operated tests varied from 6 min 13 s to $6 \ \mathrm { m i n } \ 4 9 \ \mathrm { s } .$,,specimens,testing,burst test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.217–6.817,min,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk3,text,"The average pre-test diameter measurements agreed very well, with a maximum variation of 0.0003 in. between measurements made by different laboratories on adjacent specimens cut from the same tube.",,adjacent specimens cut from the same tube,pre-test,measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003,mm,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk3,text,"The average wall thickness measurements agreed well for Tests 2-A, 2-B, 3, and 4, but the measurements of Test l-A were on the average 0.0017 in. smaller.",,,pre-test,measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0017,mm,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk3,text,"It was also found that the wall thickness of Tube 5 was about 0.001 in. thicker than Tubes 1 to 4, which all had approximately the same wall thickness.",,Tube 5,pre-test,measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,mm,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk3,Table 2,"TABLE 2—Summary of burst test results. Ultimate Hoop Strength, ksi",,Tube 1,burst test,burst test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.1,MPa,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk3,text,"The UHS results show two distinct groupings: Test Procedures 1-A and 4 are at about 140 ksi for Tubes 1 to 4, and Test Procedures 1-B, 2-A, 2-B, and 3 are at about 130 ksi.",,Tubes 1 to 4,burst test,burst test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,MPa,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk4,text,The highest accuracy which can be hoped for using either method is $\pm 0 . 0 0 5$ in.,,,,measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,in
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk4,text,"Although the two distinct groupings of UHS results differed in strength by almost 10 percent, they also showed close similarities. All tests showed Tube 5 as having the lowest strength, and most showed little difference between the other four tubes.",,Tube 5,,burst test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk4,text,"As mentioned in the section on Pre-Test Measurements, the wall thickness measurements of the Test 1-A specimens are on the average 0.0017 in. smaller than those measured in Tests 2-A, 2-B, 3, and 4.",,Test 1-A specimens,,measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,percent,,,,,,,,,-0.0017,in
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk4,text,"The wall thickness measurements for Test 1-B specimens were also lower than for the other three tests, but only by an average of 0.0005 in.",,Test 1-B specimens,,measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0005,in
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk4,text,"Probably the explanation for the slightly higher UHS is because of the higher strain rate above yield, as mentioned in the section on Burst Test Apparatus.",,,,burst test,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk4,text,"A comparison of the UHS of Test 2-A (with mandrel), with that of Test ?-B (no mandrel) shows that the mandrel has little influence on the UHS.",,Test 2-A specimens,,burst test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk4,text,"In every case where two comparable results are available, the mandrel containing specimens had the higher TCE.",,mandrel containing specimens,,burst test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk4,text,This observation is consistent with Table 2 which shows that the standard deviation for all five tubes increases with decreasing diametral clearance.,,all five tubes,,burst test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk5,,One of the participating laboratories imposes a limit of 130 ft·lb stored energy when the system is pressurized to 8000 psi with a thick-walled specimen in place.,Zircaloy,thick-walled specimen,burst test,burst test,,,,,,,,,,,,,,,,,,,,55.158,,,,,,,,,,,,130.0,J,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk5,,Increases in the strain rate tend to increase the UHS and decrease the TCE.,Zircaloy,cladding tube,burst test,burst test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_005_chunk6,p. 3138,Ultrasonic nondestructive inspection of fuel tubing can be made far more uniform and reliable by placing proper priority on the various test parameters,,fuel tubing,inspection,ultrasonic nondestructive inspection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
