文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,条件哈希,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,应变率(s-1),压力(MPa),辐照剂量(dpa),通量,时间(h),气氛,密度公式,密度数据,比热容公式,比热容数据,热传导率公式,热传导率数据,弹塑性模型公式,弹塑性模型数据,热膨胀公式,热膨胀数据,辐照蠕变公式,辐照蠕变数据,辐照肿胀公式,辐照肿胀数据,腐蚀公式,腐蚀数据,硬化性能公式,硬化性能数据,额外性质
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_016_chunk1,text,"Recrystallized Zircaloy-2 typical of the BWR tubing, CWSR Zircaloy-4 cladding tubes commonly used in PWRs, and recrystallized ( R _ { x } ) Zircaloy-4 are considered",Zircaloy-2,recrystallized,"thermomechanical processing, recrystallization anneal","creep anisotropy, biaxial creep",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""grain_structure"": ""equiaxed"", ""grain_size"": ""10.5 ± 1.2 μm"", ""crystal_structure"": ""hcp"", ""application"": ""BWR cladding tubes""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_016_chunk1,text,"Recrystallized Zircaloy-2 typical of the BWR tubing, CWSR Zircaloy-4 cladding tubes commonly used in PWRs, and recrystallized ( R _ { x } ) Zircaloy-4 are considered",Zircaloy-4,CWSR (cold-worked stress-relieved),"Pilger mill process, thermomechanical processing","creep anisotropy, biaxial creep",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""grain_structure"": ""elongated grains in longitudinal direction"", ""application"": ""PWR cladding tubes""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_016_chunk1,text,"Recrystallized Zircaloy-2 typical of the BWR tubing, CWSR Zircaloy-4 cladding tubes commonly used in PWRs, and recrystallized ( R _ { x } ) Zircaloy-4 are considered",Zircaloy-4,recrystallized,"thermomechanical processing, recrystallization anneal","creep anisotropy, biaxial creep",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""grain_structure"": ""equiaxed"", ""grain_size"": ""10.5 ± 1.2 μm"", ""crystal_structure"": ""hcp"", ""application"": ""PWR cladding tubes""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_016_chunk2,Fig. 2a,"Basal (00.2), prism (10.0) and pyramidal (10.2) pole figures were obtained for both the CWSR and recrystallized Zircaloy-4",Zircaloy-4,CWSR,cold working and stress relief,X-ray diffraction texture analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""crystallographic_texture"": ""bimodal basal pole intensity distributions around tube thickness direction"", ""pole_figures"": [""basal (00.2)"", ""prism (10.0)"", ""pyramidal (10.2)""], ""processing_effect"": ""Q-ratio (wall thinning to diametral decrease) has strong effect""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_016_chunk2,Fig. 2b,"Basal (00.2), prism (10.0) and pyramidal (10.2) pole figures were obtained for both the CWSR and recrystallized Zircaloy-4",Zircaloy-4,recrystallized,recrystallization treatment,X-ray diffraction texture analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""crystallographic_texture"": ""30° shift of prism (10.0) poles compared to CWSR state"", ""texture_randomization"": ""occurred following recrystallization treatment"", ""pole_figures"": [""basal (00.2)"", ""prism (10.0)"", ""pyramidal (10.2)""]}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_016_chunk2,Fig. 3a,The orientation distribution functions (ODFs) for CWSR and Rx Zircaloy-4 were generated using the pole figures,Zircaloy-4,CWSR,cold working and stress relief,crystallite orientation distribution function analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""CODF_representation"": ""Euler plots at 5° intervals of Φ"", ""intensity_units"": ""times-random units"", ""symmetry_restrictions"": ""l and m restricted to even values, n restricted to integer multiples of 6"", ""truncation_level"": ""l=16 for Zircaloys""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_016_chunk2,Fig. 3b,The orientation distribution functions (ODFs) for CWSR and Rx Zircaloy-4 were generated using the pole figures,Zircaloy-4,recrystallized,recrystallization treatment,crystallite orientation distribution function analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""CODF_representation"": ""Euler plots at 5° intervals of Φ"", ""intensity_units"": ""times-random units"", ""texture_randomization"": ""occurred following recrystallization treatment"", ""symmetry_restrictions"": ""l and m restricted to even values, n restricted to integer multiples of 6"", ""truncation_level"": ""l=16 for Zircaloys""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_016_chunk3,Table 1,TABLE 1—Ideal orientations corresponding to peak positions in the Euler plots for Zircaloy cladding,Zircaloy,CWSR,,texture analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""texture_orientations"": ""(0002)[1210] (1011)[1210j]"", ""φ_angle"": ""0 degrees""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_016_chunk3,Table 1,TABLE 1—Ideal orientations corresponding to peak positions in the Euler plots for Zircaloy cladding,Zircaloy,Recrystallized,,texture analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""texture_orientations"": ""(1016)[5411] (1012)[2310]"", ""φ_angle"": ""0 degrees""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_016_chunk4,Text,"Tests were performed on CWSR and Rₛ Zircaloy-4 cladding tubes at varied temperatures, while the majority of biaxial tests were performed at 673 K",Zircaloy-4,CWSR,cold worked stress relieved,biaxial creep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[ \dot{\pmb{\varepsilon}}_r \\ \dot{\pmb{\varepsilon}}_{\mathfrak{e}} \\ \dot{\pmb{\varepsilon}}_z ] = \frac{\dot{\varepsilon}_g}{P(R + 1)\sigma_g} [ R+P & -R & -P \\ -R & R(P+1) & -RP \\ -P & -RP & P(R+1) ] [ \sigma_r \\ \sigma_{\mathfrak{e}} \\ \sigma_z ],,,,,,,,,,,,"{""anisotropy_parameters"": ""R and P"", ""creep_strain_ratio_equibiaxial"": ""3.2"", ""texture_plasticity_model"": ""described""}"
