文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_025_chunk1,abstract,Irradiation growth is defined as irradiation-induced changes in dimensions in the absence of an applied stress,Zircaloy,,,irradiation growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_025_chunk1,abstract,"For recrystallized Zircaloy: growth $( a )$ increases as $f$ , the fraction of basal poles in measurement direction, decreases",Zircaloy,recrystallized,,irradiation growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_025_chunk1,abstract,For recrystallized Zircaloy: growth increases with increasing temperature up to about $3 0 0 ^ { \circ } \mathsf { C }$,Zircaloy,recrystallized,,irradiation growth,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_025_chunk1,abstract,For recrystallized Zircaloy: tends towards saturation for fluences greater than about $\mathbf { 1 \times 1 0 ^ { 2 1 } }$ neutrons $( \mathbf { n } ) / \mathbf { c m } ^ { 2 } ( E { > } 1 \ \mathbf { M e V } )$,Zircaloy,recrystallized,,irradiation growth,,,,,,,,,,,,,,,,,,,,,,,1e+21,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_025_chunk1,abstract,For cold worked/ stress relieved material: growth $( a )$ increases linearly with fluence up to at least $3 ~ \times$ $\mathbf { 1 0 ^ { 2 1 } n / c m ^ { 2 } }$,Zircaloy,cold worked/stress relieved,,irradiation growth,,,,,,,,,,,,,,,,,,,,,,,3e+21,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_025_chunk1,abstract,For cold worked/ stress relieved material: $( b )$ increases linearly with increase in the amount of cold work,Zircaloy,cold worked/stress relieved,,irradiation growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_025_chunk1,abstract,Rapid recovery occurs above $3 5 0 \%$ $( 6 4 4 ^ { \circ } \mathbf { F } )$ with an activation energy of ${ \bf 1 . 6 7 ~ e V }$,Zircaloy,,thermal recovery,thermal recovery,,,,,,,,,,,,,,,,,,177,,,,,,,,,,,,,,,,,,,,,,,,1.67,eV
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_025_chunk1,text,Cylindrical specimens were machined from cold-rolled and recrystallized plate,Zircaloy-4,cold-rolled and recrystallized,machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_025_chunk1,text,Specimens A and B were 0.25 in. $( 0 . 6 3 5 ~ \mathrm { c m } )$ long by 0.125 in. $( 0 . 3 1 8 ~ \mathrm { c m } )$ EPY diameter solid cylinders,Zircaloy-4,solid cylinder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_025_chunk1,text,Specimens were plates with dimensions of 6.0 in. (15.2 cm) by 0.81 in. $( 2 . 0 5 ~ \mathrm { c m } )$ by 0.11 in. $\mathbf { ( 0 . 2 8 \ c m ) }$,Zircaloy-4,plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_025_chunk2,Table,n/cm2(E> 1 MeV),,,,Irradiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079,%,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_025_chunk2,Table,fa: 0.122; Annealing Tempera- ture: 788; Length In- crease: 0.030,,,Annealing,Irradiation,,,,,,,,,,,,,,,,,,788,,,,,,,,,,,,,,,,,,,,0.03,%,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_025_chunk2,Table,fa: 0.122; Annealing Tempera- ture: 788; Final Condition: 2; Tempera- tue: 234; Length In- crease: 0.076,,Final Condition 2,Annealing,Irradiation,,,,,,,,,,,,,,,,,,234,,,,,,,,,,,,,,,,,,,,0.076,%,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_025_chunk2,Table,fa: 0.122; Annealing Tempera- ture: 788; Tempera- tue: 282; Length In- crease: 0.083,,,Annealing,Irradiation,,,,,,,,,,,,,,,,,,282,,,,,,,,,,,,,,,,,,,,0.083,%,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_025_chunk2,Table,fa: 0.122; Annealing Tempera- ture: 788; Tempera- tue: 260; Length In- crease: 0.091,,,Annealing,Irradiation,,,,,,,,,,,,,,,,,,260,,,,,,,,,,,,,,,,,,,,0.091,%,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_025_chunk2,Table,fa: 0.088; Annealing Tempera- ture: 788; Tempera- tue: 288; Length In- crease: 0.027,,,Annealing,Irradiation,,,,,,,,,,,,,,,,,,288,,,,,,,,,,,,,,,,,,,,0.027,%,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_025_chunk3,text,all others were in direct contact with reactor coolant water,,,irradiation,irradiation,,,,,,,,,,,,,,,,,,,reactor coolant water,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_025_chunk3,text,the expected error in strain was less than 0.00002,,,,strain measurement,,,,,,,,,,,,,,,,,,,,,,,,,,0.054,wt% per 70-ppm hydrogen,,,,,2e-05,,,,,,0.04572,mm,70,ppm,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_025_chunk4,text,"For recrystallized Zircaloy, the recovery can be 100 percent, that is, a length increase during irradiation can be offset entirely by a length shrinkage during thermal annealing.",Zircaloy,recrystallized,thermal annealing,recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,%,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_025_chunk4,text,This is not true for stress relieved materials.,Zircaloy,stress relieved,thermal annealing,recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
