文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_007_chunk1,text,The material used in this study was Zircaloy-4 (per ASTM B 353) with two tin populations: one with Sn composition close to 1.5% and the other close to 1.3%.,Zircaloy-4,,,,,"{'value': 1.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_007_chunk1,text,"This study is concerned only with stress-relieved tubes, with final annealing temperatures of 500°C maximum.",Zircaloy-4,stress-relieved,final annealing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_007_chunk1,text,"In the manufacturing fields discussed above, CSR varies from 0.8 to 2.8.",Zircaloy-4,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,0.8–2.8,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_007_chunk1,text,Hot tensile test at 343 and 385°C (per ASTM E 21): Yield strength at 0.2% strain (MPa) Ultimate strength (MPa),Zircaloy-4,,,tensile test,,,,,,,,,,,,,,,,,,343.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_007_chunk1,text,Hot tensile test at 343 and 385°C (per ASTM E 21): Yield strength at 0.2% strain (MPa) Ultimate strength (MPa),Zircaloy-4,,,tensile test,,,,,,,,,,,,,,,,,,385.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_007_chunk1,text,Creep on pressurized specimen at 130 MPa held at 400°C for 240 h while measuring the diametral strain (%),Zircaloy-4,,,creep test,,,,,,,,,,,,,,,,,,400.0,,130.0,,,,240.0,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_007_chunk2,text,Contractile Strain Ratio (CSR) points < 1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_007_chunk3,text,hot tensile tests at 343 and $3 8 5 \mathrm { { } ^ { \circ } C }$,,,,Hot tensile test,,,,,,,,,,,,,,,,,,343,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_007_chunk3,text,hot tensile tests at 343 and $3 8 5 \mathrm { { } ^ { \circ } C }$,,,,Hot tensile test,,,,,,,,,,,,,,,,,,385,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_007_chunk3,text,a product stress-relieved at about $4 6 0 \mathrm { { } ^ { \circ } C }$,,stress-relieved,final heat treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.0,°C
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_007_chunk3,text,for a treatment between 460 and $5 0 0 \mathrm { { } ^ { \circ } C }$,,,stress relief treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8–2.8,,,,,,,,,,460.0–500.0,°C
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_007_chunk4,text,"Tensile tests were conducted in the axial direction at 343°C, 385°C, and room temperature",,,,tensile,,,,,,,,,,,,,,,,,,343,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_007_chunk4,text,"Tensile tests were conducted in the axial direction at 343°C, 385°C, and room temperature",,,,tensile,,,,,,,,,,,,,,,,,,385,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_007_chunk4,text,"Tensile tests were conducted in the axial direction at 343°C, 385°C, and room temperature",,,,tensile,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_007_chunk5,Table,"row 51, iden 63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_007_chunk5,Table,"row 51, meex",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_007_chunk5,Table,"row 51, tfg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_007_chunk6,text,Processing parameters have been examined in an effort to identify methods for meaningful control and enhancement of texture in Zircaloy tubing,Zircaloy,tubing,processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_007_chunk6,text,The parameters found to have significant influence on texture are those that describe the distribution of plastic deformation (Q ratio) between the radial and circumferential directions due to wall and diameter reduction during processing by the cold pilger mill,,,cold pilger mill processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hexagonal close-packed,,,,,,,,,,,
