文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_020_chunk1,1,maximum thickness of $1 6 0 ~ \mu \mathrm { { m } }$ at 20 MWd/kg uranium local burn-up having been recorded to date,Zircaloy,,,corrosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,μm,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_020_chunk1,1,"$\mathbf { Z r } { - } 2 . 5 \mathbf { N b }$ alloy, in the recrystallized condition, was more resistant to nodular oxidation than was Zircaloy-2",Zr-2.5Nb,recrystallized,,corrosion,"{'value': 97.5, 'unit': 'wt%'}",,"{'value': 2.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_020_chunk1,1,"fuel cladding has been used both as cold worked and stress relieved, and as recrystallized",Zircaloy-2,cold worked and stress relieved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_020_chunk2,text,the coolant enters the fuel channel at $6 . 7 9 \ \mathrm { M P a }$,,,,reactor operation,,,,,,,,,,,,,,,,,,,coolant,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_020_chunk2,text,Peak fuel ratings (meaned over life up to $3 4 \mathrm { ~ k W / m }$,,,,reactor operation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_020_chunk2,text,peak fast neutron flux $( > 1 \ \mathsf { M e V }$ meaned over life) at the fuel cladding has been $5 . 4 ~ \times ~ 1 0 ^ { 1 3 }$ neutrons $( \mathbf { \hat { n } } ) /$ $\mathbf { c m } ^ { 2 } \textbf { s }$,,fuel cladding,irradiation,neutron flux measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54000000000000.0,n/cm²/s,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_020_chunk2,text,inlet water typically has conductivity $< 0 . 5 ~ \mu \mathrm { s / c m }$,,,,water quality,,,,,,,,,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_020_chunk3,text,Different batches of Zircaloy-2 nominally similar in all respects gave different numbers and sizes of nodules.,Zircaloy-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0–10.0,μm,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_020_chunk3,text,"For a given batch a smooth surface, whether pickled or metallographically polished, was less susceptible than an abraded surface.",,smooth surface (pickled or polished),"pickling, polishing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_020_chunk3,text,"For a given batch a smooth surface, whether pickled or metallographically polished, was less susceptible than an abraded surface.",,abraded surface,abrasion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
