文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,条件哈希,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,应变率(s-1),压力(MPa),辐照剂量(dpa),通量,时间(h),气氛,密度公式,密度数据,比热容公式,比热容数据,热传导率公式,热传导率数据,弹塑性模型公式,弹塑性模型数据,热膨胀公式,热膨胀数据,辐照蠕变公式,辐照蠕变数据,辐照肿胀公式,辐照肿胀数据,腐蚀公式,腐蚀数据,硬化性能公式,硬化性能数据,额外性质
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_024_chunk1,text,Zircaloy-2 and Zircaloy-4 were irradiated in BWRs at a temperature near 561 K. Neutron fluences were at various values between 2 and 1.4×10²⁵ n/m² (E > 1 MeV),Zircaloy-2,irradiated,BWR irradiation,corrosion tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nodular corrosion eliminated at 793 K steam; uniform corrosion increased at 589 K water and 673 K steam,,,"{""corrosion_behavior"": ""nodular corrosion eliminated, uniform corrosion increased"", ""neutron_fluence_range"": ""2-1.4×10²⁵ n/m² (E > 1 MeV)"", ""irradiation_temperature"": ""561 K"", ""corrosion_test_temperatures"": [589, 673, 793]}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_024_chunk1,text,Zircaloy-2 and Zircaloy-4 were irradiated in BWRs at a temperature near 561 K. Neutron fluences were at various values between 2 and 1.4×10²⁵ n/m² (E > 1 MeV),Zircaloy-4,irradiated,BWR irradiation,corrosion tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nodular corrosion eliminated at 793 K steam; uniform corrosion increased at 589 K water and 673 K steam,,,"{""corrosion_behavior"": ""nodular corrosion eliminated, uniform corrosion increased"", ""neutron_fluence_range"": ""2-1.4×10²⁵ n/m² (E > 1 MeV)"", ""irradiation_temperature"": ""561 K"", ""corrosion_test_temperatures"": [589, 673, 793]}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_024_chunk1,text,Post-irradiation annealing at 923 K/2 h caused a return of nodules to specimen edges,Zircaloy-2,irradiated and annealed,post-irradiation annealing,corrosion tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nodular corrosion returned after annealing,,,"{""annealing_condition"": ""923 K for 2 hours"", ""corrosion_behavior"": ""nodular corrosion returned after annealing""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_024_chunk1,text,Post-irradiation annealing at 923 K/2 h caused a return of nodules to specimen edges,Zircaloy-4,irradiated and annealed,post-irradiation annealing,corrosion tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nodular corrosion returned after annealing,,,"{""annealing_condition"": ""923 K for 2 hours"", ""corrosion_behavior"": ""nodular corrosion returned after annealing""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_024_chunk1,text,The corrosion rate of welded Zircaloy-4 increased rapidly at short times and then achieved a lower steady rate for longer times,Zircaloy-4,welded and irradiated,welding and BWR irradiation,corrosion tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"corrosion rate increased rapidly at short times, then achieved lower steady rate",,,"{""welding_status"": ""welded"", ""corrosion_kinetics"": ""rapid initial increase followed by lower steady rate""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_024_chunk1,text,The corrosion rate of alpha-annealed Zircaloy-2 and Zircaloy-4 was increased relative to unirradiated material and was linear with time. The corrosion rate was roughly proportional to neutron fluence,Zircaloy-2,alpha-annealed and irradiated,alpha-annealing and BWR irradiation,corrosion tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"corrosion rate increased relative to unirradiated, linear with time, proportional to neutron fluence",,,"{""heat_treatment"": ""alpha-annealed"", ""corrosion_kinetics"": ""linear with time"", ""fluence_dependence"": ""corrosion rate proportional to neutron fluence""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_024_chunk1,text,The corrosion rate of alpha-annealed Zircaloy-2 and Zircaloy-4 was increased relative to unirradiated material and was linear with time. The corrosion rate was roughly proportional to neutron fluence,Zircaloy-4,alpha-annealed and irradiated,alpha-annealing and BWR irradiation,corrosion tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"corrosion rate increased relative to unirradiated, linear with time, proportional to neutron fluence",,,"{""heat_treatment"": ""alpha-annealed"", ""corrosion_kinetics"": ""linear with time"", ""fluence_dependence"": ""corrosion rate proportional to neutron fluence""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_024_chunk1,text,"Post-irradiation annealing at 923 K/2 h reduced the rate substantially, but not to the unirradiated material value",Zircaloy-2,irradiated and annealed,post-irradiation annealing,corrosion tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,corrosion rate reduced substantially but not to unirradiated level,,,"{""annealing_effect"": ""corrosion rate reduced but not fully recovered"", ""annealing_condition"": ""923 K for 2 hours""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_024_chunk1,text,"Post-irradiation annealing at 923 K/2 h reduced the rate substantially, but not to the unirradiated material value",Zircaloy-4,irradiated and annealed,post-irradiation annealing,corrosion tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,corrosion rate reduced substantially but not to unirradiated level,,,"{""annealing_effect"": ""corrosion rate reduced but not fully recovered"", ""annealing_condition"": ""923 K for 2 hours""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_024_chunk4,Specimen History,"BWR-B, water rod, one cycle, etched",Zircaloy-2,irradiated,"BWR water rod, one cycle, etched",corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,see table data,,,"{""reactor_type"": ""BWR-B"", ""irradiation_cycles"": ""1"", ""surface_treatment"": ""etched""}"
