文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_003_chunk1,text,"zirconium alloys, especially Zircaloy-2, Zircaloy-4, and $\mathsf { Z r } { - } 2 . 5 \mathsf { N b }$",Zircaloy-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_003_chunk1,text,"processing map for Zircaloy-2. The map shows a domain of dynamic recrystallization at 1013 to $1 1 2 3 \mathrm { ~ K ~ }$ and 0.01 to $2 \ s ^ { \scriptscriptstyle - , \scriptscriptstyle 1 }$",Zircaloy-2,,dynamic recrystallization,processing map,,,,,,,,,,,,,,,,,,740.0,,,0.01,,,,,,,,,,,740.0–850.0,°C,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_003_chunk1,text,Instabilities are observed at less than $9 7 3 \mathrm { ~ K ~ }$ and at strain rates greater than $1 \mathrm { ~ s ~ } ^ { \cdots 1 }$,Zircaloy-2,,instability,processing map,,,,,,,,,,,,,,,,,,700.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_003_chunk1,text,The fracture toughness of $Z \mathrm { r } { - } 2 . 5 \mathrm { N b }$ pressure tubes was found to reach a minimum for hydrogen levels above $3 0 0 \mathrm { p p m }$,Zr-2.5Nb,pressure tube,,fracture toughness,"{'value': 97.5, 'unit': 'wt%'}",,"{'value': 2.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_003_chunk1,text,Fracture toughness of samples with radial hydrides show a very large dependence on hydrogen content up to $1 0 0 \mathrm { p p m }$ and a small dependence above that level,,with radial hydrides,,fracture toughness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_003_chunk1,text,"When radial hydrides are present in material with 200 to $3 0 0 \ \mathrm { p p m }$ hydrogen, a ductile-to-brittle transition occurs at $5 5 0 ~ \mathrm { K }$",,with radial hydrides,,ductile-to-brittle transition,,,,,,,,,,,,,,,,,,277.0,,,,,,,,,,,,,,,,,,,,,,,,277.0,°C
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_003_chunk1,text,post-irradiation fracture toughness of $Z \mathrm { r } { - } 2 . 5 \mathrm { N b }$ pressure tube material did not depend on initial tensile strength,Zr-2.5Nb,pressure tube,post-irradiation,fracture toughness,"{'value': 97.5, 'unit': 'wt%'}",,"{'value': 2.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_003_chunk2,text,The dense barrier layer changes when the oxide thickness reached $3 \mu \mathrm { m }$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,μm,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_003_chunk2,text,Atom probe measurements reveal the matrix of cladding to be fully depleted after only short time annealing,,cladding,short time annealing,atom probe measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fully depleted,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_003_chunk3,abstract,"The in-reactor oxidation of zirconium alloys, the structural material in almost all water-cooled and water-moderated reactors, can be life-limiting",zirconium alloys,,,corrosion,,,,,,,,,,,,,,,,,,,reactor environment,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_003_chunk3,abstract,"Due to the favorable neutron cross section, mechanical properties, and corrosion resistance of zirconium alloys",zirconium alloys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
