文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_058_chunk1,Index,Anneal hardening,,,Anneal hardening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_058_chunk1,Index,"Biaxial tube tests, 136 High temperature, 734, 780",,Tube,,Biaxial tube test,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_058_chunk1,Index,"Burst testing High temperature, 695, 709",,,,Burst testing,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_058_chunk1,Index,"Corrosion In-pile, 483, 554",,,,Corrosion,,,,,,,,,,,,,,,,,,,In-pile,,,,,,,,,,,,,,,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_058_chunk1,Index,"Corrosion Out-of-pile, 483, 507, 519, 554",,,,Corrosion,,,,,,,,,,,,,,,,,,,Out-of-pile,,,,,,,,,,,,,,,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_058_chunk1,Index,"Crack Hydrogen assisted, 627, 653, 675",,,,,,,,,,,,,,,,,,,,,,,Hydrogen,,,,,,,,,,,,,,,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_058_chunk1,Index,"Fracture toughness Hydride orientation, 81",,,,Fracture toughness,,,,,,,,,,,,,,,,,,,Hydride orientation,,,,,,,,,,,,,,,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_058_chunk1,Index,"LOCA Zircaloy-steam reaction, 747, 763, 793",Zircaloy,,,,,,,,,,,,,,,,,,,,,,"LOCA, steam",,,,,,,,,,,,,,,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_058_chunk1,Index,"LOCA Zircaloy $\mathbf { U } \mathbf { O } _ { 2 }$ reaction, 747, 810",Zircaloy,,,,,,,,,,,,,,,,,,,,,,"LOCA, UO2",,,,,,,,,,,,,,,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_058_chunk1,Index,"Oxide (and oxidation) Composition, 483",,Oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
