文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_030_chunk1,1,"Measurements of tracer diffusion coefficients $D$ of Fe-59. Ni-63 and $\mathrm { C r } { - } 5 1$ , in zirconium single crystals",pure Zr,single crystal,,tracer diffusion,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,eV,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_030_chunk1,1,"results for nickel were obtained at 1025, 883, and $6 7 4 ~ \mathrm { \bf K }$",pure Zr,single crystal,,tracer diffusion,,,,,,,,,,,,,,,,,,752,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_030_chunk1,1,"results for nickel were obtained at 1025, 883, and $6 7 4 ~ \mathrm { \bf K }$",pure Zr,single crystal,,tracer diffusion,,,,,,,,,,,,,,,,,,610,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_030_chunk1,1,"results for nickel were obtained at 1025, 883, and $6 7 4 ~ \mathrm { \bf K }$",pure Zr,single crystal,,tracer diffusion,,,,,,,,,,,,,,,,,,401,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_030_chunk1,1,"Chromium diffusion measurements have been made at 887, 977, and $1 1 1 4 \mathrm { ~ K ~ }$",pure Zr,single crystal,,tracer diffusion,,,,,,,,,,,,,,,,,,614,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_030_chunk1,1,"Chromium diffusion measurements have been made at 887, 977, and $1 1 1 4 \mathrm { ~ K ~ }$",pure Zr,single crystal,,tracer diffusion,,,,,,,,,,,,,,,,,,704,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_030_chunk1,1,"Chromium diffusion measurements have been made at 887, 977, and $1 1 1 4 \mathrm { ~ K ~ }$",pure Zr,single crystal,,tracer diffusion,,,,,,,,,,,,,,,,,,841,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_030_chunk2,table,Zr-0.1at%Fe par,Zr-0.1at%Fe,,,diffusion,"{'value': 99.9, 'unit': 'at%'}",,,"{'value': 0.1, 'unit': 'at%'}",,,,,,,,,,,,,,780.65,,,,,,,,,,,,,,,,,,7.8e-11,m²/s,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_030_chunk2,table,Zr sx par,Zr,single crystal,,diffusion,,,,,,,,,,,,,,,,,,400.55,,,,,,,,,,,,,,,,,,1.2e-15,m²/s,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_030_chunk2,table,Zr sx perp,Zr,single crystal,,diffusion,,,,,,,,,,,,,,,,,,400.55,,,,,,,,,,,,,,,,,,6.6e-16,m²/s,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_030_chunk2,table,Zr sx par,Zr,single crystal,,diffusion,,,,,,,,,,,,,,,,,,751.85,,,,,,,,,,,,,,,,,,2.7e-10,m²/s,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_030_chunk2,table,Zr sx par,Zr,single crystal,,diffusion,,,,,,,,,,,,,,,,,,609.35,,,,,,,,,,,,,,,,,,8.2e-12,m²/s,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_030_chunk2,table,Zr sx par,Zr,single crystal,,diffusion,,,,,,,,,,,,,,,,,,840.65,,,,,,,,,,,,,,,,,,1.27e-12,m²/s,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_030_chunk2,table,Zr sx par,Zr,single crystal,,diffusion,,,,,,,,,,,,,,,,,,703.85,,,,,,,,,,,,,,,,,,1.3e-13–1.6e-13,m²/s,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_030_chunk2,table,Zr sx par,Zr,single crystal,,diffusion,,,,,,,,,,,,,,,,,,613.75,,,,,,,,,,,,,,,,,,0.34,m²/s,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_030_chunk2,table,Zr sx par,Zr,single crystal,,diffusion,,,,,,,,,,,,,,,,,,703.65,,,,,,,,,,,,,,,,,,1.65e-13,m²/s,,,,,,
