文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_015_chunk1,text,Specimens of standard Zircaloy-4 fuel cladding,Zircaloy-4,fuel cladding,corroded,corrosion test,,,,,,,,,,,,,,,,,,,lithium hydroxide solutions,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_015_chunk1,text,Z r - 2 . 5 w t % Nb pressure tube materials,Zr-2.5Nb,pressure tube materials,corroded,corrosion test,,,"{'value': 2.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,,lithium hydroxide solutions,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_015_chunk1,text,"corroded in lithium hydroxide solutions, 1 0 ^ { - 3 } to 1 M in concentration",,,corroded,corrosion test,,,,,,,,,,,,,,,,,,,lithium hydroxide solutions,,,,,,,,,,,,,,,,,,,,,0.001–1.0,M,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_015_chunk1,text,at 5 8 9 K,,,corroded,corrosion test,,,,,,,,,,,,,,,,,,315.85,,,,,,,,,,,,,,,,,,,,,,589.0,K,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_015_chunk1,text,accelerated corrosion occurs at quite an early stage,,,,corrosion test,,,,,,,,,,,,,,,,,,300.0,aqueous lithiated solutions,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_015_chunk1,text,"concentrated solutions, ⩾ 1 0 ^ { - 1 } M in lithium hydroxide (LiOH) (700-ppm lithium)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,M,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_015_chunk1,text,at temperatures > 5 7 3 K,,,,,,,,,,,,,,,,,,,,,,299.85,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_015_chunk1,text,revealed the presence of a few 1 0 0 ppm of lithium,,oxide,analyzed,atomic absorption spectroscopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,ppm,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_015_chunk2,text,"Specimens, $1 . 5 \mathrm { c m }$ long and $1 4 \mathrm { c m } ^ { 2 }$ in area, were cut from standard Zircaloy-4 fuel cladding (cold-worked and stress-relieved tube $1 . 5 \ \mathrm { c m }$ in diameter and $0 . 0 4 ~ { \mathfrak { c m } }$ in wall thickness)",Zircaloy-4,cold-worked and stress-relieved,cut from tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_015_chunk2,text,"The $Z \mathrm { r } { - } 2 . 5 ~ \mathrm { w t } \%$ Nb specimens, $2 \mathsf { c m }$ by $1 \mathrm { c m }$ and $6 { \mathrm { c m } } ^ { 2 }$ in area, were machined from Canadian Deuterium Uranium (CANDU) pressure tube material (cold-worked and stress-relieved at $\bf { 6 7 3 ~ K }$ for $^ { 2 0 \mathrm { ~ h ~ } }$ $1 0 ~ \mathsf { c m }$ diameter tube with $0 . 4 ~ \mathrm { c m }$ wall thickness)",Zr-2.5Nb,cold-worked and stress-relieved,machined from tube,,,,"{'value': 2.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,400,,,,,,20,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_015_chunk2,text,All the corrosion testings were carried out at $5 8 9 \mathrm { K }$ in $1 { - } \mathbf { L }$ stainless steel autoclaves,,,corrosion testing,corrosion,,,,,,,,,,,,,,,,,,316,aqueous solution,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_015_chunk2,text,the autoclave was charged with hydrogen to a pressure of $1 . 4 ~ \mathsf { M P a }$ (200 psi),,,corrosion testing,corrosion,,,,,,,,,,,,,,,,,,,,1.4,,,,,hydrogen,,,,,,,,,,,,,,,1.4,MPa,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_015_chunk2,text,Impedance measurements were made at room temperature and $1 \mathbf { k H z }$ in a 1-M ammonium nitrate solution,,,impedance measurement,impedance,,,,,,,,,,,,,,,,,,25,1-M ammonium nitrate solution,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_015_chunk2,text,"Specimens were also corroded in molten LiNO,(95)-LiOH(5) and NaOH(82)-LiOH(18 at $5 8 9 ~ \mathrm { \bf K }$",,,corrosion,corrosion,,,,,,,,,,,,,,,,,,316,molten LiNO3(95)-LiOH(5),,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_015_chunk2,text,"Specimens were also corroded in molten LiNO,(95)-LiOH(5) and NaOH(82)-LiOH(18 at $5 8 9 ~ \mathrm { \bf K }$",,,corrosion,corrosion,,,,,,,,,,,,,,,,,,316,molten NaOH(82)-LiOH(18),,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_015_chunk3,text,"Specimens corroded in the concentrated solutions to weight gains of 30, 60, and 90 mg·dm⁻²",,corroded,corrosion,corrosion test,,,,,,,,,,,,,,,,,,,concentrated LiOH solutions,,,,,,,,,,,,,,,,,,,,,30,mg·dm⁻²,,
