文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,条件哈希,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,应变率(s-1),压力(MPa),辐照剂量(dpa),通量,时间(h),气氛,密度公式,密度数据,比热容公式,比热容数据,热传导率公式,热传导率数据,弹塑性模型公式,弹塑性模型数据,热膨胀公式,热膨胀数据,辐照蠕变公式,辐照蠕变数据,辐照肿胀公式,辐照肿胀数据,腐蚀公式,腐蚀数据,硬化性能公式,硬化性能数据,额外性质
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_037_chunk1,text,Corrosion of Zircaloy-4 is accelerated in water or steam above about 350°C when LiOH is present in sufficient concentrations,Zircaloy-4,cladding,,corrosion test,,,,,,,,,,,,,,,,,,,,water/steam,,,,,,,,,,,,,,,,,,,,,,accelerated rate (up to 100x pure water rate),,,"{""hydrogen_pickup_fraction"": ""~60%"", ""critical_Li_concentration"": ""~100 ppm in oxide"", ""environment"": ""LiOH solutions 310-415°C, Li up to 375 ppm""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_037_chunk1,text,Kass [1] measured the corrosion and hydrogen pickup of Zircaloy-2 in concentrated LiOH solutions at 315 and 360°C,Zircaloy-2,,,corrosion test,,,,,,,,,,,,,,,,,,,,LiOH solutions,,,,,,,,,,,,,,,,,,,,,,very high corrosion rates,,,"{""hydrogen_pickup_fraction"": ""~60%"", ""LiOH_concentration"": ""0.1-1.0N""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_037_chunk1,text,Murgatroyd and Winton [2] found the corrosion rate of Zircaloy-2 to increase significantly at 300°C in LiOH solutions,Zircaloy-2,,,corrosion test,,,,,,,,,,,,,,,,,,,,LiOH solutions,,,,,,,,,,,,,,,,,,,,,,"2x with 5 g/L LiOH, 100x with 72 g/L LiOH",,,"{""hydrogen_pickup_fraction"": ""~65%"", ""LiOH_concentration"": ""5-72 g/L""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_037_chunk1,text,"Coriou et al. [3] investigated the effect of LiOH, NaOH, KOH, and NH4OH upon the corrosion of Zircaloy",Zircaloy,,,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LiOH causes largest increase, NH4OH no effect",,,"{""critical_concentration"": ""0.04M LiOH at 360°C"", ""comparative_effect"": ""LiOH > NaOH > KOH > NH4OH""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_037_chunk1,text,Hillner and Chirigos [5] found no effect of LiOH on the corrosion rate of Zircaloy-2 and Zircaloy-4 for times up to 100 days at 360°C,"Zircaloy-2, Zircaloy-4",,,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"no effect at 0.002M, slight effect at 0.005M, large increases at ≥0.06M",,,"{""oxide_scale_penetration"": ""quickly penetrated by LiOH"", ""alternative_salts"": ""lower corrosion with LiNO3, Li2SO4, Li2CO3""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_037_chunk1,text,"McDonald et al. [6] measured the effect of LiOH on the corrosion rate of Zircaloy-4 at 316, 343 and 360°C",Zircaloy-4,,,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"enhanced corrosion at 0.01M LiOH approaching 100 days, rapid increase at 0.1M",,,"{""lithium_saturation"": ""140 ppm in oxide at 0.01M, 900 ppm at 0.1M"", ""critical_level"": ""~100 ppm lithium in oxide""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_037_chunk2,text,Manolescu et al. [9] have compared the acceleration effect of LiOH on Zircaloy-2 and Zr-2.5Nb for 0.0005M to 1M LiOH solutions,Zircaloy-2,,,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acceleration effect of LiOH,,,"{""oxide_type"": ""black tenacious oxide"", ""hydrogen_pickup"": ""greater""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_037_chunk2,,Manolescu et al. [9] have compared the acceleration effect of LiOH on Zircaloy-2 and Zr-2.5Nb for 极.0005M to 1M LiOH solutions,Zr-2.5Nb,,,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greater acceleration effect of LiOH,,,"{""oxide_type"": ""porous white oxide"", ""hydrogen_pickup"": ""much less""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_037_chunk2,Table 1,Table 1—Approximate values of annealing parameter and silicon content for the four cladding types,Zircaloy-4,cladding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""cladding_type"": ""A"", ""annealing_parameter"": ""0.5-1 × 10^-18"", ""silicon_content"": ""<30 ppm"", ""corrosion_resistance"": ""very poor""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_037_chunk2,Table 1,Table 1—Approximate values of annealing parameter and silicon content for the four cladding types,Zircaloy-4,cladding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""cladding_type"": ""B"", ""annealing_parameter"": ""1.5-2 × 10^-18"", ""silicon_content"": ""<30 ppm"", ""corrosion_resistance"": ""fair""}"
