文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,条件哈希,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,应变率(s-1),压力(MPa),辐照剂量(dpa),通量,时间(h),气氛,密度公式,密度数据,比热容公式,比热容数据,热传导率公式,热传导率数据,弹塑性模型公式,弹塑性模型数据,热膨胀公式,热膨胀数据,辐照蠕变公式,辐照蠕变数据,辐照肿胀公式,辐照肿胀数据,腐蚀公式,腐蚀数据,硬化性能公式,硬化性能数据,额外性质
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_002_chunk1,19,Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_002_chunk1,35,The Effect of Fluence and Irradiation Temperature on Delayed Hydride Cracking in Zr-2.5Nb,Zr-2.5Nb,,,Delayed Hydride Cracking,,"{'value': 97.5, 'unit': 'wt%', 'raw_unit': 'wt%'}",,"{'value': 2.5, 'unit': 'wt%', 'raw_unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""test_type"": ""Delayed Hydride Cracking"", ""conditions"": ""Fluence and Irradiation Temperature""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_002_chunk1,62,A Study of the Hydrogen Uptake Mechanism in Zirconium Alloys,,,,Hydrogen Uptake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""test_type"": ""Hydrogen Uptake""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_002_chunk1,80,Hydrogen Absorption Kinetics During Zircaloy Oxidation in Steam,Zircaloy,,Oxidation,Hydrogen Absorption Kinetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""process_step"": ""Oxidation"", ""test_type"": ""Hydrogen Absorption Kinetics"", ""conditions"": ""Steam""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_002_chunk1,98,Scanning Electron Microscope Techniques for Studying Zircaloy Corrosion and Hydriding,Zircaloy,,,Corrosion and Hydriding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""test_type"": ""Corrosion and Hydriding""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_002_chunk1,116,Growth and Characterization of Oxide Films on Zirconium-Niobium Alloys,Zirconium-Niobium,,Oxide Film Growth,Characterization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""process_step"": ""Oxide Film Growth"", ""test_type"": ""Characterization""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_002_chunk1,132,Correlation Between Irradiated and Unirradiated Fracture Toughness of Zr-2.5Nb Pressure Tubes,Zr-2.5Nb,Pressure Tubes,,Fracture Toughness,,"{'value': 97.5, 'unit': 'wt%', 'raw_unit': 'wt%'}",,"{'value': 2.5, 'unit': 'wt%', 'raw_unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""specimen_state"": ""Pressure Tubes"", ""test_type"": ""Fracture Toughness"", ""conditions"": ""Irradiated and Unirradiated""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_002_chunk1,168,Variability of Irradiation Growth in Zr-2.5Nb Pressure Tubes,Zr-2.5Nb,Pressure Tubes,,Irradiation Growth,,"{'value': 97.5, 'unit': 'wt%', 'raw_unit': 'wt%'}",,"{'value': 2.5, 'unit': 'wt%', 'raw_unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""specimen_state"": ""Pressure Tubes"", ""test_type"": ""Irradiation Growth""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_002_chunk1,183,Change of Mechanical Properties by Irradiation and Evaluation of the HeatTreated Zr-2.5Nb Pressure Tube,Zr-2.5Nb,Pressure Tube,HeatTreated,Mechanical Properties,,"{'value': 97.5, 'unit': 'wt%', 'raw_unit': 'wt%'}",,"{'value': 2.5, 'unit': 'wt%', 'raw_unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""specimen_state"": ""Pressure Tube"", ""process_step"": ""HeatTreated"", ""test_type"": ""Mechanical Properties"", ""conditions"": ""Irradiation""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_002_chunk1,194,On the Anisotropy of In-Reactor Creep of Zr-2.5Nb Tubes,Zr-2.5Nb,Tubes,,In-Reactor Creep,,"{'value': 97.5, 'unit': 'wt%', 'raw_unit': 'wt%'}",,"{'value': 2.5, 'unit': 'wt%', 'raw_unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""specimen_state"": ""Tubes"", ""test_type"": ""In-Reactor Creep"", ""conditions"": ""Anisotropy""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_002_chunk1,206,Fabrication of Zr-2.5Nb Pressure Tubes to Minimize the Harmful Effects of Trace ElemeNtS,Zr-2.5Nb,Pressure Tubes,Fabrication,,,"{'value': 97.5, 'unit': 'wt%', 'raw_unit': 'wt%'}",,"{'value': 2.5, 'unit': 'wt%', 'raw_unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""specimen_state"": ""Pressure Tubes"", ""process_step"": ""Fabrication"", ""conditions"": ""Trace Elements""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_002_chunk1,225,Modeling of Damage in Cold Pilgering,,,Cold Pilgering,Damage Modeling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""process_step"": ""Cold Pilgering"", ""test_type"": ""Damage Modeling""}"
