文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,abstract,Tests were performed at $3 5 0 \textdegree C$ in both air and iodine environments on specimens previously irradiated at $3 2 7 \%$ in a helium atmosphere to fluences ranging between 1.26 and $\mathbf { 1 . { \dot { 6 } } 0 \times 1 0 ^ { 2 1 } }$ neutrons $( { \bf n } ) / { \bf c m } ^ { 2 }$ $( E > 1 \ \mathbf { M e V } )$,Zircaloy-2,irradiated,irradiation,localized ductility test,,,,,,,,,,,,,,,,,,350,air,,,,1.26e+21,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,abstract,Tests were performed at $3 5 0 \textdegree C$ in both air and iodine environments on specimens previously irradiated at $3 2 7 \%$ in a helium atmosphere to fluences ranging between 1.26 and $\mathbf { 1 . { \dot { 6 } } 0 \times 1 0 ^ { 2 1 } }$ neutrons $( { \bf n } ) / { \bf c m } ^ { 2 }$ $( E > 1 \ \mathbf { M e V } )$,Zircaloy-2,irradiated,irradiation,localized ductility test,,,,,,,,,,,,,,,,,,350,iodine,,,,1.26e+21,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,abstract,Tests were performed at $3 5 0 \textdegree C$ in both air and iodine environments on specimens previously irradiated at $3 2 7 \%$ in a helium atmosphere to fluences ranging between 1.26 and $\mathbf { 1 . { \dot { 6 } } 0 \times 1 0 ^ { 2 1 } }$ neutrons $( { \bf n } ) / { \bf c m } ^ { 2 }$ $( E > 1 \ \mathbf { M e V } )$,Zircaloy-2,irradiated,irradiation,localized ductility test,,,,,,,,,,,,,,,,,,327,,,,,1.26e+21,,helium,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,abstract,Tests were performed at $3 5 0 \textdegree C$ in both air and iodine environments on specimens previously irradiated at $3 2 7 \%$ in a helium atmosphere to fluences ranging between 1.26 and $\mathbf { 1 . { \dot { 6 } } 0 \times 1 0 ^ { 2 1 } }$ neutrons $( { \bf n } ) / { \bf c m } ^ { 2 }$ $( E > 1 \ \mathbf { M e V } )$,Zircaloy-2,irradiated,irradiation,localized ductility test,,,,,,,,,,,,,,,,,,327,,,,,1.6e+21,,helium,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,abstract,recrystallized specimens showing the largest plastic strain at maximum load (6 to 10 percent) in air,Zircaloy-2,recrystallized,annealing,plane-strain loading,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,6.0–10.0,%,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,abstract,stressrelieved specimens showed the largest plastic strain at maximum load (4 to 5 percent) under conditions of plane-stress loading in air,Zircaloy-2,stress-relieved,annealing,plane-stress loading,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,4.0–5.0,%,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,abstract,An iodine environment reduced the load-carrying capacity of the cladding (plane-strain loading) and lowered the strain at maximum load to near the detection limit of the test technique (approximately 1 percent),Zircaloy-2,,,plane-strain loading,,,,,,,,,,,,,,,,,,,iodine,,,,,,,,,,,,,,,,,,,,,1.0,%,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,Materials,"Reactor grade Zircaloy-2 tubing, with a nominal composition of $\mathbf { 1 . 5 S n }$ 0.15Fe, 0.1Cr, and 0.05Ni by weight",Zircaloy-2,,,,,1.5,,0.15,0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,%
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,Materials,Tubing for the unirradiated specimens was received in the as-rocked condition (80 percent reduction in area),Zircaloy-2,as-rocked,rolling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,%
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,Materials,"Rings, $\scriptstyle { \frac { 1 } { 2 } }$ in. in length, were sectioned from the as-received tubing and heated in vacuum over the range of temperatures from 450 to $6 5 0 ^ { \circ } \mathrm { C }$ for $^ { 4 \mathrm { ~ h ~ } }$",Zircaloy-2,,annealing,,,,,,,,,,,,,,,,,,,,,,,,,4.0,vacuum,,,,,,,,,450.0–650.0,°C,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,Materials,"The temperature during irradiation was $3 2 7 ^ { \circ } \mathrm { C }$ , and the fluences attained ranged between 1.25 and $1 . 6 0 \times 1 0 ^ { 2 1 }$ neutrons $( \mathbf { n } ) / \mathbf { c m } ^ { 2 } \left( E > 1 ~ \mathbf { M e V } \right)$",Zircaloy-2,irradiated,irradiation,,,,,,,,,,,,,,,,,,,327.0,,,,,1.25e+21,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,Materials,"The temperature during irradiation was $3 2 7 ^ { \circ } \mathrm { C }$ , and the fluences attained ranged between 1.25 and $1 . 6 0 \times 1 0 ^ { 2 1 }$ neutrons $( \mathbf { n } ) / \mathbf { c m } ^ { 2 } \left( E > 1 ~ \mathbf { M e V } \right)$",Zircaloy-2,irradiated,irradiation,,,,,,,,,,,,,,,,,,,327.0,,,,,1.6e+21,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,Materials,"Prior to irradiation, they had been tube reduced to a 80 percent reduction in area, sectioned, and vacuum annealed over the range in temperature from 450 to $6 5 0 ^ { \circ } \mathrm { C }$",Zircaloy-2,,annealing,,,,,,,,,,,,,,,,,,,,,,,,,,vacuum,,,,,,,,,450.0–650.0,°C,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk3,Fig. 4,the ratio is available for both the unirradiated and irradiated conditions in this study (Fig. 4),Zircaloy-2,sheet,,tensile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk3,Fig. 5,the results of forming the ratio between the best fit curves of Fig. 4 are presented in Fig. 5,Zircaloy-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk3,Fig. 5,the ratio is greatest for the recrystallized condition 650°C anneal where the ratio is ¬1.5,Zircaloy-2,recrystallized,650°C anneal,,,,,,,,,,,,,,,,,,,650,,,,,,,,,,,,,,1.5,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk3,Fig. 5,"least, approaching theoretical yield isotropy, for the stress relief heat treatment (450°C heat treatment)",Zircaloy-2,stress relieved,450°C heat treatment,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,1.15,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk3,text,irradiation would appear to reduce the degree of texture strengthening but not eliminate it,Zircaloy-2,irradiated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk3,Fig. 3,For the stress-relieved condition (450°C/4 h) the instability developed as a single dominant shear band as illustrated in Fig. 3,Zircaloy-2,stress relieved,450°C/4 h,simple tension,,,,,,,,,,,,,,,,,,,air,,,,,,air,,,,,,,1,bands,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk3,Fig. 2,A full recrystallization heat treatment (650°C/4 h) prior to irradiation resulted in the formation of two symmetrical shear bands when it subsequently was tested (Fig. 2),Zircaloy-2,recrystallized,650°C/4 h,simple tension,,,,,,,,,,,,,,,,,,,air,,,,,,air,,,,,,,2,bands,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk3,text,Williams et al [16] reported a fluence effect with high (1.5 × 10²¹ n/cm²) fluences promoting a single shear band and low (0.4×10²¹ n/cm²) fluences favoring two bands in fully recrystallized sheet specimens,Zircaloy-2,recrystallized sheet,,,,,,,,,,,,,,,,,,,,,,,,,1.5e+21,,,,,,,,,1,bands,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk3,text,Williams et al [16] reported a fluence effect with high (1.5 × 10²¹ n/cm²) fluences promoting a single shear band and low (0.4×10²¹ n/cm²) fluences favoring two bands in fully recrystallized sheet specimens,Zircaloy-2,recrystallized sheet,,,,,,,,,,,,,,,,,,,,,,,,,4e+20,,,,,,,,,2,bands,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk3,text,"edge effects (lateral strain) were noted, but they never consumed more than 10 percent of the gage width on either edge",Zircaloy-2,,,plane strain,,,,,,,,,,,,,,,,,,,air,,,,,,air,,,,,,,10,percent,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk4,text,The effects of neutron irradiation on the ductilities of stress-relieved specimens ⟨ T a n n e a l = 4 5 0 ∘ C ⟩ were insignificant.,Zircaloy-2,stress-relieved,annealing at 450°C,neutron irradiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk4,text,"However, there was a significant effect on the ductility of recrystallized specimens ( T a n n e a l = 6 5 0 ∘ C )",Zircaloy-2,recrystallized,annealing at 650°C,neutron irradiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk4,text,the uniform strain was lowered sufficiently to reverse the sensitivity to annealing temperature such that the increasing preirradiation annealing temperature resulted in a constant or decreasing uniform strain,Zircaloy-2,,preirradiation annealing,simple tension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk4,text,"For conditions of notched plane-strain loading, a recrystallization anneal results in the largest strain at maximum stress (6 to 10 percent)",Zircaloy-2,recrystallized,annealing,notched plane-strain loading,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,6.0–10.0,%,,,,,,,,,,
