文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,条件哈希,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,应变率(s-1),压力(MPa),辐照剂量(dpa),通量,时间(h),气氛,密度公式,密度数据,比热容公式,比热容数据,热传导率公式,热传导率数据,弹塑性模型公式,弹塑性模型数据,热膨胀公式,热膨胀数据,辐照蠕变公式,辐照蠕变数据,辐照肿胀公式,辐照肿胀数据,腐蚀公式,腐蚀数据,硬化性能公式,硬化性能数据,额外性质
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_040_chunk1,text,"Specimens consisted of $5 0 ~ \mathrm { m m }$ lengths of Zircaloy-4, cut from standard $9 . 5 \mathrm { { m m } }$ diameter, $0 . 5 7 \mathrm { m m }$ nominal wall thickness, stress-relief annealed cladding",Zircaloy-4,stress-relief annealed cladding,"cut, deburred, numbered, cleaned",isothermal corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""specimen_dimensions"": ""50 mm length, 9.5 mm diameter, 0.57 mm wall thickness""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_040_chunk1,text,"Three heats of Zircaloy-4 have been studied, supplied by two manufacturers, designated A and B",Zircaloy-4,,,isothermal corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""manufacturers"": ""A and B"", ""batches"": ""Batch 1, Batch 2, Batch 3""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_040_chunk1,text,standard start of cycle coolant chemistry containing $2 . 2 \mathsf { p p m }$ of lithium (as lithium hydroxide) and $1 0 0 0 \ \mathsf { p p m }$ of boron (as boric acid),Zircaloy-4,,,isothermal corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""coolant_chemistry"": ""standard start of cycle""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_040_chunk1,text,solution containing $2 2 0 ~ \mathsf { p p m }$ of lithium with $8 0 0 0 \ \mathsf { p p m }$ of boron was thus used for the simulated hideout tests,Zircaloy-4,,,isothermal corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""test_environment"": ""simulated hideout conditions""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_040_chunk1,text,"tests were performed subsequently with the same lithium concentration, but with boron additions between 0 and $1 2 0 0 ~ \mathrm { p p m }$",Zircaloy-4,,,isothermal corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""boron_concentration_range"": ""0-1200 ppm""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_040_chunk1,text,"A control specimen was placed in a carrier near the heated specimen so that it was exposed to the same solution at the same bulk solution temperature, but without a through-wall heat flux",Zircaloy-4,,,heat flux corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""test_configuration"": ""control specimen without heat flux""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_040_chunk2,Fig. 3,The average weight gain data for the lead groups of specimens from the three batches of material in this environment are shown in Fig. 3,Zircaloy-4,clad,,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weight gain data shown in Fig. 3,,,"{""batch_variability"": ""significant variability between batches"", ""transition_times"": {""Batch 1"": ""90 days"", ""Batch 2"": ""160 days"", ""Batch 3"": ""120 days""}, ""post_transition_corrosion_rates"": {""Batch 1"": ""45% greater than Batch 2"", ""Batch 3"": ""35% greater than Batch 2""}, ""confidence_bound"": ""±4 mg dm⁻² at 900 days for Batch 2""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_040_chunk2,Text,Chemical analysis of a Batch 2 specimen after 581 days indicated the presence of 11 ppm of lithium in the oxide,Zircaloy-4,oxidized,corrosion exposure,chemical analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""lithium_content"": ""11 ppm in oxide"", ""analysis_method"": ""chemical analysis""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_040_chunk2,Fig. 4,"a group of Batch 2 specimens were pre-oxidized in atmospheric pressure steam at 823 K for three days, which produced an oxide film ~12 μm thick",Zircaloy-4,pre-oxidized,pre-oxidation at 823 K for 3 days,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gravimetric results shown in Fig. 4,,,"{""oxide_thickness"": ""~12 μm"", ""pre_oxidation_conditions"": ""823 K, atmospheric pressure steam, 3 days"", ""corrosion_behavior"": ""initially similar but slightly higher rate than virgin specimens, accelerated after ~550 days""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_040_chunk2,Fig. 5,the gravimetric results from two of the batches of clad in the 220 ppm of lithium and 8000 ppm of boron simulated hideout environment are compared with those from start of cycle coolant,Zircaloy-4,clad,,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gravimetric results shown in Fig. 5,,,"{""environmental_effect"": ""no effect up to first transition, ~20% acceleration after transition for hideout environment"", ""transition_time_reduction"": ""from 160 to 130 days for Batch 2"", ""comparative_effect"": ""smaller than variability between material batches""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_040_chunk5,text,boron additions from 50 to 8000 ppm resulted in a marked reduction in corrosion rate compared to tests without boron,Zircaloy-4,corroded,corrosion testing,isothermal autoclave tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reduced corrosion rate,,,"{""lithium_incorporation"": ""reduced in presence of boron"", ""boron_concentration"": ""50-8000 ppm"", ""lithium_concentration"": ""220 ppm"", ""test_duration"": ""~100 days""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_040_chunk5,text,the addition of 10 ppm of boron to a concentrated lithium solution resulted in consistently greater corrosion rates,Zircaloy-4,corroded,corrosion testing,isothermal autoclave tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,increased corrosion rate,,,"{""boron_concentration"": ""10 ppm"", ""lithium_concentration"": ""220 ppm"", ""corrosion_variability"": ""greater variability between repeat tests""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_040_chunk5,text,pre-oxidation of Zircaloy-4 in steam does not allow reliable prediction of long term corrosion rates,Zircaloy-4,pre-oxidized,steam pre-oxidation,corrosion testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unreliable for long term prediction,,,"{""pre-treatment"": ""steam oxidation"", ""prediction_reliability"": ""poor for long term corrosion rates""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_040_chunk5,text,tests under heat flux on a simple static rig give some confidence that the reported ameliorating effect of boron could also be expected in a reactor,Zircaloy-4,,corrosion testing,heat flux tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large reduction in corrosion rate,,,"{""test_conditions"": ""boiling, heat flux"", ""boron_volatilization"": ""not preventing corrosion reduction"", ""environment"": ""concentrated lithium-containing""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_040_chunk6,text,oxide films were formed on Zircaloy specimens in 573 K water and pH 10–14.5 LiOH solutions (0.7 to 2.1×10⁴ ppm Li) for times from 1-70 days,Zircaloy,oxide films,corrosion in LiOH solutions,"optical and electron microscopy, FTIR interferometry, impedance spectroscopy, polarization in fused nitrate/nitrite melt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""oxide_thickness"": ""~2 μm at transition"", ""oxide_structure"": ""predominantly monoclinic zirconium oxide (ZrO₂)"", ""electronic_conductivity"": ""enhanced in LiOH solutions"", ""dissolution_behavior"": ""oxide loss by dissolution with reprecipitation as porous layer or on autoclave walls""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_040_chunk6,text,specimens of fuel cladding that had been oxidized in pH 7 and 12 LiOH solutions (70 ppm Li at 633 K,Zircaloy,fuel cladding,oxidation,limited range of measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""lithium_concentration"": ""70 ppm"", ""pH_conditions"": ""7 and 12""}"
