文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,条件哈希,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,应变率(s-1),压力(MPa),辐照剂量(dpa),通量,时间(h),气氛,密度公式,密度数据,比热容公式,比热容数据,热传导率公式,热传导率数据,弹塑性模型公式,弹塑性模型数据,热膨胀公式,热膨胀数据,辐照蠕变公式,辐照蠕变数据,辐照肿胀公式,辐照肿胀数据,腐蚀公式,腐蚀数据,硬化性能公式,硬化性能数据,额外性质
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_022_chunk1,Table 1,"Cladding Type: Optimized standard, Sandvik; Surface Treatment: pickled + autoclaved",Zircaloy-2,pickled + autoclaved,Optimized standard,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δ = 0.8×10⁻⁴(EFPH)¹.⁰×e^(±0.4),,,,"{""cladding_type"": ""II"", ""surface_treatment_symbol"": ""1"", ""reactor_environments"": ""Oskarshamn 1, Ringhals 1, Barsebäck 1, Oskarshamn 2, Forsmark 1""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_022_chunk1,Table 1,"Cladding Type: Beta quenched before the two last pilgering steps, Sandvik; Surface Treatment: pickled + autoclaved",Zircaloy-2,pickled + autoclaved,Beta quenched before final pilgering steps,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δ = 2.1×10⁻⁶(EFPH)¹.⁴×e^(±0.3),,,,"{""cladding_type"": ""III"", ""surface_treatment_symbol"": ""1"", ""reactor_environments"": ""Oskarshamn 1, Ringhals 1, Barsebäck 1, Oskarshamn 2, Forsmark 1""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_022_chunk1,Table 1,"Cladding Type: Standard, Mannesmann; Surface Treatment: pickled + autoclaved",Zircaloy-2,pickled + autoclaved,Standard,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δ = 0.4×(EFPH)⁰.⁵×e^(±0.2),,,,"{""cladding_type"": ""IV"", ""surface_treatment_symbol"": ""1"", ""reactor_environments"": ""Oskarshamn 1, Ringhals 1, Barsebäck 1, Oskarshamn 2, Forsmark 1""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_022_chunk1,Table 1,"Cladding Type: Standard, Sandvik; Surface Treatment: pickled + autoclaved",Zircaloy-2,pickled + autoclaved,Standard,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δ = 3.8×10⁻³(EFPH)⁰.⁹×e^(±0.2),,,,"{""cladding_type"": ""V"", ""surface_treatment_symbol"": ""1"", ""reactor_environments"": ""Oskarshamn 1, Ringhals 1, Barsebäck 1, Oskarshamn 2, Forsmark 1""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_022_chunk2,Fig. 1,"Rod average oxide thickness versus EFPH, in Ringhals 1, Barsebäck 1, Oskarshamn 1, Oskarshamn 2, and Forsmark 1",,cladding,pickled and autoclaved; ground,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oxide thickness measurements at different EFPH,,,"{""corrosion_ranking"": ""Type III → Type II → Type V → Type IV"", ""surface_condition"": [""smooth"", ""coarse ground""], ""reactors"": [""Ringhals 1"", ""Barsebäck 1"", ""Oskarshamn 1"", ""Oskarshamn 2"", ""Forsmark 1""], ""burnup"": ""35 MWd/kgU""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_022_chunk2,Text,autoclave tests were carried out in a 3.5- and 21.0-L refreshed and static autoclaves,,specimen,"degreasing, pickling, or prefilming",autoclave corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""autoclave_type"": [""refreshed"", ""static""], ""autoclave_volume"": [""3.5 L"", ""21.0 L""], ""temperature_control"": ""±1.5°C"", ""thermocouple_accuracy"": ""±0.5°C"", ""instrument_accuracy"": ""±2°C"", ""temperature_recording_interval"": [""5 min during heating"", ""30 min during stable operation""]}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_022_chunk2,Text,oxygen content measured by an oxygen-analyzer...is 8- to 10-ppm O₂,,specimen,,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""oxygen_content"": ""8-10 ppm O₂"", ""argon_saturated_oxygen"": ""<10 ppb"", ""oxygen_saturated"": ""215 ppm"", ""hydrogen_content"": ""7 ppm H₂"", ""hydrogen_pressure"": ""0.5 MPa"", ""water_conductivity"": ""<1 μS""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_022_chunk2,Text,specimens cut from the tubes were approximately 50 mm in length,,tube specimens,"degreasing, pickling, or prefilming",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""specimen_length"": ""50 mm"", ""degreasing_procedure"": [""alkaline degreaser 15 min at 80°C"", ""rinse in warm tap water 15 min"", ""rinse in boiling deionized water 15 min"", ""dry at 80°C for 30 min""]}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_022_chunk3,Table 3,Table 3—Autoclave corrosion results of different experimental claddings,Type II,pickled,pickling,static autoclave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38 to 58 mg/dm²,,,"{""weight_gain_range"": ""38 to 58 mg/dm²"", ""test_temperature"": ""480°C"", ""oxygen_content"": ""~10 ppb"", ""hydrogen_content"": ""?""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_022_chunk3,Table 3,Table 3—Autoclave corrosion results of different experimental claddings,Type II,pickled,pickling,static autoclave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60 to 200 mg/dm²,,,"{""weight_gain_range"": ""60 to 200 mg/dm²"", ""test_temperature"": ""500°C"", ""oxygen_content"": ""~10 ppb"", ""hydrogen_content"": ""?""}"
