文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,条件哈希,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,应变率(s-1),压力(MPa),辐照剂量(dpa),通量,时间(h),气氛,密度公式,密度数据,比热容公式,比热容数据,热传导率公式,热传导率数据,弹塑性模型公式,弹塑性模型数据,热膨胀公式,热膨胀数据,辐照蠕变公式,辐照蠕变数据,辐照肿胀公式,辐照肿胀数据,腐蚀公式,腐蚀数据,硬化性能公式,硬化性能数据,额外性质
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_043_chunk1,Abstract,Nodular corrosion characteristics of recrystallized Zircaloy-4 were investigated in static autoclave tests at 500°C and 10.3 MPa,Zircaloy-4,recrystallized,"beta-treating at 1050°C, cold work, surface treatment",static autoclave tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"weight gain, nodule coverage, nodule number density",,,"{""microstructure"": ""intermetallic precipitates"", ""precipitate_composition"": ""Zr(Fe,Cr)2"", ""cooling_rate"": ""varied"", ""annealing_temperature"": ""varied""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_043_chunk1,Abstract,"Nodular corrosion characteristics and microstructures of commercial Zircaloy-2 cladding of fuel and gadolinia rods, obtained from several boiling water reactors (BWRs) after burnup of 11 to 30 MWd/kgU",Zircaloy-2,commercial cladding,irradiated,in-reactor examination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nodular oxidation,,,"{""microstructure"": ""intermetallic precipitates"", ""precipitate_size"": ""250-700 nm"", ""precipitate_state"": ""partial amorphization"", ""operating_temperature"": ""288-307°C"", ""hydrides"": ""increased precipitation"", ""suboxides"": ""present"", ""oxide_particles"": ""small irradiation-induced""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_043_chunk1,Introduction,"nodular and uniform-accelerated corrosion, respectively, remain as primary fuel performance concerns",Zircaloy-2,,,autoclave tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nodular corrosion,,,"{""precipitate_types"": ""Zr(Fe,Cr)2 and Zr2(Fe,Ni)"", ""corrosion_susceptibility"": ""higher with large precipitates""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_043_chunk1,Introduction,"uniform corrosion rates of Zircaloy-4, in both autoclave tests and PWR fuel rods, were higher for tubes in which the accumulated annealing parameter was smaller",Zircaloy-4,,,autoclave tests and PWR fuel rods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uniform corrosion,,,"{""precipitate_size"": ""smaller"", ""annealing_parameter"": ""smaller accumulated""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_043_chunk2,text,"Autoclave corrosion tests were conducted primarily on Zircaloy-4, although several scoping tests on sponge-grade $Z \mathbf { r }$ and $\mathsf { Z } _ { \mathsf { I } } { \mathsf { - } } 2 . 5 \mathsf { N b }$ were also performed. The $2 . 1 \mathrm { - m m }$ -thick sheets of recrystallized Zircaloy-4 contained $1 . 4 9 \ \mathrm { S n }$ . 0.20 Fe. 0.10 Cr. 0.145 O (in wt. $c _ { \mathit { \mathrm { / c } } }$ ) and impurity elements of $1 8 0 \mathrm { ~ C ~ }$ , 62 Hf, ${ < } 5 \mathrm { H }$ $< 3 5$ Ni. 78 Si, and $1 . 8 \mathrm { U }$ (in wt. ppm).",Zircaloy-4,recrystallized,annealing,autoclave corrosion,,,"{'value': 1.49, 'unit': 'wt%', 'raw_unit': 'wt%'}",,"{'value': 0.2, 'unit': 'wt%', 'raw_unit': 'wt%'}","{'value': 0.1, 'unit': 'wt%', 'raw_unit': 'wt%'}","{'value': 35.0, 'unit': 'ppm', 'raw_unit': 'wt. ppm', 'note': '<'}",,,,,"{'value': 0.145, 'unit': 'wt%', 'raw_unit': 'wt%'}",,,"{'value': 180.0, 'unit': 'ppm', 'raw_unit': 'wt. ppm'}","{'value': 5.0, 'unit': 'ppm', 'raw_unit': 'wt. ppm', 'note': '<'}",,"{'value': 78.0, 'unit': 'ppm', 'raw_unit': 'wt. ppm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,"{""thickness"": ""2.1 mm"", ""surface_treatment"": ""coarse (120 grit) and fine (600 grit) grinding, polishing, pickling"", ""pickling_solution"": ""3 Hf, 40 HNO3, 57 H2O (vol.%)"", ""measurements"": [""surface nodule coverage"", ""weight gain"", ""particle distribution""]}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_043_chunk2,text,"Scoping tests on Zircaloy-4, sponge $\mathrm { Z r }$ , and $\mathbf { Z } \mathbf { r } { - } 2 . 5 \mathbf { N } \mathbf { b }$ , conducted at $5 0 0 \mathrm { { } ^ { \circ } C }$ for $^ { 2 4 \mathrm { ~ h ~ } }$ , illustrate the relative susceptibility of the materials to nodular corrosion (Fig. 1). Both asreceived and beta-quenched $\mathbf { Z r { - } } 2 . 5 \mathbf { N b }$ did not exhibit nodular corrosion, in contrast to significant nodule formation on Zr and Zircaloy-4 specimens.",Zr-2.5Nb,"as-received, beta-quenched",,autoclave corrosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""nodular_corrosion_resistance"": ""superior"", ""nodule_formation"": ""none""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_043_chunk2,Table 1,"Reactor: BWR-A, Fuel: UO2, Burnup: 14 MWd/kgU, Cladding State: Annealed, Fluence: 2.2×10²¹ n cm⁻² (E>0.1 MeV), Oxide Morphology: Nodular, Oxide Layer Thickness: 3-45 μm, Size of Intermetallic Precipitates: 340-750 nm",Zircaloy-2/Zircaloy-4,Annealed,,in-reactor corrosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""oxide_morphology"": ""Nodular"", ""oxide_layer_thickness"": ""3-45 μm"", ""intermetallic_precipitate_size"": ""340-750 nm""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_043_chunk2,Table 1,"Reactor: BWR-B, Fuel: UO2, Burnup: 30 MWd/kgU, Cladding State: Stress-relieved, Fluence: 3.3×10²¹ n cm⁻² (E>0.1 MeV), Oxide Morphology: Uniform (thick), Oxide Layer Thickness: 50-70 μm, Size of Intermetallic Precipitates: 300-600 nm",Zircaloy-2/Zircaloy-4,Stress-relieved,,in-reactor corrosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""oxide_morphology"": ""Uniform (thick)"", ""oxide_layer_thickness"": ""50-70 μm"", ""intermetallic_precipitate_size"": ""300-600 nm""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_043_chunk8,Text,Measurements of accelerated oxidation for PWR extended-burnup fuels show oxide thicknesses as high as $1 1 0 \mu \mathrm { m }$,Zircaloy-4,irradiated,extended-burnup operation,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oxide thickness up to 110 μm,,,"{""oxide_thickness"": ""110 μm"", ""burnup"": "">45 MWd/kgU"", ""microcracking"": ""accelerated"", ""hydride_precipitation"": ""increased"", ""ZrO2_particles"": ""small cubic particles formed via irradiation""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_043_chunk8,Text,Nodular corrosion characteristics of recrystallized Zircaloy-4 from static autoclave tests at $5 0 0 \mathrm { { } ^ { \circ } C }$ and $1 0 . 3 \ \mathrm { M P a }$,Zircaloy-4,recrystallized,static autoclave test,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nodular corrosion,,,"{""test_temperature"": ""500°C"", ""test_pressure"": ""10.3 MPa"", ""precipitate_size_correlation"": ""good correlation with weight gain"", ""nodule_coverage"": ""exceptions in correlation"", ""nodule_number_density"": ""exceptions in correlation""}"
