文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_034_chunk1,1,Precracked specimens of Zircaloy-2 show crack extension in iodine vapor at temperatures in the range 510°C to room temperature,Zircaloy-2,precracked,,stress corrosion cracking,,,,,,,,,,,,,,,,,,510,iodine vapor,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_034_chunk1,1,Precracked specimens of Zircaloy-2 show crack extension in iodine vapor at temperatures in the range 510°C to room temperature,Zircaloy-2,precracked,,stress corrosion cracking,,,,,,,,,,,,,,,,,,25,iodine vapor,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_034_chunk1,1,"Only within the temperature range 230 to 510°C, however, have smooth stressed specimens failed",Zircaloy-2,smooth stressed,,stress corrosion cracking,,,,,,,,,,,,,,,,,,230,iodine vapor,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_034_chunk1,1,"Only within the temperature range 230 to 510°C, however, have smooth stressed specimens failed",Zircaloy-2,smooth stressed,,stress corrosion cracking,,,,,,,,,,,,,,,,,,510,iodine vapor,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_034_chunk1,1,a yield point high enough to support a total stress (applied plus internal) of 400 MPa is required,Zircaloy-2,,,stress corrosion cracking,,,,,,,,,,,,,,,,,,,iodine vapor,,,,,,,,,,,,,400,MPa,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_034_chunk1,1,crack propagation in double cantilever beam (DCB) specimens formed from cold-rolled Zircaloy-2 slab is easy only in the rolling plane (especially in the transverse direction),Zircaloy-2,cold-rolled slab,cold rolling,stress corrosion cracking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_034_chunk1,1,smooth specimens consisted of short (0.5-in.) lengths of standard fuel clad tubing (0.6 in. outside diameter by 0.015 in. wall),Zircaloy-2,tubing,,,,,,,,"{'value': None, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_034_chunk1,1,The DCB specimens were 1 by 1 by 4.5 in. in final dimensions,Zircaloy-2,DCB specimen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_034_chunk1,1,TABLE I—SCC of Zircaloy in iodine /organic solutions at 25°C,Zircaloy,,,stress corrosion cracking,,,,,,,,,,,,,,,,,,25,iodine/organic solutions,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_034_chunk2,Table,None (I2 vapor) 5200,,,,Absorption,,,,,,,,,,,,,,,,,,,I2 vapor,,,,,,,,,,,,,,,,,,,,,30.2,%,,
