alloy_name,composition,composition_raw,conditions,conditions_hash,confidence,domain,evidence_span,metric_type,note,page_or_fig,process_step,property_name,raw_unit,source_id,specimen_state,test_type,unit,value,value_max,value_min
,{},,"{'temp_C': 400, 'medium': 'steam', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",f9bc25911204,0.9,corrosion,Six zirconium alloys were exposed in as-etched and prefilmed (400 C steam) surface conditions,judgement,,abstract,surface preparation,,,STP458-EB-Zirconium in the Nuclear Industry_1st Volume_022_chunk1,as-etched; prefilmed,corrosion test,,,,
,{},,"{'temp_C': 400, 'medium': 'steam', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",f9bc25911204,,density,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,surface preparation,,,STP458-EB-Zirconium in the Nuclear Industry_1st Volume_022_chunk1,as-etched; prefilmed,,,,,
,{},,"{'temp_C': 400, 'medium': 'steam', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",f9bc25911204,,specific_heat,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,surface preparation,,,STP458-EB-Zirconium in the Nuclear Industry_1st Volume_022_chunk1,as-etched; prefilmed,,,,,
,{},,"{'temp_C': 400, 'medium': 'steam', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",f9bc25911204,,thermal_conductivity,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,surface preparation,,,STP458-EB-Zirconium in the Nuclear Industry_1st Volume_022_chunk1,as-etched; prefilmed,,,,,
,{},,"{'temp_C': 400, 'medium': 'steam', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",f9bc25911204,,elastoplastic_model,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,surface preparation,,,STP458-EB-Zirconium in the Nuclear Industry_1st Volume_022_chunk1,as-etched; prefilmed,,,,,
,{},,"{'temp_C': 400, 'medium': 'steam', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",f9bc25911204,,thermal_expansion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,surface preparation,,,STP458-EB-Zirconium in the Nuclear Industry_1st Volume_022_chunk1,as-etched; prefilmed,,,,,
,{},,"{'temp_C': 400, 'medium': 'steam', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",f9bc25911204,,irradiation_creep,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,surface preparation,,,STP458-EB-Zirconium in the Nuclear Industry_1st Volume_022_chunk1,as-etched; prefilmed,,,,,
,{},,"{'temp_C': 400, 'medium': 'steam', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",f9bc25911204,,irradiation_swelling,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,surface preparation,,,STP458-EB-Zirconium in the Nuclear Industry_1st Volume_022_chunk1,as-etched; prefilmed,,,,,
,{},,"{'temp_C': 400, 'medium': 'steam', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",f9bc25911204,,hardening,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,surface preparation,,,STP458-EB-Zirconium in the Nuclear Industry_1st Volume_022_chunk1,as-etched; prefilmed,,,,,
Zircaloy-2; Zircaloy-4; Zr-3Nb-1Sn; Zr-2.5Nb; Zr-1.2Cu-0.28Fe; Zr-1.2Cr-0.08Fe,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,0.95,,"The six alloys were Zircaloy-2, Zircaloy-4, Zr-3Nb-1Sn, Zr-2.5Nb, Zr-1.2Cu-0.28Fe, and Zr-1.2Cr-0.08Fe",judgement,,abstract,,,,STP458-EB-Zirconium in the Nuclear Industry_1st Volume_022_chunk1,,,,,,
