文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_033_chunk1,Table 1,"Specimen Zry-2, Zr balance, Fe 0.15, Cr 0.1, Ni 0.05, Sn 1.5",Zry-2,,,Electrochemical Tests,"{'value': 'balance', 'unit': 'wt%'}","{'value': 1.5, 'unit': 'wt%'}",,"{'value': 0.15, 'unit': 'wt%'}","{'value': 0.1, 'unit': 'wt%'}","{'value': 0.05, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680.0,ppm,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_033_chunk1,text,Corrosion and electrochemical tests on selected materials at both ambient and elevated temperatures were performed,,,,Corrosion and electrochemical tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_033_chunk1,text,the role(s) of intermetallics on corrosion resistance in water and steam are discussed,,,,,,,,,,,,,,,,,,,,,,,water and steam,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_033_chunk1,text,The compositions were melted in a water-cooled copper crucible using electric arc under argon gas.,,,melted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_033_chunk1,text,standard Zircaloy-2 (Zry-2) and Zircaloy-4 (Zry-4) sheets were remelted under the same conditions.,"Zry-2, Zry-4",sheet,remelted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_033_chunk2,Table (Fig. 1d),B	Zr1.8Sn	58				42,Zr4Sn,B,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,at%,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_033_chunk2,Fig. 1e,"Fig. le, $\mathbf { Z r C r } _ { 2 }$",ZrCr2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,at%,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_033_chunk2,Table (Fig. 1f),Matrix	Z12.3Ni	78			22,ZrNi,Matrix,,,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,at%,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_033_chunk2,Table (Fig. 1f),A	Zr4.7Ni	88			12,ZrNi,A,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,at%,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_033_chunk2,Text,Seven different specimen microstructures were included: three cast structures and four mill processed specimens as identified in Table 4.,,cast; mill processed,cast; mill processed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cast structures; mill processed,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_033_chunk2,Text,All exposures were in $5 0 0 \mathrm { { } ^ { \circ } C }$ steam.,,,exposure,exposure,,,,,,,,,,,,,,,,,,500.0,steam,,,,,,,,,,,,,,,,,,,,,steam,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_033_chunk2,Table 3,1.	As-cast	216215	Arc melted,Zry-4,As-cast,Arc melted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arc melted,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_033_chunk3,text,"Conversions to Standard Hydrogen Electrode Potential—To enable comparison of hightemperature and low-temperature electrochemical data, the measured values are converted to the standard hydrogen electrode (SHE) scale. First, a term is added to adjust for temperature. The value of 0.109 [15] was used in the high-temperature measurements.",,,,electrochemical measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109,V,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_033_chunk3,text,At $2 5 \mathrm { ^ \circ C }$ this potential shift $\Delta E$ is calculated to be $0 . 3 2 5 \mathrm { ~ V ~ }$ .,,,,electrochemical calculation,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,0.325,V,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_033_chunk3,text,"Using a $p k W$ of 11.2 at $2 5 0 \mathrm { { } ^ { \circ } C }$ (523 K) [16], a $\mathsf { p H }$ shift from 5.5 to 4.4 is calculated.",,,,electrochemical calculation,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,11.2,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_033_chunk4,text,Specimens having a higher RWG oxidized more rapidly than those having lower RWG.,,,,oxidation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
