文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,条件哈希,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,应变率(s-1),压力(MPa),辐照剂量(dpa),通量,时间(h),气氛,密度公式,密度数据,比热容公式,比热容数据,热传导率公式,热传导率数据,弹塑性模型公式,弹塑性模型数据,热膨胀公式,热膨胀数据,辐照蠕变公式,辐照蠕变数据,辐照肿胀公式,辐照肿胀数据,腐蚀公式,腐蚀数据,硬化性能公式,硬化性能数据,额外性质
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_030_chunk1,Text,"Fatigue specimens, Fig. la, were machined from blanks cut transverse to the rolling direction from nominally 1.27-mm-thick, 60% cold-worked unirradiated crystal bar zirconium",crystal bar zirconium,recrystallized,"60% cold-worked, annealed at 750 K for 2h in vacuum",fatigue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""grain_size"": ""~10 μm"", ""texture_parameters"": ""Table 2 (0002) plane""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_030_chunk1,Text,low-oxygen sponge zirconium,sponge zirconium,recrystallized,"60% cold-worked, annealed at 750 K for 2h in vacuum",fatigue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""grain_size"": ""~10 μm"", ""texture_parameters"": ""Table 2 (0002) plane""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_030_chunk1,Text,reactor grade sponge zirconium,reactor grade sponge zirconium,recrystallized,"60% cold-worked, annealed at 750 K for 2h in vacuum",fatigue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""grain_size"": ""~10 μm"", ""texture_parameters"": ""Table 2 (0002) plane""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_030_chunk1,Text,recrystallized Zircaloy-2 sheet,Zircaloy-2,recrystallized,"60% cold-worked, annealed at 750 K for 2h in vacuum",fatigue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""grain_size"": ""~10 μm"", ""texture_parameters"": ""Table 2 (0002) plane""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_030_chunk1,Text,Zircaloy-2 was irradiated at ~644 K in a sodium environment in the EBR-II to fluences between 1.5 to 7.7×10²⁵ n/m²,Zircaloy-2,irradiated,irradiated at ~644 K in sodium,fatigue,,,,,,,,,,,,,,,,,,,,,,,,1.5-7.7e25 n/m²,,,,,,,,,,,,,,,,,,,,,"{""neutron_fluence"": ""1.5-7.7×10²⁵ n/m² (E>1 MeV)"", ""irradiation_temperature"": ""~644 K""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_030_chunk1,Text,Crystal bar zirconium was irradiated at 600 K in an inert environment in a BWR to a fluence of 1.05×10²⁵ n/m²,crystal bar zirconium,irradiated,irradiated at 600 K in inert environment,fatigue,,,,,,,,,,,,,,,,,,,,,,,,1.05e25 n/m²,,,,,,,,,,,,,,,,,,,,,"{""neutron_fluence"": ""1.05×10²⁵ n/m² (E>1 MeV)"", ""irradiation_temperature"": ""600 K""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_030_chunk1,Text,Zircaloy-4 was irradiated at 561 K as a BWR channel to a fluence of 15×10²⁵ n/m²,Zircaloy-4,irradiated,irradiated at 561 K as BWR channel,fatigue crack growth,,,,,,,,,,,,,,,,,,,,,,,,15e25 n/m²,,,,,,,,,,,,,,,,,,,,,"{""neutron_fluence"": ""15×10²⁵ n/m² (E>1 MeV)"", ""irradiation_temperature"": ""561 K"", ""specimen_type"": ""compact tension (CT)""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_030_chunk2,Table 1,"Zircaloy-4: Sn 1.45, Fe 0.21, Cr 0.10, Ni · . •, O 0.13",Zircaloy-4,recrystallized,rolled sheet,fatigue crack growth,,,"{'value': 1.45, 'unit': 'wt%', 'raw_unit': 'wt%'}",,"{'value': 0.21, 'unit': 'wt%', 'raw_unit': 'wt%'}","{'value': 0.1, 'unit': 'wt%', 'raw_unit': 'wt%'}",,,,,,"{'value': 0.13, 'unit': 'wt%', 'raw_unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""texture_f_parameters"": {""fn"": 0.749, ""f"": 0.12, ""λf"": 1.008}, ""Young's_modulus"": ""75000 MPa"", ""sheet_thickness"": ""2.54 mm""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_030_chunk2,Table 3,"T1 Ta: 0.2% Yield Stress 411.6 MPa, Ultimate Stress 477.8 MPa, Uniform Elongation 10.5%, Total Elongation 30.8%, Test Temperature 297 K, Strain Rate 0.000083 s-1",Zircaloy-4,unirradiated,rolled sheet,tensile,,,"{'value': 1.56, 'unit': 'wt%', 'raw_unit': 'wt%'}",,"{'value': 0.21, 'unit': 'wt%', 'raw_unit': 'wt%'}","{'value': 0.1, 'unit': 'wt%', 'raw_unit': 'wt%'}",,,,,,"{'value': 0.15, 'unit': 'wt%', 'raw_unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""yield_strength"": 411.6, ""ultimate_tensile_strength"": 477.8, ""uniform_elongation"": 10.5, ""total_elongation"": 30.8, ""test_temperature"": 297, ""strain_rate"": 8.3e-05, ""orientation"": ""transverse""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_030_chunk4,Table 5,Table 5 presents the results on unirradiated materials for the fatigue behavior for Zircaloy2 and three purities,LOW-OXYGEN SPONGE ZR,unirradiated,,fatigue test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""fatigue_cycles_to_fail"": ""408"", ""axial_strain_amplitude"": ""0.16"", ""plastic_strain_amplitude"": ""1.11"", ""total_strain_amplitude"": ""1.27"", ""crack_behavior"": ""cracks""}"
