alloy_name,composition,composition_raw,conditions,conditions_hash,confidence,domain,evidence_span,metric_type,metric极,note,page_or_fig,process_step,property_name,raw_unit,source_id,specimen_state,test_type,unit,value,value_max,value_min
Zircaloy-4,{},,"{'temp_C': 673, 'medium': 'steam', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",ca2b6f629fab,,corrosion,corrosion resistance in 673 and 698 K steam,judgement,,,text,thermomechanical processing,corrosion resistance,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_012_chunk1,fuel clad tubing,corrosion test,,,,
Zircaloy-4,{},,"{'temp_C': 673, 'medium': 'steam', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",ca2b6f629fab,,density,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,thermomechanical processing,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_012_chunk1,fuel clad tubing,,,,,
Zircaloy-4,{},,"{'temp_C': 673, 'medium': 'steam', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",ca2b6f629fab,,specific_heat,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,thermomechanical processing,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_012_chunk1,fuel clad tubing,,,,,
Zircaloy-4,{},,"{'temp_C': 673, 'medium': 'steam', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",ca2b6f629fab,,thermal_conductivity,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,thermomechanical processing,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_012_chunk1,fuel clad tubing,,,,,
Zircaloy-4,{},,"{'temp_C': 673, 'medium': 'steam', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",ca2b6f629fab,,elastoplastic_model,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,thermomechanical processing,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_012_chunk1,fuel clad tubing,,,,,
Zircaloy-4,{},,"{'temp_C': 673, 'medium': 'steam', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",ca2b6f629fab,,thermal_expansion,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,thermomechanical processing,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_012_chunk1,fuel clad tubing,,,,,
Zircaloy-4,{},,"{'temp_C': 673, 'medium': 'steam', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",ca2b6f629fab,,irradiation_creep,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,thermomechanical processing,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_012_chunk1,fuel clad tubing,,,,,
Zircaloy-4,{},,"{'temp_C': 673, 'medium': 'steam', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",ca2b6f629fab,,irradiation_swelling,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,thermomechanical processing,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_012_chunk1,fuel clad tubing,,,,,
Zircaloy-4,{},,"{'temp_C': 673, 'medium': 'steam', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",ca2b6f629fab,,hardening,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,thermomechanical processing,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_012_chunk1,fuel clad tubing,,,,,
Zircaloy-4,{},,"{'temp_C': 698, 'medium': 'steam', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",20f97e915125,,corrosion,corrosion resistance in 673 and 698 K steam,judgement,,,text,thermomechanical processing,corrosion resistance,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_012_chunk1,fuel clad tubing,corrosion test,,,,
