文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_027_chunk1,text,"The creep of Zircaloy is important to the design of fuel cladding, pressure tubes, and other in-core components of thermal reactors.",Zircaloy,"fuel cladding, pressure tubes",fabrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_027_chunk1,text,Zircaloy has a hexagonal crystal structure and develops a strong basal pole texture during fabrication.,Zircaloy,,fabrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hexagonal,,,,\dot{\epsilon}_{ij}^{\prime\prime} = C K \beta \sigma_{ij}^{\prime\prime}^{n},,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_027_chunk1,text,"Neither twinning nor the ""secondary"" slip systems, Types B, C, and D have been shown to be active during creep at reactor operating conditions.",Zircaloy,,,creep,,,,,,,,,,,,,,,,,,,reactor operating conditions,,,,,,,,,,,,,,,,,inactive,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_027_chunk1,Fig. 1,Basal pole figure for $\pmb { \alpha }$ hypothetical fuel rod cladding,Zircaloy,hypothetical fuel rod cladding,,texture analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_027_chunk2,text,The stress exponent is normally considered to be between one and two for the creep of Zircaloy at the operating conditions of most light water reactors.,Zircaloy,,,creep,,,,,,,,,,,,,,,,,,,light water reactors,,,,,,,,,,,,,,,,,1–2,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_027_chunk2,text,"Therefore, three values of n will be used here, n = 1, 1.5, and 2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_027_chunk3,text,two lots of Zr-2.5Nb alloy with different heat treatments,Zr-2.5Nb,,different heat treatments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21–0.36,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_027_chunk3,Table 2,"Material Number 2, Test Direction L, Strain Rate x 107, h-1 2.0, Normalized 1.5",,,,creep,,,,,,,,,,,,,,,,,,,,,2e-07,,,,,,,,,,,,,,,2.0,s^-1,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_027_chunk3,Table 2,"Material Number 2, Test Direction L, Strain Rate x 107, h-1 0.7, Normalized 0.85",,,,creep,,,,,,,,,,,,,,,,,,,,,7e-08,,,,,,,,,,,,,,,0.7,s^-1,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_027_chunk3,Table 2,"Material Number 2, Test Direction biaxial a, Strain Rate x 107, h-1 0.36, Normalized 0.31",,,,creep,,,,,,,,,,,,,,,,,,,,,3.6e-08,,,,,,,,,,,,,,,0.36,s^-1,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_027_chunk3,Table 2,"Material Number 3, Test Direction L, Strain Rate x 107, h-1 4.50, Normalized 3.0",,,,creep,,,,,,,,,,,,,,,,,,,,,4.5e-07,,,,,,,,,,,,,,,4.5,s^-1,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_027_chunk3,Table 2,"Material Number 3, Test Direction T, Strain Rate x 107, h-1 2.70, Normalized 0.8",,,,creep,,,,,,,,,,,,,,,,,,,,,2.7e-07,,,,,,,,,,,,,,,2.7,s^-1,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_027_chunk3,Table 2,"Material Number 3, Test Direction T, Strain Rate x 107, h-1 9.00, Normalized 1.8",,,,creep,,,,,,,,,,,,,,,,,,,,,9e-07,,,,,,,,,,,,,,,9.0,s^-1,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_027_chunk3,Table 2,"Material Number 3, Test Direction T, Strain Rate x 107, h-1 5.00, Normalized 0.8",,,,creep,,,,,,,,,,,,,,,,,,,,,5e-07,,,,,,,,,,,,,,,5.0,s^-1,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_027_chunk5,Table,25 85 65 2 A+C 0.98 -0.82,,,,creep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,
