文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,条件哈希,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,应变率(s-1),压力(MPa),辐照剂量(dpa),通量,时间(h),气氛,密度公式,密度数据,比热容公式,比热容数据,热传导率公式,热传导率数据,弹塑性模型公式,弹塑性模型数据,热膨胀公式,热膨胀数据,辐照蠕变公式,辐照蠕变数据,辐照肿胀公式,辐照肿胀数据,腐蚀公式,腐蚀数据,硬化性能公式,硬化性能数据,额外性质
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_013_chunk1,Table 1,"Material: Zircaloy-2a, Lot: AT50, Reactor Exposure: ETR, Archive Material: machined mechanical property specimens",Zircaloy-2,machined mechanical property specimens,,corrosion/hydriding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""reactor_exposure"": ""ETR"", ""archive_material"": ""machined mechanical property specimens"", ""lot"": ""AT50""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_013_chunk1,Table 1,"Material: Zircaloy-2a, Lot: CT19, Reactor Exposure: ETR, Archive Material: machined mechanical property specimens",Zircaloy-2,machined mechanical property specimens,,corrosion/hydriding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""reactor_exposure"": ""ETR"", ""archive_material"": ""machined mechanical property specimens"", ""lot"": ""CT19""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_013_chunk1,Table 1,"Material: Zircaloy-2a, Lot: HT37, Reactor Exposure: ETR, Archive Material: machined mechanical property specimens",Zircaloy-2,machined mechanical property specimens,,corrosion/hydriding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""reactor_exposure"": ""ETR"", ""archive_material"": ""machined mechanical property specimens"", ""lot"": ""HT37""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_013_chunk1,Table 1,"Material: Zircaloy-2c (Type K), Lot: 6497 (Ingot 1), Reactor Exposure: ETR, Archive Material: rolled plate",Zircaloy-2,rolled plate,,corrosion/hydriding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""reactor_exposure"": ""ETR"", ""archive_material"": ""rolled plate"", ""lot"": ""6497"", ""ingot"": ""1"", ""material_type"": ""Type K""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_013_chunk1,Table 1,"Material: Zircaloy-2c (Type K), Lot: 6508 (Ingot 1), Reactor Exposure: ETR, Archive Material: rolled plate",Zircaloy-2,rolled plate,,corrosion/hydriding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""reactor_exposure"": ""ETR"", ""archive_material"": ""rolled plate"", ""lot"": ""6508"", ""ingot"": ""1"", ""material_type"": ""Type K""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_013_chunk1,Table 1,"Material: Zircaloy-2c (Type K), Lot: 6509 (Ingot 2), Reactor Exposure: ETR, Archive Material: rolled plate",Zircaloy-2,rolled plate,,corrosion/hydriding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""reactor_exposure"": ""ETR"", ""archive_material"": ""rolled plate"", ""lot"": ""6509"", ""ingot"": ""2"", ""material_type"": ""Type K""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_013_chunk1,Table 1,"Material: Zircaloy-2c (Type K), Lot: 6011 (Ingot 3), Reactor Exposure: ETR, Archive Material: rolled plate",Zircaloy-2,rolled plate,,corrosion/hydriding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""reactor_exposure"": ""ETR"", ""archive_material"": ""rolled plate"", ""lot"": ""6011"", ""ingot"": ""3"", ""material_type"": ""Type K""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_013_chunk1,Table 1,"Material: Zircaloy-2d, Lot: AT57 (1165)e, Reactor Exposure: N Reactor, Archive Material: tube archive sections",Zircaloy-2,tube archive sections,,corrosion/hydriding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""reactor_exposure"": ""N Reactor"", ""archive_material"": ""tube archive sections"", ""lot"": ""AT57""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_013_chunk1,Table 1,"Material: Zircaloy-2d, Lot: CT33 (1054), Reactor Exposure: N Reactor, Archive Material: tube archive sections",Zircaloy-2,tube archive sections,,corrosion/hydriding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""reactor_exposure"": ""N Reactor"", ""archive_material"": ""tube archive sections"", ""lot"": ""CT33""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_013_chunk1,Table 1,"Material: Zircaloy-2d, Lot: HT189 (2755), Reactor Exposure: N Reactor, Archive Material: tube archive sections",Zircaloy-2,tube archive sections,,corrosion/hydriding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""reactor_exposure"": ""N Reactor"", ""archive_material"": ""tube archive sections"", ""lot"": ""HT189""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_013_chunk1,Table 1,"Material: Zircaloy-4, Reactor Exposure: ATR/ETR, Archive Material: coupons",Zircaloy-4,coupons,,corrosion/hydriding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""reactor_exposure"": ""ATR/ETR"", ""archive_material"": ""coupons""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_013_chunk4,Table,"Test Conditions: 0.3 M LiOH, 295°C, 28 days; 3 cycles to 150°C, Lot: 6509 (Ingot 2), Oxide weight: 86 mg/dm2, Hydrogen Pickup: 120 ppm, Absorption Efficiency: 54%",Zircaloy-2,archive specimens,fabricated,corrosion_test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'value': 86.0, 'unit': 'mg/dm²', 'raw_unit': 'mg/dm2'}",,,"{""hydrogen_pickup"": ""120"", ""hydrogen_pickup_unit"": ""ppm"", ""absorption_efficiency"": ""54"", ""absorption_efficiency_unit"": ""%"", ""expected_order_of_merit"": ""A: .••""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_013_chunk4,Table,"Test Conditions: 0.3 M LiOH, 295°C, 28 days; 3 cycles to 150°C, Lot: HT37, Oxide weight: 91 mg/dm2, Hydrogen Pickup: 152 ppm, Absorption Efficiency: 63%",Zircaloy-2,archive specimens,fabricated,corrosion_test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'value': 91.0, 'unit': 'mg/dm²', 'raw_unit': 'mg/dm2'}",,,"{""hydrogen_pickup"": ""152"", ""hydrogen_pickup_unit"": ""ppm"", ""absorption_efficiency"": ""63"", ""absorption_efficiency_unit"": ""%"", ""expected_order_of_merit"": ""A: •••, B: .•, C: • • • 3""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_013_chunk4,Table,"Test Conditions: 0.3 M, LiOH 295°C, 28 days, Lot: Zr-2.5Nb, Oxide Weight: 258 mg/dm^{$, Hydrogen Pickup: 62 ppm, Absorption Efficiency: 5%",Zr-2.5Nb,archive specimens,fabricated,corrosion_test,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'value': 258.0, 'unit': 'mg/dm²', 'raw_unit': 'mg/dm2'}",,,"{""hydrogen_pickup"": ""62"", ""hydrogen_pickup_unit"": ""ppm"", ""absorption_efficiency"": ""5"", ""absorption_efficiency_unit"": ""%"", ""expected_order_of_merit"": ""A: ·.•, B: •••, C: 1""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_013_chunk5,Text,the Zircaloy-4 and Zr-2.5Nb materials paralleled the in-reactor order-of merit. The Zr-2.5Nb material had the lowest hydriding rate of all the materials tested in the autoclave,Zr-2.5Nb,,,autoclave hydriding test,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""hydriding_rate"": ""lowest"", ""hydriding_resistance"": ""excellent""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_013_chunk5,Text,Zircaloy-4 is slightly more resistant than archive material from N reactor HT189 (2755),Zircaloy-4,,,autoclave hydriding test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""hydriding_resistance"": ""slightly more resistant than HT189 (2755)""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_013_chunk5,Text,HT189 (2755) specimens hydrided at lower rates than tube archive material from other tubes,Zircaloy-2,HT189 (2755),,autoclave hydriding test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""hydriding_rate"": ""lower than other tube materials""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_013_chunk5,Table 6,"Zircaloy-2, AT50, CT19, HT37, 2, N∞",Zircaloy-2,"AT50, CT19, HT37",,autoclave hydriding test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""autoclave_runs"": ""2"", ""correlation_with_in_reactor"": ""N∞""}"
