文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,条件哈希,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,应变率(s-1),压力(MPa),辐照剂量(dpa),通量,时间(h),气氛,密度公式,密度数据,比热容公式,比热容数据,热传导率公式,热传导率数据,弹塑性模型公式,弹塑性模型数据,热膨胀公式,热膨胀数据,辐照蠕变公式,辐照蠕变数据,辐照肿胀公式,辐照肿胀数据,腐蚀公式,腐蚀数据,硬化性能公式,硬化性能数据,额外性质
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_022_chunk1,正文,"Zircaloy-4 corrosion kinetics are characterized by the succession of two laws: the pretransition and the post-transition regimes. As a first approximation, the base mechanisms are represented by a cubic law in pre-transition phase and a linear law in post-transition phase [2]",Zircaloy-4,cladding,corrosion testing,corrosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cubic law (pre-transition), linear law (post-transition)",,,,"{""corrosion_kinetics"": ""pretransition and post-transition regimes"", ""oxidation_phase"": ""pre-transition and post-transition""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_022_chunk1,正文,"The experimental results indicate an increase in cladding corrosion that is caused by lithium enrichment in the oxide layers formed [2,4]. Overconcentration mechanisms under boiling are linked to the thermo-hydraulic conditions in a region close to the wall as well as to the porous structure of zirconia",Zircaloy-4,cladding,corrosion testing,corrosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,increased corrosion due to lithium enrichment,,,"{""lithium_enrichment"": ""present in oxide layers"", ""oxide_structure"": ""porous zirconia"", ""corrosion_acceleration"": ""linked to boiling conditions""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_022_chunk1,正文,"The influence of boiling on Zircaloy-4 corrosion varies according to the oxidation phase reached. In fact, the various boiling regimes (nucleate or generalized boiling) only have a slight influence on cubic kinetics in the pre-transition regime",Zircaloy-4,cladding,corrosion testing,corrosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cubic kinetics,slight influence of boiling regimes,,,"{""boiling_regimes"": ""nucleate or generalized boiling"", ""corrosion_independence"": ""practically independent of void fraction variations in pre-transition""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_022_chunk1,正文,Analyses of pre-transition oxide layers by secondary ion mass spectrometry (SIMS) reveal lithium enrichment at the oxide/water interface. The morphology of oxide formed before the transition time prevents significant diffusion of lithium in the more protective oxide films (Fig. I),Zircaloy-4,oxide layer,SIMS analysis,characterization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""lithium_enrichment_location"": ""oxide/water interface"", ""oxide_morphology"": ""protective films preventing lithium diffusion"", ""analysis_method"": ""secondary ion mass spectrometry (SIMS)""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_022_chunk1,正文,Boiling conditions in out-of-pile loop tests provide an almost constant assessment of the overconcentration factor of around 2 to 3 for void fractions at the wall varying from 5 to 35%,Zircaloy-4,cladding,out-of-pile loop testing,corrosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""overconcentration_factor"": ""2 to 3"", ""void_fraction_range"": ""5 to 35%"", ""test_type"": ""out-of-pile loop""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_022_chunk1,正文,"At the same time, various analyses have shown an increase in lithium concentration in oxide films subjected to increasing void fractions (Fig. 2). The lithium increase in the oxide that has become porous in the post-transition regime leads to a uniform lithium distribution from the metal/oxide interface to the oxide/water interface (Fig. 1)",Zircaloy-4,oxide layer,corrosion testing,characterization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""lithium_distribution"": ""uniform from metal/oxide to oxide/water interface"", ""oxide_porosity"": ""increased in post-transition regime"", ""lithium_concentration"": ""increases with void fractions""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_022_chunk1,正文,It was possible to define an acceleration factor of post-transition kinetics as a function of the void fractions applied to the claddings: Fa(t) = DS/DS₀,Zircaloy-4,cladding,corrosion testing,corrosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fa(t) = DS/DS₀,acceleration factor as function of void fractions,,,"{""kinetics_acceleration_factor"": ""Fa(t) = DS/DS₀"", ""dependence"": ""function of void fractions"", ""regime"": ""post-transition""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_022_chunk2,Fig. 3,corrosion enhancement factor versus boiling conditions,,cladding,corrosion testing,out-of-pile loop tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DS/DS₀,"acceleration factor increases with void fraction, up to 30% then more significantly beyond",,,"{""void_fraction"": ""up to 30% then beyond"", ""test_duration"": ""60 days"", ""corrosion_acceleration_factor"": ""varies with void fraction and conditions"", ""lithium_enrichment"": ""observed in oxide layer""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_022_chunk2,Fig. 1,lithium profiles in oxide scales using SIMS technique,,oxide scale,corrosion testing,SIMS analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""lithium_distribution"": ""flat profile across oxide scales"", ""analysis_technique"": ""SIMS"", ""oxide_structure"": ""porous network with cracks""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_022_chunk2,Fig. 2,lithium enrichment in oxide layer as function of void fraction,,oxide layer,out-of-pile loop tests,corrosion testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""lithium_enrichment"": ""function of void fraction"", ""test_type"": ""out-of-pile loop"", ""oxide_morphology"": ""porous network""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_022_chunk7,Fig. 12a,rods enriched with 3.25% of ²³⁵U after three irradiation cycles in a 900 MWe PWR,Zircaloy-4,fuel rod cladding,irradiated,corrosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"K_post([Li],Φ,s)_in-pile = 2.15K_post([Li],Φ,s)_out-of-pile",oxide thickness measurements,,,"{""enrichment"": ""3.25% ²³⁵U"", ""reactor_type"": ""900 MWe PWR"", ""irradiation_cycles"": ""3"", ""burnup"": ""37,500 MWd/tU""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_022_chunk7,Fig. 12b,rods enriched with 4.5% of ²³⁵U after five irradiation cycles in a 900 MWe PWR,Zircaloy-4,fuel rod cladding,irradiated,corrosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"K_post([Li],Φ,s)_in-pile = 2.15K_post([Li],Φ,s)_out-of-pile",oxide thickness measurements,,,"{""enrichment"": ""4.5% ²³⁵U"", ""reactor_type"": ""900 MWe PWR"", ""irradiation_cycles"": ""5"", ""burnup"": ""58,000 MWd/tU""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_022_chunk7,Fig. 12c,rods after three irradiation cycles in a 1300 MWe PWR,Zircaloy-4,fuel rod cladding,irradiated,corrosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"K_post([Li],Φ,s)_in-pile = 2.15K_post([Li],Φ,s)_out-of-pile",oxide thickness measurements,,,"{""reactor_type"": ""1300 MWe PWR"", ""irradiation_cycles"": ""3"", ""burnup"": ""34,000 MWd/tU""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_022_chunk7,Table 4,Dose rate from PWRs as a function of pH in the coolant,,,,dose rate measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""dose_rate_pH7.0"": ""59 mRem/h"", ""dose_rate_pH7.2"": ""66 mRem/h"", ""standard_deviation_pH7.0"": ""19 mRem/h"", ""standard_deviation_pH7.2"": ""21 mRem/h""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_022_chunk7,Fig. 13a,"PWR 900 MWe, 12-month cycle (Φ_ave = 57 W/cm²)",Zircaloy-4,fuel cladding,,corrosion simulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30% increase compared to Li=2.2 ppm,,,"{""reactor_power"": ""900 MWe"", ""cycle_length"": ""12 months"", ""average_heat_flux"": ""57 W/cm²"", ""final_burnup"": ""60,000 MWd/tU"", ""lithium_content"": ""3.5 ppm"", ""pH"": ""7.4"", ""corrosion_increase"": ""30%""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_022_chunk7,Fig. 13b,"PWR 1300 MWe, 18-month cycle (Φ_ave = 57 W/cm²)",Zircaloy-4,fuel cladding,,corrosion simulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30% increase compared to Li=2.2 ppm,,,"{""reactor_power"": ""1300 MWe"", ""cycle_length"": ""18 months"", ""average_heat_flux"": ""57 W/cm²"", ""final_burnup"": ""50,000 MWd/tU"", ""lithium_content"": ""3.5 ppm"", ""pH"": ""7.4"", ""corrosion_increase"": ""30%""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_022_chunk8,,A predictive study of the impact of increasing lithium content in the primary coolant is carried out and leads to the observation of a non-negligible increase in corrosion kinetics.,Zircaloy,cladding,,corrosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,non-negligible increase in corrosion kinetics,,,"{""lithium_effect"": ""enhances corrosion rate by increasing oxide porosity"", ""corrosion_enhancement"": ""up to 30% depending on fuel management"", ""oxide_characteristics"": ""increased porosity allowing water access""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_022_chunk9,text,"Corrosion exposures were at 360°C and were short term of four-day duration. Concentration of lithium covered the range 0.7 to 3500 ppm and boron was added at 300, 600 and 1200 ppm.",Zircaloy-4,corrosion film,corrosion exposure,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""lithium_concentration_range"": ""0.7-3500 ppm"", ""boron_concentration"": ""300,600,1200 ppm"", ""test_duration"": ""4 days"", ""corrosion_acceleration_threshold"": "">350 ppm Li"", ""corrosion_inhibition"": ""boric acid inhibits accelerated corrosion""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_022_chunk9,text,"Corrosion exposures were at 360°C and were short term of four-day duration. Concentration of lithium covered the range 0.7 to 3500 ppm and boron was added at 300, 600 and 1200 ppm.",Zr-2.5Nb,corrosion film,corrosion exposure,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""lithium_concentration_range"": ""0.7-3500 ppm"", ""boron_concentration"": ""300,600,1200 ppm"", ""test_duration"": ""4 days"", ""corrosion_acceleration_threshold"": "">60 ppm Li"", ""boric_acid_effect"": ""detrimental at high concentrations""}"
