文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,条件哈希,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,应变率(s-1),压力(MPa),辐照剂量(dpa),通量,时间(h),气氛,密度公式,密度数据,比热容公式,比热容数据,热传导率公式,热传导率数据,弹塑性模型公式,弹塑性模型数据,热膨胀公式,热膨胀数据,辐照蠕变公式,辐照蠕变数据,辐照肿胀公式,辐照肿胀数据,腐蚀公式,腐蚀数据,硬化性能公式,硬化性能数据,额外性质
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk1,Text,"A variety of Zircaloy samples (standard production routine) with either uniform or nodular oxide and different oxide thicknesses were tested. These samples had been oxidized anodically in either 350°C water (up to 1000 days) or 400°C, 100 bar steam (up to 80 days) for samples with uniform oxide and in 500% high pressure steam (0.1 to 48 h).",Zircaloy,oxidized,anodic oxidation,"impedance measurements, BET surface and porosity measurements",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""oxide_type"": ""uniform, nodular"", ""oxide_thickness_range"": ""different thicknesses"", ""open_porosity"": ""increases from 0.01% at 10μm to 3% at 100μm"", ""barrier_layer_thickness"": ""~30 nm in nodular oxide, several hundred nm in uniform oxide"", ""pore_size"": ""extremely small at transition"", ""roughness_factor"": ""ratio between geometrical and BET surface area"", ""crystallization_types"": ""columnar monoclinic, equiaxed tetragonal, fine equiaxed monoclinic""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk2,Fig. 2a,the average size of the pores increases from 3 to 90 nm for samples with a uniform oxide layer. Nodular oxide has a pore size of about 10 nm,Zircaloy-4,stress relieved,oxide layer formation,adsorption/desorption measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""pore_size"": ""3-90 nm (uniform oxide), 10 nm (nodular oxide)"", ""oxide_type"": ""uniform and nodular""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk2,Fig. 3,samples from Zircaloy-4 production sheets were exposed to steam (105 bar) atmospheres at 400°C. The average stress values were found to be between 200 to 900 N/mm²,Zircaloy-4,recrystallized,pickled and electropolished,stress measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""oxide_stress"": ""200-900 MPa"", ""oxide_stress_raw_unit"": ""N/mm²"", ""surface_treatment"": ""pickled and electropolished"", ""corrosion_rate"": ""increases at transition (2-2.5 μm)""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk2,Fig. 4,crystal structure is shown in a temperature versus corrosion rate map. This figure reveals in most cases a major monoclinic structure and a minor tetragonal structure,Zircaloy-4,milled powders,oxide layer formation,X-ray diffraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""crystal_structure"": ""major monoclinic, minor tetragonal"", ""phase_composition"": ""tetragonal phase higher in samples with high corrosion rate""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk2,Fig. 5c,"fraction of tetragonal oxide as a function of oxide layer thickness. For oxide layers formed in steam and oxygen, both data sets show a reducing fraction of tetragonal structure with increasing oxide thickness",Zircaloy-4,,oxide layer formation,X-ray diffraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""tetragonal_fraction"": ""decreases with increasing oxide thickness"", ""oxidation_environment"": ""steam and oxygen""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk2,Fig. 5b,half intensity width of the monoclinic (111) peak versus the oxide layer thickness. Broadness of the peak increases with decreasing crystallite size and increasing crystallite inhomogeneities,Zircaloy-4,,oxide layer formation,X-ray diffraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""crystallite_size"": ""10-20 nm (estimated)"", ""peak_broadness"": ""due to crystallite inhomogeneities and local stresses"", ""recovery_occurrence"": ""at transition""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk2,Fig. 5a,X-ray intensities in comparison to the intensity of an isotropic powder as function of oxide layer thickness. Numbers different from one for the X-ray intensity indicate anisotropy,Zircaloy-4,,oxide layer formation,X-ray diffraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""texture_anisotropy"": ""significant texture for different diffraction poles"", ""texture_changes"": ""with increasing oxide layer thickness"", ""transition_behavior"": ""abrupt change for poles (113) and (221) at transition""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk3,Table 1,"Sample No. 51-42, Corrosion Exposure Environ./Temp.(C)/Time(d): 105 bar steam/400/0.33, Material Condition: Zry-4/RX, Oxide Layer Type/Thickness (μm): Uniform/0.55",Zry-4,RX (recrystallized),corrosion exposure,TEM examination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""oxide_layer_type"": ""Uniform"", ""oxide_thickness_μm"": 0.55, ""corrosion_regime"": ""pre-transition"", ""grain_size_interface_nm"": ""25*80"", ""grain_shape_interface"": ""columnar"", ""crystal_structure_interface"": ""M(T)"", ""grain_size_midthickness_nm"": ""30*80 and 30"", ""grain_shape_midthickness"": ""column equiax."", ""crystal_structure_midthickness"": ""M(T)"", ""outer_equiax_tetr_oxide_thickness_μm"": ""0-0.1"", ""outer_equiax_tetr_oxide_gs_nm"": ""10-15""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk3,Table 1,"Sample No. 35, Corrosion Exposure Environ./Temp.(C)/Time(d): High pressure steam/400/8, Material Condition: Zry-4/SR, Oxide Layer Type/Thickness (μm): Uniform/1.6",Zry-4,SR (stress relieved),corrosion exposure,TEM examination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""oxide_layer_type"": ""Uniform"", ""oxide_thickness_μm"": 1.6, ""corrosion_regime"": ""pre-transition"", ""grain_size_interface_nm"": ""40*200"", ""grain_shape_interface"": ""columnar"", ""crystal_structure_interface"": ""M(T)"", ""grain_size_midthickness_nm"": ""50*100 and 25"", ""grain_shape_midthickness"": ""column. and small islands with equiaxed"", ""crystal_structure_midthickness"": ""M(T) and T(M)"", ""outer_equiax_tetr_oxide_thickness_μm"": 0.2, ""outer_equiax_tetr_oxide_gs_nm"": 30, ""outer_equiax_tetr_oxide_texture"": ""isotrop.""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk3,Table 1,"Sample No. 51-23, Corrosion Exposure Environ./Temp.(C)/Time(d): 105 bar steam 400/40, Material Condition: Zry-4/RX, Oxide Layer Type/Thickness (μm): Uniform/3.1",Zry-4,RX (recrystallized),corrosion exposure,TEM examination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""oxide_layer_type"": ""Uniform"", ""oxide_thickness_μm"": 3.1, ""corrosion_regime"": ""post-transition"", ""grain_size_interface_nm"": ""40*150"", ""grain_shape_interface"": ""columnar"", ""crystal_structure_interface"": ""M(T)""}"
