文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_044_chunk1,text,standard stress-relief annealed Zircaloy-4 with a tin content of $1 . 5 \%$,Zircaloy-4,cladding,stress-relief annealed,,,"{'value': 1.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_044_chunk1,text,average burnup of 28.5 MWd/kg $\mathbf { U O } _ { 2 }$,Zircaloy-4,fuel rod cladding,base-irradiated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,MWd/kgU,,,10–40,μm,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_044_chunk1,text,"Average oxide layer increases of 30 and $5 5 ~ { \mu \mathrm { m } }$ were observed for the rods exposed to onephase cooling and nucleate boiling conditions, respectively",Zircaloy-4,fuel rod cladding,irradiated,in-pile corrosion test,,,,,,,,,,,,,,,,,,307,PWR coolant,15,,,,10200,,,,,,,,,,,,,,,,30,μm,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_044_chunk1,text,"Average oxide layer increases of 30 and $5 5 ~ { \mu \mathrm { m } }$ were observed for the rods exposed to onephase cooling and nucleate boiling conditions, respectively",Zircaloy-4,fuel rod cladding,irradiated,in-pile corrosion test,,,,,,,,,,,,,,,,,,315,PWR coolant,15,,,,10200,,,,,,,,,,,,,,,,55,μm,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_044_chunk1,text,litle evidence of enhanced corrosion rates in the presence of increased lithium concentrations,Zircaloy-4,fuel rod cladding,irradiated,in-pile corrosion test,,,,,,,,,,,,,,,,,,,PWR coolant with 4-4.5 ppm Li,,,,,,,,,,,,,,,,,,,,,no significant enhancement,,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_044_chunk1,text,"coolant inlet temperature $( 3 1 0 ^ { \circ } \mathbf { C } )$ , pressure $( 1 5 \ \mathbf { M P a } )$ , and the flow rate $( 2 ~ \mathrm { m } / \mathrm { s } )$",,,,in-pile corrosion test,,,,,,,,,,,,,,,,,,310,PWR coolant,15,,,,,,,,,,,,,,,,,,,,,,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_044_chunk1,text,"upper rods, operating under a nucleate boiling regime, have a fairly uniform cladding wall temperature of $3 4 6 ^ { \circ } \mathbf { C }$",Zircaloy-4,fuel rod cladding,irradiated,in-pile corrosion test,,,,,,,,,,,,,,,,,,,PWR coolant,15,,,,,,,,,,,,,,,,,,,,,,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_044_chunk2,table,Tin ... 1.49,,,,,,"{'value': 1.49, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,W/cm,,,28,um,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_044_chunk2,text,resulted in a pH300 of 7.2 to 7.3,,,,water chemistry,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,7.2–7.3,,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_044_chunk2,text,"After 250 FPD, the boron concentration was reduced to 700 ppm",,,,water chemistry,,,,,,,,,,,,,,,,,,,,,,,,6000,,,,,,,,,,,,,,,,700,ppm,,
