文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,条件哈希,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,应变率(s-1),压力(MPa),辐照剂量(dpa),通量,时间(h),气氛,密度公式,密度数据,比热容公式,比热容数据,热传导率公式,热传导率数据,弹塑性模型公式,弹塑性模型数据,热膨胀公式,热膨胀数据,辐照蠕变公式,辐照蠕变数据,辐照肿胀公式,辐照肿胀数据,腐蚀公式,腐蚀数据,硬化性能公式,硬化性能数据,额外性质
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_016_chunk1,text,"Zircaloy with fine (∼0.05 μm), uniformly distributed intermetallic precipitates reveals nodular corrosion in steam at 420°C or below and excessive uniform corrosion in water at 350°C, but the best nodular behavior in steam at 500°C",Zircaloy,fine intermetallic precipitates (∼0.05 μm),,autoclave corrosion test,,,,,,,,,,,,,,,,,,,,steam,,,,,,,,,,,,,,,,,,,,,,nodular corrosion in steam at 420°C or below; excessive uniform corrosion in water at 350°C; best nodular behavior in steam at 500°C,,,"{""precipitate_size"": ""∼0.05 μm"", ""precipitate_distribution"": ""uniform""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_016_chunk1,text,"samples with larger intermetallic precipitates (>0.2 μm) exhibit a strong tendency to nodular corrosion in 500°C steam, but good behavior in steam at 420°C or below and in water at 350°C",Zircaloy,larger intermetallic precipitates (>0.2 μm),,autoclave corrosion test,,,,,,,,,,,,,,,,,,,,steam,,,,,,,,,,,,,,,,,,,,,,strong tendency to nodular corrosion in 500°C steam; good behavior in steam at 420°C or below and in water at 350°C,,,"{""precipitate_size"": "">0.2 μm""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_016_chunk1,text,samples exposed up to 1000 days in degassed water and afterwards 1000 days in water with a hydrogen overpressure,Zircaloy,,,corrosion test,,,,,,,,,,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,ranking in uniform corrosion altered by additions of hydrogen,,,"{""test_duration"": ""2000 days total"", ""hydrogen_effect"": ""alters uniform corrosion ranking""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_016_chunk1,text,"Materials with very fine intermetallic precipitates, which show little tendency for nodular corrosion and behave well in-pile in oxygenated (mostly BWR) environments, exhibit accelerated uniform corrosion in a hydrogenated (PWR) environment",Zircaloy,very fine intermetallic precipitates,,in-pile corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,little tendency for nodular corrosion in oxygenated BWR; accelerated uniform corrosion in hydrogenated PWR,,,"{""precipitate_size"": ""very fine"", ""corrosion_rate_temperature_dependence"": ""very little in hydrogenated environment""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_016_chunk1,text,"materials with coarse precipitates indicate severe nodular corrosion, which is almost independent of the temperatures within the range of 290 and 350°C",Zircaloy,coarse precipitates,,in-pile corrosion test,,,,,,,,,,,,,,,,,,,,oxygenated coolant,,,,,,,,,,,,,,,,,,,,,,severe nodular corrosion,,,"{""precipitate_size"": ""coarse"", ""temperature_independence"": ""nodular corrosion almost independent of temperature in 290-350°C range""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_016_chunk1,text,For optimized BWR cladding tubes ΣAᵢ ≤ 10⁻¹⁸ h is proposed; the best range for PWR cladding appears to be at 2×10⁻¹⁸ h ≤ ΣAᵢ ≤ 5×10⁻¹⁷ h,Zircaloy,,accumulated annealing parameter,corrosion optimization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,optimized corrosion performance,,,"{""BWR_annealing_parameter"": ""ΣAᵢ ≤ 10⁻¹⁸ h"", ""PWR_annealing_parameter"": ""2×10⁻¹⁸ h ≤ ΣAᵢ ≤ 5×10⁻¹⁷ h""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_016_chunk2,Figure 1,"beta-quenched specimens of Zircaloy 4, annealed in the temperature range from 630 to 800°C with a time at a temperature that was varied between 1 min and 1500 h",Zircaloy 4,beta-quenched,annealing,precipitate size analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""mean_particle_diameter"": ""correlated with accumulated annealing parameter ΣA_i"", ""activation_temperature"": ""Q/R = 40000 K"", ""particle_size_increase_start"": ""ΣA_i = 10^-18 h""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_016_chunk2,Figure 2,"autoclave tests at different temperatures, with and without additions of oxygen or hydrogen",Zircaloy,,,autoclave corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""corrosion_behavior"": ""nodular corrosion in steam at 400-420°C, excessive uniform corrosion in pressurized water at 350°C for ΣA_i < 3×10^-18 h; strong tendency to nodular corrosion at 500°C for ΣA_i > 10^-18 h""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_016_chunk2,Figure 3,Tube specimens with different heat treatments were tested first in degassed steam for 15 days. Then H₂O₂ was added during a period of three days,Zircaloy,tube specimens,different heat treatments,autoclave corrosion test,,,,,,,,,,,,,,,,,,,,steam,,,,,,,,,,,,,,,,,,,,,,,,,"{""oxygen_effect"": ""specimens with high annealing parameters not affected by oxygenation; specimens with low annealing parameters show reduction of corrosion rate when H₂O₂ added""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_016_chunk2,Figure 4,"four test specimens with different second phase particle sizes... degassed water was used, while for the subsequent period of another 1000 days, hydrogen was added",Zircaloy-4,,,autoclave corrosion test,,,,,,,,,,,,,,,,,,,,pressurized water,,,,,,,,,,,,,,,,,,,,,,,,,"{""correlation_period1"": ""weight gain correlated with yield strength"", ""correlation_period2"": ""correlation with size of intermetallic precipitates similar to PWR observations"", ""test_duration"": ""2000 days total""}"
