文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_006_chunk1,text,Ultrasonic nondestructive inspection of fuel tubing is a mainstay in the quality assurance program for nuclear fuel,,fuel tubing,quality assurance,ultrasonic nondestructive inspection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_006_chunk1,text,"different firms, each inspecting tubes in accordance with the same procedure, have had significant disagreement in test results",,tubes,inspection,ultrasonic inspection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_006_chunk1,text,Uniform power density inside tube wall requires a careful tailoring of the transducer design to the particular tube size and alloy,,tube wall,transducer design,ultrasonic inspection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_006_chunk1,text,"The sound beam configuration is controlled by the following parameters; (1) independent parameters are desired beam size, tube size and alloy, refracted angle, and test frequency",,tube,inspection setup,ultrasonic inspection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_006_chunk1,text,transducers from a single manufacturer's standard product line may show spectral deviations as great as ±15 percent of specified values,,transducers,manufacturing,spectral analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,%,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_006_chunk1,text,ultrasonic flaw response is very frequency dependent,,material defect,inspection,ultrasonic flaw detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_006_chunk2,Fig. 3,Transport pitch and rotational speed determine the percentage of inspection coverage achieved with the system (see Fig. 3).,,tubing,ultrasonic inspection,ultrasonic inspection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,%,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_006_chunk2,text,Ultrasonic testing of fuel cladding usually involves the use of moderate-frequency search units.,,fuel cladding,ultrasonic testing,ultrasonic testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_006_chunk3,text,The investigations have been limited to the testing of Zircaloy tubing,Zircaloy,tubing,,ultrasonic inspection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_006_chunk3,text,fuel clad wall thicknesses (0.4 to 1.0 mm),Zircaloy,fuel cladding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4–1.0,mm,,
