文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,条件哈希,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,应变率(s-1),压力(MPa),辐照剂量(dpa),通量,时间(h),气氛,密度公式,密度数据,比热容公式,比热容数据,热传导率公式,热传导率数据,弹塑性模型公式,弹塑性模型数据,热膨胀公式,热膨胀数据,辐照蠕变公式,辐照蠕变数据,辐照肿胀公式,辐照肿胀数据,腐蚀公式,腐蚀数据,硬化性能公式,硬化性能数据,额外性质
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_010_chunk1,text,"Measurements performed on unirradiated laboratory-hydrided samples, as well as cladding samples from pressurized water reactor (PWR) fuel irradiated to a burnup of about 40 MWd/kg U",Zircaloy,unirradiated laboratory-hydrided,hydriding,"SEM analysis, hydrogen analysis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""hydrogen_concentration"": ""wide range"", ""hydride_morphology"": ""determined"", ""spatial_resolution"": ""<100 μm"", ""analysis_method"": ""image analysis of backscattered electron images""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_010_chunk1,text,cladding samples from pressurized water reactor (PWR) fuel irradiated to a burnup of about 40 MWd/kg U,Zircaloy,irradiated,PWR fuel operation,"SEM analysis, hydrogen analysis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""hydrogen_concentration"": ""varied"", ""hydride_distribution"": ""radial profiles"", ""oxide_thickness"": ""varied"", ""heat_rating"": ""varied"", ""tin_concentration_accuracy"": ""<0.05 wt%""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_010_chunk1,text,samples with a low total hydrogen content (≈200 ppm) or a negligible radial heat flux (plenum),Zircaloy,,,hydrogen analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""hydrogen_concentration"": ""≈200 ppm"", ""hydrogen_distribution"": ""flat/uniform across wall thickness""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_010_chunk1,text,samples from fueled sections with >200 ppm H had a steep increase in the hydrogen concentration close to the outer surface,Zircaloy,,fueled section operation,hydrogen analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""hydrogen_concentration"": "">200 ppm"", ""hydrogen_distribution"": ""steep increase near outer surface"", ""peak_concentration_location"": ""opposite pellet interfaces"", ""peak_vs_mid-pellet_ratio"": ""2x higher""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_010_chunk1,text,reduced tin content has been shown to improve the corrosion resistance of zirconium alloys in an autoclave environment [15],zirconium alloys,,,corrosion testing,,,"{'value': 'reduced', 'unit': 'wt%', 'raw_unit': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,improved corrosion resistance,,,"{""composition_effect"": ""reduced tin improves corrosion resistance""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_010_chunk2,文本,"Nine irradiated PWR cladding samples, including both Zircaloy-2 and Zircaloy-4, were analyzed",Zircaloy-2,irradiated,cladding,SEM/EPMA analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""burnup"": ""40 MWd/kg U"", ""analysis_type"": ""SEM (H)"", ""sample_type"": ""cladding tubing""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_010_chunk2,文本,"Nine irradiated PWR cladding samples, including both Zircaloy-2 and Zircaloy-4, were analyzed",Zircaloy-4,irradiated,cladding,SEM/EPMA analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""burnup"": ""40 MWd/kg U"", ""analysis_type"": ""SEM (H)"", ""sample_type"": ""cladding tubing""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_010_chunk2,Table 1,Sample Identity: 01A,,irradiated,cladding,SEM (H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""assembly"": ""5F1"", ""rod_number"": ""096-40001"", ""distance_from_bottom"": ""3094 mm""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_010_chunk2,Table 1,Sample Identity: 13E,,irradiated,cladding,SEM (H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""assembly"": ""5F1"", ""rod_number"": ""096-40013"", ""distance_from_bottom"": ""3755 mm (plenum)""}"
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_010_chunk2,Table 1,Sample Identity: 13G,,irradiated,cladding,SEM (H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""assembly"": ""5F1"", ""rod_number"": ""096-40013"", ""distance_from_bottom"": ""2033 mm""}"
