文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,条件哈希,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,应变率(s-1),压力(MPa),辐照剂量(dpa),通量,时间(h),气氛,密度公式,密度数据,比热容公式,比热容数据,热传导率公式,热传导率数据,弹塑性模型公式,弹塑性模型数据,热膨胀公式,热膨胀数据,辐照蠕变公式,辐照蠕变数据,辐照肿胀公式,辐照肿胀数据,腐蚀公式,腐蚀数据,硬化性能公式,硬化性能数据,额外性质
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_038_chunk2,Fig. 1a,texture pole figures for the recrystallized sheet are depicted in Fig. la,Zircaloy-4,recrystallized sheet,recrystallization,X-ray texture analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""texture_type"": ""bimodal basal pole intensity distribution"", ""crystallographic_planes_analyzed"": ""[\""basal (00.2)\"", \""prism (10.0)\"", \""pyramidal (10.2)\""]"", ""reference_directions"": ""[\""ND (sheet-normal)\"", \""TD (transverse)\"", \""RD (rolling)\""]""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_038_chunk2,Fig. 2,pole figures obtained at the mid-wall of the recrystallized Zircaloy-2 TREX,Zircaloy-2,recrystallized TREX,recrystallization,X-ray texture analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""texture_type"": ""crystallographic pole figures"", ""crystallographic_planes_analyzed"": ""[\""basal (00.2)\"", \""prism (10.0)\"", \""pyramidal (10.2)\""]"", ""reference_directions"": ""[\""R (radial/thickness)\"", \""θ (hoop)\"", \""z (axial)\""]"", ""peak_times_random"": ""relatively low compared to tubing and sheet"", ""cold_work_level"": ""relatively lower cold work""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_038_chunk2,Fig. 3,pole figures obtained on Zircaloy claddings,Zircaloy-4,CWSR cladding,cold working and stress relief,X-ray texture analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""texture_type"": ""crystallographic pole figures"", ""basal_pole_intensity"": ""~50% lower than reported for recrystallized Zircaloy-4"", ""prism_pole_intensity"": ""essentially no prism pole intensities in the transverse plane""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_038_chunk2,Fig. 3,recrystallized Zircaloy-2 claddings,Zircaloy-2,recrystallized cladding,recrystallization,X-ray texture analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""texture_type"": ""crystallographic pole figures"", ""recrystallization_effect"": ""30° shift of the prism (10.0) poles"", ""basal_pole_intensity"": ""~50% lower than reported for recrystallized Zircaloy-4"", ""prism_pole_intensity"": ""essentially no prism pole intensities in the transverse plane""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_038_chunk2,Fig. 4,Euler plots representing ODF for recrystallized Zircaloy-2 TREX,Zircaloy-2,recrystallized TREX,recrystallization,ODF analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""analysis_method"": ""crystallite orientation distribution function (CODF)"", ""euler_angle_intervals"": ""10° intervals of Φ"", ""intensity_units"": ""times-random units"", ""peak_times_random"": ""low compared to tubing and sheet"", ""cold_work_level"": ""relatively lower cold work"", ""symmetry_restrictions"": ""hexagonal symmetry with l and m restricted to even values, n to integer multiples of 6"", ""truncation_level"": ""l=16""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_038_chunk3,text,Recrystallized Zircaloy-4 sheets of 0.46 mm thick were used from which standard tensile specimens were machined with gage lengths of 31.75 mm and 6.35 mm wide. The specimens were machined with the tension axes along the rolling directions (RD) and transverse directions (TD),Zircaloy-4,recrystallized,sheet rolling,tensile test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,σ = Kεⁿ,,,,,,,,,,,,"{""thickness"": ""0.46 mm"", ""specimen_dimensions"": ""31.75 mm gage length, 6.35 mm width"", ""texture_condition"": ""planar isotropy"", ""yield_stress"": ""essentially identical"", ""ultimate_tensile_stress"": ""essentially identical"", ""anisotropy_parameters_R_and_P"": ""extensive mechanical anisotropy"", ""formability_parameter_B"": ""derived from R and P""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_038_chunk3,Table 2,"the derived anisotropy parameters are given in the Table 2, which clearly demonstrates the extensive mechanical anisotropy of these sheets. The formability parameter B derived from R and P is also included in Table 2",Zircaloy-4,recrystallized,sheet rolling,tensile test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""anisotropy_parameters_R_and_P"": ""tabulated values"", ""formability_parameter_B"": ""tabulated value"", ""mechanical_anisotropy"": ""extensive""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_038_chunk3,Fig. 5,FIG. 5-Euler plots representing ODF for CWSR Zircaloy-4 (top) and recrystallized Zircaloy-2 (bottom) claddings,Zircaloy-4,CWSR (cold worked and stress relieved),,texture analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""texture_analysis"": ""ODF (orientation distribution function) representation""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_038_chunk3,Fig. 5,FIG. 5-Euler plots representing ODF for CWSR Zircaloy-4 (top) and recrystallized Zircaloy-2 (bottom) claddings,Zircaloy-2,recrystallized,,texture analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""texture_analysis"": ""ODF (orientation distribution function) representation"", ""specimen_form"": ""cladding""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_038_chunk4,Table 1,Mechanical properties of Zircaloy-4 sheet,Zircaloy-4,sheet,,tensile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""YS_RD"": ""289.4"", ""UTS_RD"": ""392.7"", ""Eu_RD"": ""0.15"", ""n_RD"": ""0.14"", ""E_RD"": ""0.09"", ""Efn_RD"": ""0.83"", ""YS_TD"": ""292.8"", ""UTS_TD"": ""394.8"", ""Eu_TD"": ""0.17"", ""n_TD"": ""0.19"", ""E_TD"": ""0.02"", ""Efn_TD"": ""0.93""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_038_chunk7,文本,The creep behavior of CwSR cladding was quite different from the recrystallized and correlated with the assumption of basal slip dominance,Zircaloy-4,CwSR (冷加工应力消除),,蠕变,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""creep_behavior"": ""与再结晶材料不同"", ""slip_system"": ""基底滑移主导""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_038_chunk7,附录,"Power-law creep is applicable for many materials, including hexagonal close packed",,,,蠕变,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,γ̇ᵏ = A[τᵏ/τ₀ᵏ]ⁿ,,,,,,,,,,,,"{""crystal_structure"": ""六方密堆积"", ""stress_exponent"": ""n=6（蠕变行为）"", ""reference_stress"": ""τ₀ᵏ（第k滑移系的参考剪切应力）""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_038_chunk7,附录,"Three different slip modes are considered in the present analyses: basal ((00.1)⟨11.0⟩), prismatic ({10.0}⟨11.0⟩), and pyramidal ({11.2}⟨11.3⟩)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""slip_systems"": [""基底滑移 (00.1)⟨11.0⟩"", ""棱柱滑移 {10.0}⟨11.0⟩"", ""锥面滑移 {11.2}⟨11.3⟩""]}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_038_chunk8,DISCUSSION,"We tried various lubricants initially, but it turned out that none is required. Our experience showed that it is advisable to perform the elasticity loading-unloading procedures two to three times and to make sure there is no hypoteresis in the elastic region. Any misalignment seems to induce hysteresis loops.",,,,impression testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""indenter_material"": ""WC"", ""indenter_diameter"": ""1.8 mm"", ""lubrication_required"": ""none"", ""elastic_loading_procedure"": ""2-3 cycles recommended"", ""alignment_importance"": ""extremely important to avoid hysteresis""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_038_chunk8,DISCUSSION,I have used the Backofen formability parameter $B$ defined as the ratio of plane strain stress in the 1st quadrant and twice the negative equibiaxial stress in the 4th quadrant $B = { \sigma } _ { \mathrm { l } } / 2 { \sigma } _ { ^ { \mathrm { I V } } }$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""formability_parameter_B_formula"": ""B = σ_l / 2σ_IV"", ""parameter_interpretation"": ""relates flange stresses to wall stresses during cup formation"", ""formability_correlation"": ""larger B indicates better resistance to wall-thinning""}"
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_038_chunk9,text,Load relaxation properties of unirradiated Zircaloy nuclear fuel claddings were measured at 648 K,Zircaloy,unirradiated,cladding tubes,load relaxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""deformation_paths"": [""constant strain rate tensile deformation"", ""constant load creep deformation"", ""biaxial followed by uniaxial creep""], ""test_temperature"": ""648 K"", ""material_state"": ""strain hardened"", ""relaxation_properties"": ""path-dependent""}"
