文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_030_chunk1,abstract,"Alloys investigated were annealed Zircaloy-2, cold-worked Zircaloy-2 and cold-worked $\mathbf { Z } \mathbf { r } \mathbf { - } 2 . 5 \mathbf { N } \mathbf { b }$ pressure tube material",Zircaloy-2,annealed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_030_chunk1,abstract,"Alloys investigated were annealed Zircaloy-2, cold-worked Zircaloy-2 and cold-worked $\mathbf { Z } \mathbf { r } \mathbf { - } 2 . 5 \mathbf { N } \mathbf { b }$ pressure tube material",Zircaloy-2,cold-worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_030_chunk1,abstract,"Thin films were taken from material deformed in the NRU, NRX and Pickering-3 reactors at teinperatures of 530 to $6 0 0 \textbf { K }$ under stresses of 117 to 552 MPa giving strains in the range 0.14 to 8.8 percent",,,,irradiation creep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14–8.8,%,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_030_chunk1,table,"R6 | Zircaloy-2 | cold worked and stress relieved | NRX | 138 | 573 | 1.7 × 10 24 | 0.3 | 11, 12",Zircaloy-2,cold worked and stress relieved,,creep test,,,,,,,,,,,,,,,,,,300,,138,,,1.7e+24,,,,,,,,,,,,,0.3,%,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_030_chunk1,table,RU-19 | Zircaloy-2 | annealed | NRU | 138 | 573 | 1.5 | 0.46 | irradiated as full,Zircaloy-2,annealed,,creep test,,,,,,,,,,,,,,,,,,300,,138,,,1.5e+24,,,,,,,,,,,,,0.46,%,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_030_chunk1,table,No designation | Zr-2.5Nb | cold-worked | Pickering-3 | 117b | 530 | 0.8 | 0.14 | size pressure tube,Zr-2.5Nb,cold-worked,pressure tube material,creep test,"{'value': 97.5, 'unit': 'wt%'}",,"{'value': 2.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,257,,117,,,8e+23,,,,,,,,,,,,,0.14,%,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_030_chunk1,table,PK-1 | Zr-2.5Nb | cold-worked pressure tube material | NRX | 552 | 573 | 1.7 | 8.8 total 5.5 uniform | 13,Zr-2.5Nb,cold-worked,pressure tube material,creep test,"{'value': 97.5, 'unit': 'wt%'}",,"{'value': 2.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,300,,552,,,1.7e+24,,,,,,,,,,,,,8.8,%,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_030_chunk1,table,RX-36 | Zircaloy-2 | cold worked | NRX | 310 | 600 | 1.0 | 7.0 total 7.0 uniform | 14,Zircaloy-2,cold worked,,creep test,,,,,,,,,,,,,,,,,,327,,310,,,1e+24,,,,,,,,,,,,,7.0,%,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_030_chunk3,FIG. 5,total strain of 8.8 percent,Zr-2.5Nb,creep specimen,,creep test,,,,,,,,,,,,,,,,,,573,,552,,,1.7e+24,,,,,,,,,,,,,8.8,%,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_030_chunk3,text,"SIPA can be only an appropriate mechanism for irradiation creep in either cold-worked materials or annealed materials after considerable irradiation dose, >1 dpa or 10²⁵ n/m²",,,,irradiation creep,,,,,,,,,,,,,,,,,,,,,,1,1e+25,,,,,,,,,,,,,,,,,,,,
